report_year,label_norm,n
2016,document imaging,53
2016,mobile technology,53
2016,online application,53
2016,simplified homeless housing cost,53
2016,simplified income and resources,53
2016,simplified reporting action on changes,53
2016,snap name,53
2016,treatment of income and deductions of ineligible non citizens,53
2016,treatment of vehicles,53
2017,call centers,53
2017,electronic case files,53
2017,joint processing medicaid,53
2017,joint processing tanf,53
2017,mobile technology,53
2017,online application,53
2017,online case management,53
2017,simplified homeless housing cost,53
2017,simplified income and resources,53
2017,simplified reporting action on changes,53
2017,snap certification workflow and case management,53
2018,call centers,45
2018,electronic case files,45
2018,joint processing medicaid,45
2018,joint processing tanf,45
2018,mobile technology,45
2018,simplified homeless housing cost,45
2018,snap certification workflow and case management,45
2018,income and resource alignment with medicaid and tanf,44
2018,online application,43
2018,online case management,40
2016,call centers,39
2016,online case management,39
2016,online case management call centers,14
