"state","year","category","status"
"Alabama",2017,"Program Administration","State-administered"
"Alabama",2017,"SNAP Certification Workflow and Case Management","Varies by project area"
"Alabama",2017,"Joint Processing—Medicaid","Neither joint application or processing"
"Alabama",2017,"Joint Processing—TANF","Neither joint application or processing"
"Alabama",2017,"Reporting Requirements","Simplified reporting only"
"Alabama",2017,"Simplified Reporting—Certification Length","4 & 12 months"
"Alabama",2017,"Income and Resource Alignment with Medicaid and TANF","Resources only"
"Alabama",2017,"Treatment of Self-Employment Income","Another method"
"Alabama",2017,"Simplified Homeless Housing Cost","No"
"Alabama",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Alabama",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Alabama",2017,"Child Support Related Disqualification","None"
"Alabama",2017,"Comparable Disqualifications","No Modified ban: requiring participation in a drug treatment program; imposing a temporary"
"Alabama",2017,"Drug Felony Disqualifications","DQ period; requiring completion of probation sentence satisfactorily"
"Alabama",2017,"Work Requirements and Disqualification Policy","Extended DQ only"
"Alabama",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Alabama",2017,"Transitional Benefits Alternative (TBA)","No"
"Alabama",2017,"Demonstrations for the Elderly and Disabled","ESAP & SMD"
"Alabama",2017,"Combined Application Projects (CAPs)","No"
"Alabama",2017,"Electronic Case Files","Completely electronic files statewide"
"Alabama",2017,"Online Application","Apply & recertify"
"Alabama",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"Alabama",2017,"Call Centers","No call center"
"Alabama",2017,"Mobile Technology","No"
"Alaska",2017,"Program Administration","State-administered"
"Alaska",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Alaska",2017,"Joint Processing—Medicaid","Joint application & processing"
"Alaska",2017,"Joint Processing—TANF","Joint application & processing in some cases"
"Alaska",2017,"Reporting Requirements","Simplified & change reporting"
"Alaska",2017,"Simplified Reporting—Certification Length","6 months only"
"Alaska",2017,"Income and Resource Alignment with Medicaid and TANF","Resources only"
"Alaska",2017,"Treatment of Self-Employment Income","Another method"
"Alaska",2017,"Simplified Homeless Housing Cost","Yes"
"Alaska",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Alaska",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Alaska",2017,"Child Support Related Disqualification","None"
"Alaska",2017,"Comparable Disqualifications","No"
"Alaska",2017,"Drug Felony Disqualifications","Modified ban: completing sentence or probation satisfactorily; requiring participation in a drug or alcohol treatment program; taking action toward rehabilitation, including participation in a drug or alcohol treatment program; or, successfully complying with the requirements of the person's re-entry plan."
"Alaska",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Alaska",2017,"Broad Based Categorical Eligibility (BBCE)","No"
"Alaska",2017,"Transitional Benefits Alternative (TBA)","No"
"Alaska",2017,"Demonstrations for the Elderly and Disabled","None"
"Alaska",2017,"Combined Application Projects (CAPs)","No"
"Alaska",2017,"Electronic Case Files","No electronic files"
"Alaska",2017,"Online Application","No"
"Alaska",2017,"Online Case Management","No"
"Alaska",2017,"Call Centers","Respond to general inquiries"
"Alaska",2017,"Mobile Technology","No"
"Arizona",2017,"Program Administration","State-administered"
"Arizona",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Arizona",2017,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Arizona",2017,"Joint Processing—TANF","Joint application & processing"
"Arizona",2017,"Reporting Requirements","Simplified & change reporting"
"Arizona",2017,"Simplified Reporting—Certification Length","6 months only"
"Arizona",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Arizona",2017,"Treatment of Self-Employment Income","Another method"
"Arizona",2017,"Simplified Homeless Housing Cost","Yes"
"Arizona",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Arizona",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Arizona",2017,"Child Support Related Disqualification","None"
"Arizona",2017,"Comparable Disqualifications","No"
"Arizona",2017,"Drug Felony Disqualifications","Modified ban: requiring the person convicted to submit to drug testing; requiring participation in a drug treatment program; requiring completion of prohibition satisfactorily"
"Arizona",2017,"Work Requirements and Disqualification Policy","Regulatory minimum & entire household DQ"
"Arizona",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Arizona",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Arizona",2017,"Demonstrations for the Elderly and Disabled","None"
"Arizona",2017,"Combined Application Projects (CAPs)","Modified CAP"
"Arizona",2017,"Electronic Case Files","Completely electronic files statewide"
"Arizona",2017,"Online Application","Apply & recertify"
"Arizona",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"Arizona",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, process case changes, initial application intake, & conduct interviews"
"Arizona",2017,"Mobile Technology","SMS messaging SNAP State Options Report • 37"
"Arkansas",2017,"Program Administration","State-administered"
"Arkansas",2017,"SNAP Certification Workflow and Case Management","Traditional case management"
"Arkansas",2017,"Joint Processing—Medicaid","Joint processing only"
"Arkansas",2017,"Joint Processing—TANF","Joint application & processing"
"Arkansas",2017,"Reporting Requirements","Simplified & change reporting"
"Arkansas",2017,"Simplified Reporting—Certification Length","12 months only"
"Arkansas",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Arkansas",2017,"Treatment of Self-Employment Income","Actual costs only"
