Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2016,Alabama,State-administered,Simplified Reporting only,12 months only,Flat percentage: 40%,Mandatory SUAs,,,No,No,No,Lifetime ban,Regulatory minimum,,,,Yes,No,ESAP/SMD,No
2016,Alaska,State-administered,Simplified & change reporting,6 months only,Flat percentage: 50%,Mandatory SUAs,,,No,None,Yes,Lifetime ban,Regulatory minimum,,,,No,No,None,No
2016,Arizona,State-administered,Simplified & change reporting,6 months only,Flat percentage: 40%,Mandatory SUAs,,,No,None,No,Lifetime ban,Extended DQ & entire household DQ,,,,Yes,Yes,None,Modified CAP
2016,Arkansas,State-administered,Simplified & change reporting,12 & 24 months only,No,SUAs that are not mandatory,,,No,None,No,Lifetime ban,Regulatory minimum,,,,No,No,SMD,No
2016,California,County-administered,Simplified & change reporting,12 & 24 months only,No,Mandatory SUAs,,,Yes,None,Yes,No ban,Extended DQ,,,,Yes,Yes,None,No
2016,Colorado,County-administered,Simplified & change reporting,6 & 24 months only,No,Mandatory SUAs,,,Yes,None,No,Modifications include: Limiting the circumstances in which the permanent DQ applies,Regulatory minimum,,,,Yes,No,None,No
2016,Connecticut,State-administered,Simplified Reporting only,12 & 24 months only,No,Mandatory SUAs,,,No,None,No,Modifications include: imposing a temporary DQ period,Extended DQ & entire household DQ,,,,Yes,No,None,No
2016,Delaware,State-administered,Simplified reporting only,12 & 24 months only,Flat percentage: 51%,Mandatory SUAs,,,Yes,None,No,No ban,Entire household DQ,,,,Yes,No,None,No
2016,District of Columbia,State-administered,Simplified & change reporting,6 & 12 months only,Another method: uses an average of income to determine monthly income,Mandatory SUAs,,,No,None,No,No ban,Regulatory minimum,,,,Yes,No,None,No
2016,Florida,State-administered,Simplified & change reporting,6 & 24 months only,No,Mandatory SUAs,,,No,Failure to cooperate,Yes,Lifetime ban,Entire household DQ,,,,Yes,No,ESAP,Standard CAP
