year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2026,209,209,209,223,261,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
2025,204,204,204,217,254,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
2024,198,198,198,208,244,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
2023,193,193,193,193,225,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258
2022,177,177,177,184,215,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246
2021,167,167,167,181,212,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
2020,167,167,167,178,209,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
2019,164,164,164,174,204,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
2018,160,160,160,170,199,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
2017,157,157,157,168,197,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
