state_name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Alabama,339,352,374,384,393,431,571,601,616,637
Alaska,0,0,0,0,0,0,0,0,0,0
Arizona,265,274,278,289,295,288,325,318,314,323
Arkansas,284,278,284,286,283,281,306,329,333,342
California,389,397,415,432,438,487,560,596,645,663
Colorado,459,469,476,485,486,493,531,560,578,594
Connecticut,698,728,736,736,736,783,921,912,950,976
Delaware,402,406,417,434,407,425,545,534,529,543
District of Columbia,316,325,331,327,310,322,345,360,374,384
Florida,338,347,359,361,370,366,376,426,419,430
Georgia,391,357,377,378,367,339,379,415,394,405
Guam,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0
Idaho,396,279,368,344,352,361,364,376,379,390
Illinois,388,394,466,478,496,529,626,577,532,546
Indiana,380,400,421,419,417,417,447,502,502,486
Iowa,358,348,449,485,496,494,517,530,539,554
Kansas,364,391,357,364,359,392,442,462,456,469
Kentucky,318,318,321,328,329,325,347,452,378,388
Louisiana,349,346,356,350,350,370,414,414,453,465
Maine,663,692,699,782,782,886,1075,1011,1047,1096
Maryland,416,420,404,404,388,431,505,551,557,572
Massachusetts,609,636,643,646,646,714,860,852,890,914
Michigan,526,537,543,518,537,559,624,680,664,682
Minnesota,532,556,493,490,496,488,586,651,649,667
Mississippi,274,270,278,286,277,277,301,287,300,308
Missouri,362,371,380,394,404,415,441,475,495,509
Montana,520,534,545,546,563,600,669,723,778,799
Nebraska,457,469,481,490,491,511,553,580,599,615
Nevada,276,266,285,280,275,284,370,412,434,446
New Hampshire,659,689,724,718,702,757,965,956,991,1018
New Jersey,501,514,542,548,548,583,730,850,878,977
New Mexico,325,320,344,340,348,385,388,417,408,419
New York,627,654,661,661,661,703,827,819,854,877
North Carolina,374,400,437,434,440,550,557,585,620,637
North Dakota,596,610,615,611,616,645,711,735,765,772
Ohio,513,530,544,548,553,580,646,724,746,766
Oklahoma,338,330,362,355,341,340,391,388,401,412
Oregon,449,454,436,444,442,450,452,469,502,515
Pennsylvania,570,580,588,594,594,612,679,750,758,857
Rhode Island,605,628,635,636,636,676,797,789,822,844
South Carolina,299,302,302,298,302,313,342,369,378,388
South Dakota,705,721,732,750,752,784,850,892,922,950
Tennessee,308,311,317,317,317,320,403,430,439,451
Texas,338,342,357,355,360,367,408,424,434,445
Utah,347,365,360,364,386,376,400,503,500,514
Vermont,776,808,822,822,822,875,1030,1020,1067,1096
Virgin Islands,0,0,0,0,0,0,0,0,0,0
Virginia,287,306,311,303,302,322,374,414,369,375
Washington,411,421,430,437,449,459,462,483,502,515
West Virginia,455,462,421,412,428,436,435,496,504,518
Wisconsin,457,448,452,456,462,462,471,502,538,870
Wyoming,380,386,393,397,399,417,456,478,497,510
