"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"1","rule2398","n_income_types < 2.5 & total_deductions < 1350 & medical_deductions < 315.5 & shelter_expenses < 1704",4,"EXCLUDE",-0.092,0.021,94.4,1062,63,963,99,0.907,9.7,0.238,0.101,0.137,0.132,12513,11.78,36.14,13.15,23,0.154
"1","rule14803","shelter_expenses < 1728 & rawearn < 637",2,"EXCLUDE",1.268,0.396,89.1,1002,123,905,97,0.903,9.3,0.138,0.101,0.037,0.149,12360,12.34,19.76,13.15,6.61,0.164
"1","rule7909","shelter_expenses < 1936 & children_i %in% c(""FALSE"") & shelter_to_gross_ratio < 6.154 & n_income_types >= 0.5",4,"EXCLUDE",-2.325,0.797,86.4,972,153,890,82,0.916,10.9,0.209,0.101,0.108,0.281,9041,9.3,37.58,13.15,24.43,0.389
"1","rule2089","shelter_expenses < 1702 & shelter_to_gross_ratio < 18.1 & n_income_types >= 0.5 & medical_deductions < 399.3",4,"EXCLUDE",-13.29,4.582,86.2,970,155,890,80,0.918,11.1,0.219,0.101,0.118,0.298,8726,9,39.12,13.15,25.98,0.41
"1","rule4180","total_deductions < 1321 & unc_rawben_rel_max >= -0.01215 & unc_rawben_rel_max >= -0.001779",3,"EXCLUDE",-0.015,0.005,85.7,964,161,863,101,0.895,8.5,0.081,0.101,-0.021,0.114,12496,12.96,14.25,13.15,1.1,0.155
"1","rule5907","total_deductions < 1227 & shelter_to_gross_ratio < 5.799 & n_income_types >= 0.5 & n_deduction_types < 3.5",4,"EXCLUDE",-8.25,2.942,85.1,957,168,876,81,0.915,10.8,0.196,0.101,0.095,0.289,8848,9.25,35.37,13.15,22.22,0.402
"1","rule1541","homeless %in% c(""FALSE"") & rawearn < 543.5 & total_deductions < 1227",3,"EXCLUDE",-0.008,0.003,84.2,947,178,861,86,0.909,10,0.157,0.101,0.056,0.246,10229,10.8,25.62,13.15,12.48,0.308
"1","rule5598","total_deductions < 1219 & shelter_expenses >= 172 & shelter_to_gross_ratio >= 0.2561 & homeless %in% c(""FALSE"")",4,"EXCLUDE",-0.15,0.055,84.1,946,179,862,84,0.911,10.3,0.168,0.101,0.066,0.263,10203,10.79,25.63,13.15,12.48,0.31
"1","rule14785","rawearn < 887 & medical_deductions < 330.5 & total_deductions < 923",3,"EXCLUDE",-2.191,0.812,83.6,940,185,851,89,0.905,9.6,0.135,0.101,0.034,0.219,10942,11.64,20.8,13.15,7.65,0.26
"1","rule6160","shelter_expenses < 1530 & total_deductions < 1100 & percent_abawd < 0.75",3,"EXCLUDE",0.089,0.034,82.7,930,195,844,86,0.908,9.8,0.144,0.101,0.042,0.246,10226,11,23.41,13.15,10.26,0.309
