"hh_size","step","rule_added","n_excluded","workload_cut_pct","recall_retained_obj","dollar_recall_retained","recall_retained","err_dollars_lost","errors_lost"
"1",1,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381",55,4.8889,1,1,1,0,0
"1",2,"shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040",71,6.3111,1,1,1,0,0
"1",3,"n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9",201,17.8667,0.9831,0.9831,0.9825,250,2
"1",4,"shelter_to_gross_ratio >= 1.376 & rawearn < 9 & rawunearn >= 32.5",282,25.0667,0.9675,0.9675,0.9737,480,3
"1",5,"shelter_to_gross_ratio < 6.582 & expedited_i %in% c(""TRUE"") & rawearn < 166 & shelter_expenses < 189",300,26.6667,0.9641,0.9641,0.9649,531,4
"1",6,"shelter_to_gross_ratio < 6.582 & total_deductions < 115.6 & lf_composition %in% c(""all working age"", ""no working age"")",359,31.9111,0.9456,0.9456,0.9298,805,8
"1",7,"unc_rawben_rel_max < 2.348 & total_deductions < 305.5 & utilities < 622 & months_since_cert_n < 4.5",400,35.5556,0.9312,0.9312,0.9035,1017,11
"1",8,"unc_rawben_rel_max < 0.1298 & unc_rawben_rel_max >= -0.01043 & unc_rawben_rel_max >= 0.01431 & unc_rawben_rel_max < 0.07651",412,36.6222,0.9312,0.9312,0.9035,1017,11
"1",9,"lf_composition %in% c(""all working age"") & shelter_expenses < 1590 & utilities >= 155 & total_deductions >= 634.3",542,48.1778,0.8834,0.8834,0.8509,1724,17
"1",10,"shelter_expenses < 1530 & rawunearn < 1381 & rawben_rel_max < 0.08897 & lf_composition %in% c(""all working age"", ""no working age"")",554,49.2444,0.8796,0.8796,0.8421,1780,18
"1",11,"total_deductions < 1247 & rawben_rel_max < 0.182 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 2.5",607,53.9556,0.8572,0.8572,0.8246,2112,20
"1",12,"percent_abawd >= 0.25 & months_since_cert_n >= 4.5 & n_deduction_types < 2.5 & expedited_i %in% c(""FALSE"")",618,54.9333,0.8516,0.8516,0.8158,2195,21
"1",13,"months_since_cert_n >= 15.5 & months_since_cert_n >= 16.5 & expedited_i %in% c(""FALSE"") & shelter_expenses >= 768",695,61.7778,0.8085,0.8085,0.7544,2833,28
"1",14,"expedited_i %in% c(""FALSE"") & shelter_expenses < 1612 & rawearn >= 6",728,64.7111,0.7857,0.7857,0.7281,3170,31
"1",15,"total_deductions < 132 & total_deductions < 29.3 & n_income_types < 1.5",736,65.4222,0.7795,0.7795,0.7193,3261,32
"1",16,"total_deductions < 1238 & unc_rawben_rel_max >= 1.854 & n_deduction_types < 2.5 & shelter_expenses >= 976.5",753,66.9333,0.764,0.764,0.7105,3491,33
"1",17,"expedited_i %in% c(""TRUE"") & shelter_to_gross_ratio >= 0.295 & months_since_cert_n < 14 & shelter_to_gross_ratio >= 1.163",790,70.2222,0.7371,0.7371,0.693,3889,35
"1",18,"months_since_cert_n >= 3.5 & total_deductions < 1299 & rawunearn >= 1046",859,76.3556,0.6772,0.6772,0.614,4774,44
