"rule_id","rule","n_conditions","role","coefficient","importance","workload_cut_pct","n_excluded","n_retained","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","retained_precision","base_precision","precision_gain","recall_retained","err_dollars_lost","mean_dollars_excluded","retained_dollar_density","base_dollar_density","dollar_density_gain","dollar_recall_retained"
"rule8545","shelter_exp_by_hh_size >= 213.6 & shelter_exp_by_hh_size < 551.7 & unc_rawben_rel_max >= 0.9206",3,"EXCLUDE",-13.754,4.775,14,73,449,70,3,0.959,23.3,0.192,0.17,0.021,0.966,583,7.99,37.73,33.57,4.16,0.967
"rule20912","gross_by_hh_size >= 1 & earned_by_hh_size < 503 & rawben_rel_max >= 0.9615",3,"EXCLUDE",-1.763,0.605,13.6,71,451,67,4,0.944,16.8,0.188,0.17,0.018,0.955,508,7.15,37.73,33.57,4.16,0.971
"rule4013","gross_by_hh_size >= 1.875 & shelter_to_gross_ratio >= 0.9326 & rawben_rel_max >= 0.9243",3,"EXCLUDE",-4.618,1.566,13.2,69,453,66,3,0.957,22,0.19,0.17,0.019,0.966,607,8.8,37.35,33.57,3.77,0.965
"rule12503","shelter_exp_by_hh_size >= 219.9 & rawben_rel_max < 0.3866 & rawben_rel_max < 0.2983",3,"EXCLUDE",-17.726,5.314,10,52,470,44,8,0.846,5.5,0.172,0.17,0.002,0.91,745,14.33,35.7,33.57,2.13,0.957
"rule1168","shelter_to_gross_ratio < 0.8246 & shelter_to_gross_ratio < 0.4674 & rawben_rel_max < 0.3766",3,"EXCLUDE",-9.546,2.787,9.4,49,473,43,6,0.878,7.2,0.175,0.17,0.005,0.933,567,11.57,35.85,33.57,2.28,0.968
"rule19778","shelter_exp_by_hh_size >= 213.1 & gross_by_hh_size >= 775.3 & unearned_by_hh_size < 27.25",3,"EXCLUDE",-1.225,0.354,9.2,48,474,43,5,0.896,8.6,0.177,0.17,0.007,0.944,538,11.21,35.84,33.57,2.26,0.969
"rule9788","cert_HH_size_FS_n >= 4.5 & gross_by_hh_size >= 20 & shelter_exp_by_hh_size >= 288.9",3,"EXCLUDE",-10.116,2.784,8.2,43,479,36,7,0.837,5.1,0.171,0.17,0.001,0.921,585,13.6,35.37,33.57,1.79,0.967
"rule17178","n_income_types >= 1.5 & utilities >= 460.5 & cert_HH_size_FS_n >= 3.5",3,"EXCLUDE",-4.248,1.157,8,42,480,39,3,0.929,13,0.179,0.17,0.009,0.966,366,8.71,35.75,33.57,2.18,0.979
"rule8700","shelter_exp_by_hh_size >= 225.5 & gross_by_hh_size >= 788 & unearned_by_hh_size < 27.67",3,"EXCLUDE",-11.275,3.036,7.9,41,481,37,4,0.902,9.2,0.177,0.17,0.006,0.955,418,10.2,35.57,33.57,1.99,0.976
"rule7754","n_deduction_types < 2.5 & unc_rawben_rel_max >= 1.072",2,"EXCLUDE",-4.388,1.182,7.9,41,481,39,2,0.951,19.5,0.181,0.17,0.01,0.978,400,9.76,35.6,33.57,2.03,0.977
"rule8113","rawben_rel_max < 0.9758 & shelter_to_gross_ratio < 0.8224 & shelter_to_gross_ratio >= 0.7177",3,"EXCLUDE",-2.328,0.627,7.9,41,481,37,4,0.902,9.2,0.177,0.17,0.006,0.955,710,17.32,34.96,33.57,1.39,0.959
"rule3878","gross_by_hh_size >= 1 & shelter_to_gross_ratio >= 1.235 & rawben_rel_max >= 0.9597",3,"EXCLUDE",-6.571,1.75,7.7,40,482,39,1,0.975,39,0.183,0.17,0.012,0.989,177,4.42,35.99,33.57,2.42,0.99
"rule9419","shelter_exp_by_hh_size >= 531.5 & rawben_rel_max < 0.9348 & shelter_to_gross_ratio < 1.235",3,"EXCLUDE",-3.265,0.817,6.7,35,487,31,4,0.886,7.8,0.175,0.17,0.004,0.955,414,11.83,35.14,33.57,1.56,0.976
"rule19056","unearned_by_hh_size >= 77.5 & rawben_rel_max >= 0.6505 & rawben_rel_max < 0.9551",3,"EXCLUDE",-27.042,6.679,6.5,34,488,29,5,0.853,5.8,0.172,0.17,0.002,0.944,503,14.79,34.88,33.57,1.31,0.971
"rule8583","cert_HH_size_FS_n < 4.5 & n_deduction_types >= 3.5 & rawben_rel_max < 0.8362",3,"EXCLUDE",-15.719,3.883,6.5,34,488,29,5,0.853,5.8,0.172,0.17,0.002,0.944,812,23.88,34.25,33.57,0.68,0.954
"rule19689","shelter_exp_by_hh_size >= 471.3 & shelter_to_gross_ratio < 0.7659 & unearned_by_hh_size < 16",3,"EXCLUDE",-7.988,1.946,6.3,33,489,31,2,0.939,15.5,0.178,0.17,0.007,0.978,221,6.7,35.39,33.57,1.81,0.987
"rule8695","n_deduction_types >= 3.5 & rawben_rel_max < 0.8377 & earned_by_hh_size < 650.5",3,"EXCLUDE",-0.588,0.143,6.3,33,489,30,3,0.909,10,0.176,0.17,0.005,0.966,336,10.18,35.15,33.57,1.58,0.981
"rule2116","shelter_exp_by_hh_size >= 526.2 & shelter_exp_by_hh_size >= 558.8 & unearned_by_hh_size < 40.75",3,"EXCLUDE",-9.751,2.272,5.7,30,492,26,4,0.867,6.5,0.173,0.17,0.002,0.955,698,23.27,34.2,33.57,0.63,0.96
"rule303","cert_HH_size_FS_n >= 4.5 & married >= 0.5 & n_income_types >= 1.5",3,"EXCLUDE",-11.678,2.634,5.4,28,494,24,4,0.857,6,0.172,0.17,0.002,0.955,721,25.75,34.02,33.57,0.44,0.959
"rule10319","cert_HH_size_FS_n >= 4.5 & gross_by_hh_size >= 49.7 & shelter_to_gross_ratio >= 0.8839",3,"EXCLUDE",-3.967,0.879,5.2,27,495,23,4,0.852,5.8,0.172,0.17,0.001,0.955,569,21.07,34.26,33.57,0.68,0.968
"rule922","earned_by_hh_size < 253.5 & n_deduction_types < 2.5 & unc_rawben_rel_max >= 1.2",3,"EXCLUDE",-25.843,5.628,5,26,496,25,1,0.962,25,0.177,0.17,0.007,0.989,177,6.81,34.98,33.57,1.4,0.99
