"hh_size","rule_id","n_conditions","n_optimized","n_excluded","n_retained","workload_cut_pct","clean_excluded","errors_lost","exclusion_purity","clean_per_error_lost","err_dollars_lost","dollar_recall_retained","recall_retained","retained_precision","workload_cut_orig","retain_state_orig","retain_national_csv","optimized_rule","original_rule"
"1","rule13958",3,3,267,1131,19.1,264,3,0.989,88,437,0.974,0.976,0.106,24.89,0.856,0.975,"total_deductions < 250 & total_deductions < 250 & n_income_types < 1","total_deductions < 132 & total_deductions < 29.3 & n_income_types < 1.5"
"1","rule7211",4,3,165,1233,11.8,161,4,0.976,40.2,473,0.972,0.967,0.097,9.8,0.972,0.968,"total_deductions < 1100 & rawben_rel_max < 0.25 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 2.5","total_deductions < 1247 & rawben_rel_max < 0.182 & elderly_disabled_i %in% c(""TRUE"") & months_since_cert_n >= 2.5"
"1","rule12919",4,4,160,1238,11.44,155,5,0.969,31,499,0.97,0.959,0.095,10.09,0.985,0.983,"n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 15 & total_deductions < 1200","n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9"
"1","rule11094",4,4,147,1251,10.52,143,4,0.973,35.8,460,0.973,0.967,0.095,12.37,0.959,0.953,"rawunearn < 1900 & months_since_cert_n >= 0 & rawunearn >= 800 & rawben_rel_max >= 0.9913","rawunearn < 2138 & months_since_cert_n >= 2.5 & rawunearn >= 32 & rawben_rel_max >= 0.9913"
"1","rule12969",3,2,143,1255,10.23,140,3,0.979,46.7,389,0.977,0.976,0.096,9.66,0.965,0.961,"rawunearn >= 1400 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 0.7","rawunearn >= 250 & elderly_disabled_i %in% c(""TRUE"") & unc_rawben_rel_max < 0.05774"
"1","rule13406",3,3,130,1268,9.3,124,6,0.954,20.7,492,0.971,0.951,0.092,4.86,0.973,0.969,"unc_rawben_rel_max < 0.45 & months_since_cert_n >= 8 & rawunearn >= 900","unc_rawben_rel_max < 2.353 & months_since_cert_n >= 13.5 & rawunearn >= 1156"
"1","rule13742",4,3,129,1269,9.23,124,5,0.961,24.8,489,0.971,0.959,0.093,12.16,0.958,0.952,"lf_composition %in% c(""all working age"") & shelter_expenses < 1700 & utilities >= 600 & total_deductions >= 634.3","lf_composition %in% c(""all working age"") & shelter_expenses < 1590 & utilities >= 155 & total_deductions >= 634.3"
"1","rule8274",4,3,128,1270,9.16,125,3,0.977,41.7,419,0.975,0.976,0.094,10.66,0.966,0.961,"shelter_to_gross_ratio >= 1.2 & lf_composition %in% c(""all working age"", ""mixed ages"") & total_deductions >= 650 & shelter_expenses < 1549","shelter_to_gross_ratio >= 0.03743 & lf_composition %in% c(""all working age"", ""mixed ages"") & total_deductions >= 727.2 & shelter_expenses < 1549"
"1","rule6412",3,2,118,1280,8.44,115,3,0.975,38.3,389,0.977,0.976,0.094,7.15,0.965,0.96,"unc_rawben_rel_max < 0.45 & shelter_expenses >= 800 & lf_composition %in% c(""mixed ages"", ""no working age"")","unc_rawben_rel_max < 1.916 & shelter_expenses >= 1236 & lf_composition %in% c(""mixed ages"", ""no working age"")"
"1","rule10059",4,3,114,1284,8.15,111,3,0.974,37,324,0.981,0.976,0.093,4.15,0.975,0.972,"lf_composition %in% c(""all working age"", ""no working age"") & total_deductions < 650 & shelter_to_gross_ratio < 0.95 & unc_rawben_rel_max < 0.05","lf_composition %in% c(""all working age"", ""no working age"") & total_deductions < 1115 & shelter_to_gross_ratio < 0.02768 & unc_rawben_rel_max < 1.145"
