"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R739","children_i <= 0 & total_deductions > 516.2 & total_deductions <= 987 & cat_elig > 0 & rawben_rel_max > 0.4341637 & rawben_rel_max <= 0.5601375 & shelter_expenses > 600 & rawunearn <= 499 & months_since_cert_n > 2",9,"INCLUDE",0.991,0.991,0.1,14,14,0,1,0.018,0.012,15,0.067,"earned_overissuance"
"1","R803","rawben_rel_max <= 0.8434164 & shelter_expenses > 2467 & rawearn > 60 & months_since_cert_n > 2",4,"INCLUDE",0.989,0.989,0,5,5,0,1,0.006,0.006,15,0.067,"earned_overissuance"
"1","R804","total_deductions > 1692 & total_deductions <= 1724 & utilities <= 1002",3,"INCLUDE",0.989,0.989,0,5,5,0,1,0.006,0.005,15,0.067,"earned_overissuance"
"1","R796","total_deductions <= 1720 & shelter_expenses > 2123 & rawunearn <= 183 & months_since_cert_n > 5",4,"INCLUDE",0.988,0.988,0.1,10,10,0,1,0.013,0.015,15,0.067,"earned_overissuance"
"1","R797","total_deductions > 948 & total_deductions <= 968 & rawunearn <= 183 & months_since_cert_n > 5 & months_since_cert_n <= 20",5,"INCLUDE",0.986,0.986,0,3,3,0,1,0.004,0.003,15,0.067,"earned_overissuance"
"1","R725","total_deductions <= 1043 & cat_elig > 0 & rawben_rel_max > 0.2775801 & utilities <= 624 & rawearn > 1400 & rawearn <= 1517 & months_since_cert_n <= 5 & count_divisible_by_100 <= 0",8,"INCLUDE",0.985,0.985,0.1,8,8,0,1,0.01,0.006,15,0.067,"earned_overissuance"
"1","R806","rawgross <= 2 & unc_rawben_rel_max > 2.560138 & unc_rawben_rel_max <= 2.66548 & months_since_cert_n > 2",4,"INCLUDE",0.985,0.985,0,1,1,0,1,0.001,0.002,15,0.067,"earned_overissuance"
"1","R740","total_deductions > 446 & cat_elig > 0 & rawben_rel_max > 0.3736655 & rawben_rel_max <= 0.4163701 & utilities <= 757 & rawunearn <= 499 & months_since_cert_n > 2 & count_divisible_by_100 <= 0",8,"INCLUDE",0.98,0.98,0,5,5,0,1,0.006,0.007,15,0.067,"earned_overissuance"
"1","R716","total_deductions <= 2050.6 & shelter_expenses > 2993",2,"INCLUDE",0.979,0.979,0,5,5,0,1,0.006,0.008,15,0.067,"earned_overissuance"
"1","R798","shelter_expenses > 2252 & shelter_expenses <= 2355 & rawunearn <= 183 & months_since_cert_n > 0",4,"INCLUDE",0.979,0.979,0,4,4,0,1,0.005,0.006,15,0.067,"earned_overissuance"
"1","R813","total_deductions > 1692 & total_deductions <= 1720 & months_since_cert_n > 1",3,"INCLUDE",0.977,0.977,0,4,4,0,1,0.005,0.005,15,0.067,"earned_overissuance"
"1","R774","total_deductions <= 1724 & medical_deductions <= 130 & utilities > 49 & utilities <= 1020 & unc_rawben_rel_max > 2.800687 & months_since_cert_n > 2 & months_since_cert_n <= 20",7,"INCLUDE",0.975,0.975,0,3,3,0,1,0.004,0.005,15,0.067,"earned_overissuance"
"1","R790","cat_elig > 0 & shelter_expenses > 535 & shelter_expenses <= 546 & utilities > 299 & rawunearn <= 364 & months_since_cert_n > 4",6,"INCLUDE",0.97,0.97,0,3,3,0,1,0.004,0.004,15,0.067,"earned_overissuance"
"1","R178","elderly_disabled_i <= 0 & shelter_expenses > 2123 & months_since_cert_n > 7",3,"INCLUDE",0.969,0.969,0.1,10,10,0,1,0.013,0.015,15,0.067,"earned_overissuance"
"1","R782","rawearn > 3310 & rawearn <= 3392 & rawunearn <= 183",3,"INCLUDE",0.969,0.969,0,2,2,0,1,0.003,0.003,15,0.067,"earned_overissuance"
"1","R754","total_deductions <= 1124 & rawben_rel_max > 0.956 & shelter_expenses > 2852",3,"INCLUDE",0.967,0.967,0,4,4,0,1,0.005,0.007,15,0.067,"earned_overissuance"
"1","R594","elderly_disabled_i <= 0 & total_deductions > 976 & expedited_i > 0 & unc_rawben_rel_max <= 1.932 & count_divisible_by_100 <= 1",5,"INCLUDE",0.966,0.966,0.1,8,8,0,1,0.01,0.011,15,0.067,"earned_overissuance"
"1","R73","children_i <= 0 & rawben_rel_max > 0.5800712 & rawearn > 1438 & rawearn <= 1551",4,"INCLUDE",0.963,0.963,0.1,8,8,0,1,0.01,0.007,15,0.067,"earned_overissuance"
"1","R595","elderly_disabled_i <= 0 & expedited_i <= 0 & rawearn > 1270 & rawearn <= 1280",4,"INCLUDE",0.963,0.963,0,3,3,0,1,0.004,0.003,15,0.067,"earned_overissuance"
