"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net","error_tag"
"1",0.2,0.9221,0.3897,77,2.1478,71,1,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995","underissuance"
"1",0.3,0.9221,0.3897,77,2.1478,71,1,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995","underissuance"
"1",0.4,0.8194,0.5848,144,4.0167,118,2,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995  OR  rawben_rel_max < 0.7928 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 311","underissuance"
"1",0.5,0.8194,0.5848,144,4.0167,118,2,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995  OR  rawben_rel_max < 0.7928 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 311","underissuance"
"2-3",0.2,0.3627,0.2925,284,4.7215,103,4,"rawgross >= 972 & unc_rawben_rel_max >= -0.004357 & unc_rawben_rel_max < 0.001676  OR  rawunearn >= 753.5 & elderly_disabled_i %in% c(""FALSE"") & shelter_expenses < 547.5  OR  rawben_rel_max < 0.734 & rawben_rel_max >= 0.6839 & utilities >= 719  OR  rawgross >= 1126 & shelter_expenses < 331 & unc_rawben_rel_max >= 0.1773","underissuance"
"2-3",0.3,0.344,0.3328,343,5.7024,118,5,"rawgross >= 972 & unc_rawben_rel_max >= -0.004357 & unc_rawben_rel_max < 0.001676  OR  rawunearn >= 753.5 & elderly_disabled_i %in% c(""FALSE"") & shelter_expenses < 547.5  OR  rawben_rel_max < 0.734 & rawben_rel_max >= 0.6839 & utilities >= 719  OR  rawgross >= 1126 & shelter_expenses < 331 & unc_rawben_rel_max >= 0.1773  OR  rawearn >= 827 & rawearn < 922 & total_deductions >= 251.8","underissuance"
"2-3",0.4,0.3049,0.4545,528,8.7781,161,7,"rawgross >= 972 & unc_rawben_rel_max >= -0.004357 & unc_rawben_rel_max < 0.001676  OR  rawunearn >= 753.5 & elderly_disabled_i %in% c(""FALSE"") & shelter_expenses < 547.5  OR  rawben_rel_max < 0.734 & rawben_rel_max >= 0.6839 & utilities >= 719  OR  rawgross >= 1126 & shelter_expenses < 331 & unc_rawben_rel_max >= 0.1773  OR  rawearn >= 827 & rawearn < 922 & total_deductions >= 251.8  OR  rawgross >= 2916 & unc_rawben_rel_max >= -0.03169 & rawearn < 3203  OR  cat_elig < 0.5 & rawgross >= 1166 & months_since_cert_n < 2.5","underissuance"
"2-3",0.5,0.294,0.5008,602,10.0083,177,8,"rawgross >= 972 & unc_rawben_rel_max >= -0.004357 & unc_rawben_rel_max < 0.001676  OR  rawunearn >= 753.5 & elderly_disabled_i %in% c(""FALSE"") & shelter_expenses < 547.5  OR  rawben_rel_max < 0.734 & rawben_rel_max >= 0.6839 & utilities >= 719  OR  rawgross >= 1126 & shelter_expenses < 331 & unc_rawben_rel_max >= 0.1773  OR  rawearn >= 827 & rawearn < 922 & total_deductions >= 251.8  OR  rawgross >= 2916 & unc_rawben_rel_max >= -0.03169 & rawearn < 3203  OR  cat_elig < 0.5 & rawgross >= 1166 & months_since_cert_n < 2.5  OR  utilities >= 669.5 & total_deductions < 528.2 & rawunearn < 1626","underissuance"
"4+",0.2,0.2768,0.227,289,4.89,80,5,"rawearn >= 352 & total_deductions < 321.3 & total_deductions >= 299  OR  rawben_rel_max >= 0.2111 & rawearn >= 350 & total_deductions < 141.6  OR  rawben_rel_max < 0.6274 & rawgross < 2159 & shelter_expenses < 346  OR  rawearn >= 4093 & utilities >= 591 & rawben_rel_max >= 0.2061  OR  rawgross >= 3166 & cat_elig >= 1.5 & rawearn < 3314","underissuance"
"4+",0.3,0.2522,0.3176,452,7.6481,114,7,"rawearn >= 352 & total_deductions < 321.3 & total_deductions >= 299  OR  rawben_rel_max >= 0.2111 & rawearn >= 350 & total_deductions < 141.6  OR  rawben_rel_max < 0.6274 & rawgross < 2159 & shelter_expenses < 346  OR  rawearn >= 4093 & utilities >= 591 & rawben_rel_max >= 0.2061  OR  rawgross >= 3166 & cat_elig >= 1.5 & rawearn < 3314  OR  rawben_rel_max < 0.9549 & shelter_expenses < 707.5 & shelter_expenses >= 675.5  OR  months_since_cert_n >= 5.5 & shelter_expenses >= 1546 & months_since_cert_n < 7.5","underissuance"
