hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
1,rule2931,recall,30,4,3,30,10,20,1.69,0.333,0.093,0.08,5.53,0.044,0.316,"unc_rawben_rel_max < 1 & rawunearn < 2000 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 1100","unc_rawben_rel_max < 2.331 & rawunearn < 801.5 & elderly_disabled_i %in% c(""TRUE"") & total_deductions >= 406.1"
1,rule7342,recall,30,3,3,30,10,20,1.69,0.333,0.093,0.08,5.53,0.063,0.236,rawgross < 2050 & unc_rawben_rel_max < 1 & total_deductions >= 1100,rawgross < 17 & unc_rawben_rel_max < 2.223 & total_deductions >= 598.5
1,rule5240,recall,30,4,4,30,10,20,1.69,0.333,0.093,0.08,5.53,0.047,0.273,unc_rawben_rel_max < 1 & months_since_cert_n >= 0 & rawgross < 2050 & total_deductions >= 1100,unc_rawben_rel_max < 2.231 & months_since_cert_n >= 4.5 & rawgross < 650 & total_deductions >= 16
1,rule3718,recall,30,3,3,31,10,21,1.75,0.323,0.093,0.098,5.35,0.082,0.301,unc_rawben_rel_max >= -0.45 & total_deductions >= 1050 & rawunearn < 550,unc_rawben_rel_max >= 1.22 & total_deductions >= 71.5 & rawunearn < 0.5
1,rule4342,recall,30,4,3,30,9,21,1.69,0.3,0.084,0.087,4.97,0.146,0.241,"rawearn >= 0 & expedited_i %in% c(""FALSE"") & rawgross >= 0 & shelter_expenses >= 2050","rawearn >= 1114 & expedited_i %in% c(""FALSE"") & rawgross >= 1246 & shelter_expenses >= 375"
1,rule16659,recall,30,3,3,40,12,28,2.25,0.3,0.112,0.075,4.97,0.088,0.281,rawben_rel_max >= 0.7 & utilities < 925 & rawben_rel_max < 0.75,rawben_rel_max >= 0.3126 & utilities < 9 & rawben_rel_max < 0.8043
1,rule13614,recall,30,4,4,38,11,27,2.14,0.289,0.103,0.084,4.8,0.083,0.27,unc_rawben_rel_max < 1 & count_divisible_by_100 >= 0 & total_deductions >= 1100 & total_deductions < 1500,unc_rawben_rel_max < 2.016 & count_divisible_by_100 >= 0.5 & total_deductions >= 401.5 & total_deductions < 796.5
1,rule1868,recall,30,3,3,35,10,25,1.97,0.286,0.093,0.08,4.74,0.149,0.316,rawben_rel_max < 1 & rawunearn < 2000 & total_deductions >= 1100,rawben_rel_max < 0.6496 & rawunearn < 897.5 & total_deductions >= 246
1,rule7338,recall,30,4,4,37,10,27,2.09,0.27,0.093,0.069,4.48,0.1,0.438,rawgross >= 1500 & unc_rawben_rel_max < 0.974 & rawben_rel_max >= 0.45 & rawearn >= 0,rawgross >= 17 & unc_rawben_rel_max < 0.974 & rawben_rel_max >= 0.7966 & rawearn >= 2.5
1,rule5911,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.182,0.36,unc_rawben_rel_max >= 2.05 & rawgross < 550 & utilities < 925,unc_rawben_rel_max >= 1.214 & rawgross < 12.5 & utilities < 727
1,rule2418,recall,30,4,4,30,8,22,1.69,0.267,0.075,0.085,4.42,0.182,0.426,unc_rawben_rel_max >= 2.05 & months_since_cert_n >= 0 & rawgross < 488.5 & shelter_expenses >= 0,unc_rawben_rel_max >= 1.466 & months_since_cert_n >= 5.5 & rawgross < 488.5 & shelter_expenses >= 946
1,rule3131,recall,30,3,3,30,8,22,1.69,0.267,0.075,0.085,4.42,0.127,0.391,rawgross >= 0 & unc_rawben_rel_max >= 2.05 & rawunearn < 400,rawgross >= 948.5 & unc_rawben_rel_max >= -0.003779 & rawunearn < 950.5
1,rule3952,recall,30,4,4,30,8,22,1.69,0.267,0.075,0.085,4.42,0.146,0.242,unc_rawben_rel_max >= 2.05 & rawben_rel_max >= 0.05 & rawgross >= 0 & rawunearn < 550,unc_rawben_rel_max >= -0.003498 & rawben_rel_max >= 0.09583 & rawgross >= 1242 & rawunearn < 1383
