"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net","error_tag"
"1",0.2,0.7385,0.279,195,2.3132,144,1,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5","unearned_overissuance"
"1",0.3,0.6975,0.4416,314,3.7248,219,2,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5  OR  count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")","unearned_overissuance"
"1",0.4,0.6975,0.4416,314,3.7248,219,2,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5  OR  count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")","unearned_overissuance"
"1",0.5,0.6414,0.5093,396,4.6975,254,5,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5  OR  count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")  OR  unc_rawben_rel_max >= 1.522 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5 & months_since_cert_n >= 1.5  OR  count_divisible_by_100 >= 0.5 & rawgross >= 966 & rawben_rel_max >= 0.3746 & rawben_rel_max < 0.7987  OR  unc_rawben_rel_max >= 1.788 & utilities < 606 & utilities >= 554.5","unearned_overissuance"
"2-3",0.2,0.4931,0.2298,144,2.1007,71,3,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152  OR  elderly_disabled_i %in% c(""TRUE"") & children_i %in% c(""TRUE"") & rawunearn < 204  OR  shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5","unearned_overissuance"
"2-3",0.3,0.3734,0.3681,383,5.5872,143,7,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152  OR  elderly_disabled_i %in% c(""TRUE"") & children_i %in% c(""TRUE"") & rawunearn < 204  OR  shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5  OR  count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9641 & utilities >= 589  OR  shelter_expenses >= 1513 & utilities < 684.5 & utilities >= 674  OR  rawunearn >= 987.5 & rawgross < 1067 & rawben_rel_max < 0.6773  OR  count_divisible_by_100 >= 0.5 & rawunearn < 74.5 & married < 0.5","unearned_overissuance"
"2-3",0.4,0.3507,0.4014,442,6.4478,155,8,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152  OR  elderly_disabled_i %in% c(""TRUE"") & children_i %in% c(""TRUE"") & rawunearn < 204  OR  shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5  OR  count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9641 & utilities >= 589  OR  shelter_expenses >= 1513 & utilities < 684.5 & utilities >= 674  OR  rawunearn >= 987.5 & rawgross < 1067 & rawben_rel_max < 0.6773  OR  count_divisible_by_100 >= 0.5 & rawunearn < 74.5 & married < 0.5  OR  shelter_expenses >= 1974 & months_since_cert_n >= 5.5 & total_deductions < 1297","unearned_overissuance"
"2-3",0.5,0.2811,0.5264,715,10.4303,201,14,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152  OR  elderly_disabled_i %in% c(""TRUE"") & children_i %in% c(""TRUE"") & rawunearn < 204  OR  shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5  OR  count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9641 & utilities >= 589  OR  shelter_expenses >= 1513 & utilities < 684.5 & utilities >= 674  OR  rawunearn >= 987.5 & rawgross < 1067 & rawben_rel_max < 0.6773  OR  count_divisible_by_100 >= 0.5 & rawunearn < 74.5 & married < 0.5  OR  shelter_expenses >= 1974 & months_since_cert_n >= 5.5 & total_deductions < 1297  OR  total_deductions >= 1203 & months_since_cert_n < 3.5 & total_deductions < 1464  OR  months_since_cert_n < 2.5 & rawben_rel_max < 0.9727 & rawben_rel_max >= 0.936  OR  count_divisible_by_100 >= 0.5 & rawunearn < 96.5 & unc_rawben_rel_max < 1.138  OR  utilities < 368 & shelter_expenses >= 762.5 & shelter_expenses < 780.5  OR  unc_rawben_rel_max < 1.303 & rawunearn >= 915.5 & rawunearn < 942.5  OR  shelter_expenses >= 2170 & total_deductions < 1532","unearned_overissuance"
"4+",0.2,0.4264,0.2353,129,3.0605,55,4,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 0.5  OR  rawben_rel_max >= 0.7153 & rawunearn >= 1118 & months_since_cert_n >= 8.5  OR  rawunearn >= 1602 & total_deductions >= 700 & total_deductions < 1079  OR  rawearn < 1428 & rawearn >= 1304 & shelter_expenses >= 1216","unearned_overissuance"
"4+",0.3,0.3802,0.3021,192,4.5552,73,7,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 0.5  OR  rawben_rel_max >= 0.7153 & rawunearn >= 1118 & months_since_cert_n >= 8.5  OR  rawunearn >= 1602 & total_deductions >= 700 & total_deductions < 1079  OR  rawearn < 1428 & rawearn >= 1304 & shelter_expenses >= 1216  OR  shelter_expenses < 2420 & rawunearn >= 2484 & rawunearn < 2673  OR  utilities >= 451 & rawunearn >= 2039 & rawben_rel_max >= 0.4485  OR  total_deductions < 374.6 & total_deductions >= 370.5","unearned_overissuance"
