"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"North Carolina","earned_income","1","shelter_expenses_by_hh_size > 2040.000 & unc_rawben_rel_max <=   -0.696","shelter_expenses_by_hh_size > 1530.000 & unc_rawben_rel_max <=   -0.522",FALSE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","2-3","months_since_cert_n >    4.000 & shelter_expenses_by_hh_size > 1310.000 & unc_rawben_rel_max <=    0.982","months_since_cert_n >   3.0000 & shelter_expenses_by_hh_size > 982.5000 & unc_rawben_rel_max <=   0.7365",FALSE,FALSE,1,0,0,0,1,0,0,NA
"North Carolina","earned_income","1","count_divisible_by_100 <=    0.500 & shelter_expenses_by_hh_size > 1780.000 & unc_rawben_rel_max <=   -0.782","count_divisible_by_100 <=    0.3750 & shelter_expenses_by_hh_size > 1602.0000 & unc_rawben_rel_max <=   -0.5865",FALSE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","1","months_since_cert_n >    3.500 & shelter_expenses_by_hh_size > 1680.000 & unc_rawben_rel_max <=   -0.534","months_since_cert_n >    2.6250 & shelter_expenses_by_hh_size > 1512.0000 & unc_rawben_rel_max <=   -0.4005",FALSE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","1","married <=    0.500 & shelter_expenses_by_hh_size > 1890.000 & unc_rawben_rel_max <=   -0.696","married <=    0.375 & shelter_expenses_by_hh_size > 1418.000 & unc_rawben_rel_max <=   -0.522",FALSE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","1","months_since_cert_n >    2.500 & shelter_expenses_by_hh_size > 1890.000 & unc_rawben_rel_max <=   -0.354","months_since_cert_n >    1.875 & shelter_expenses_by_hh_size > 1418.000 & unc_rawben_rel_max <=   -0.354",FALSE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","1","months_since_cert_n >    3.500 & shelter_expenses_by_hh_size > 1480.000 & total_deductions_by_hh_size >  690.000 & unc_rawben_rel_max <=   -0.575","months_since_cert_n >    3.500 & shelter_expenses_by_hh_size > 1480.000 & total_deductions_by_hh_size >  690.000 & unc_rawben_rel_max <=   -0.575",TRUE,FALSE,2,2,1,498,0,NA,0,NA
"North Carolina","earned_income","1","elderly_disabled_i <=    0.5 & months_since_cert_n >   11.5 & shelter_expenses_by_hh_size > 1650.0 & total_deductions_by_hh_size >  596.0","elderly_disabled_i <=    0.45 & months_since_cert_n >   10.35 & shelter_expenses_by_hh_size > 1650.00 & total_deductions_by_hh_size >  536.40",FALSE,FALSE,3,2,0.667,498,0,NA,0,NA
"North Carolina","earned_income","1","elderly_disabled_i <= 0.50 & unc_rawben_rel_max > 1.99 & unc_rawben_rel_max <= 2.24","elderly_disabled_i <= 0.375 & unc_rawben_rel_max > 1.492 & unc_rawben_rel_max <= 1.680",FALSE,FALSE,10,3,0.3,707,7,0,1,0
"North Carolina","earned_income","1","shelter_expenses_by_hh_size > 1780.00 & unc_rawben_rel_max <=   -0.67","shelter_expenses_by_hh_size > 1602.0000 & unc_rawben_rel_max <=   -0.5025",FALSE,FALSE,2,2,1,498,0,NA,0,NA
