"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Arizona","earned_income","2-3","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00",TRUE,6,2,0.333,0.148,0,NA,0,NA
"Arizona","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.4500 & elderly_disabled_i <= 0.4500 & rawben_rel_max > 0.5706 & unc_rawben_rel_max <= 0.7051",FALSE,5,2,0.4,0.18,6,0.167,0,NA
"Arizona","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 5.625 & unc_rawben_rel_max > 1.042",FALSE,71,5,0.07,0.04,42,0.143,0,NA
"Arizona","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 147.400 & unc_rawben_rel_max >   1.042",FALSE,78,5,0.064,0.037,48,0.146,0,NA
"Arizona","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 134.000 & unc_rawben_rel_max >   1.042 & utilities <= 730.500",FALSE,27,3,0.111,0.055,12,0.25,0,NA
"Arizona","earned_income","2-3","total_deductions_by_hh_size > 442.000 & unc_rawben_rel_max >   0.461 & unc_rawben_rel_max <=   0.778 & utilities <= 366.000","total_deductions_by_hh_size > 442.0000 & unc_rawben_rel_max >   0.4149 & unc_rawben_rel_max <=   0.7002 & utilities <= 402.6000",FALSE,7,4,0.571,0.342,2,0.5,2,0.5
"Arizona","earned_income","1","shelter_expenses_by_hh_size > 1310.000 & unc_rawben_rel_max >    0.376 & unc_rawben_rel_max <=    0.648 & utilities <=  302.000","shelter_expenses_by_hh_size > 1310.0000 & unc_rawben_rel_max >    0.3384 & unc_rawben_rel_max <=    0.7128 & utilities <=  332.2000",FALSE,5,1,0.2,0.062,4,0.5,1,0
"Arizona","earned_income","4+","expedited_i > 0.5 & HH_size_n > 6.5 & months_since_cert_n > 5.5","expedited_i > 0.375 & HH_size_n > 4.875 & months_since_cert_n > 4.125",FALSE,12,4,0.333,0.189,3,0.333,1,1
"Arizona","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.042",FALSE,78,5,0.064,0.037,48,0.146,0,NA
"Arizona","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.000 & months_since_cert_n >   6.050 & unc_rawben_rel_max >   1.638 & utilities <= 308.000",FALSE,7,5,0.714,0.472,2,0,1,0
"Arizona","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   6.050 & unc_rawben_rel_max >   1.638 & utilities <= 308.000",FALSE,7,5,0.714,0.472,2,0,1,0
