"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","train_n","train_errors","train_precision","train_lcb","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Virginia","earned_income","1","months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.88 & utilities > 448.00 & utilities <= 466.00","months_since_cert_n >   3.150 & unc_rawben_rel_max >   1.692 & utilities > 403.200 & utilities <= 419.400",FALSE,5,2,0.4,0.18,0,NA,0,NA
"Virginia","earned_income","2-3","HH_size_n >   2.50 & months_since_cert_n >   3.50 & unc_rawben_rel_max >   1.34 & utilities <= 318.00","HH_size_n >   2.250 & months_since_cert_n >   3.150 & unc_rawben_rel_max >   1.206 & utilities <= 349.800",FALSE,5,0,0,0,1,0,0,NA
"Virginia","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,10,2,0.2,0.086,0,NA,0,NA
"Virginia","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,10,2,0.2,0.086,0,NA,0,NA
"Virginia","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 147.400 & unc_rawben_rel_max >   1.042 & utilities <= 730.500",FALSE,17,3,0.176,0.088,2,0,0,NA
"Virginia","earned_income","2-3","percent_abawd >   0.417 & percent_abawd <=   0.833 & shelter_expenses_by_hh_size > 677.000 & utilities <= 419.000","percent_abawd >   0.417 & percent_abawd <=   0.833 & shelter_expenses_by_hh_size > 677.000 & utilities <= 419.000",TRUE,6,3,0.5,0.268,3,0,3,0
"Virginia","earned_income","4+","unc_rawben_rel_max > 1.39","unc_rawben_rel_max > 1.251",FALSE,10,2,0.2,0.086,0,NA,0,NA
"Virginia","earned_income","1","medical_deductions <= 100.00 & months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","medical_deductions <=  90.000 & months_since_cert_n >   6.050 & unc_rawben_rel_max >   1.638 & utilities <= 338.800",FALSE,5,0,0,0,2,1,1,1
"Virginia","earned_income","1","months_since_cert_n >   5.50 & unc_rawben_rel_max >   1.82 & utilities <= 308.00","months_since_cert_n >   4.125 & unc_rawben_rel_max >   1.365 & utilities <= 231.000",FALSE,6,1,0.167,0.051,4,0.5,1,1
"Virginia","earned_income","4+","HH_size_n <= 4.500 & percent_abawd <= 0.775 & unc_rawben_rel_max > 1.380","HH_size_n <= 4.0500 & percent_abawd <= 0.5812 & unc_rawben_rel_max > 1.2420",FALSE,11,3,0.273,0.139,0,NA,0,NA
"Virginia","earned_income","4+","HH_size_n >   5.5 & shelter_expenses_by_hh_size <= 246.0 & total_deductions_by_hh_size > 190.0","HH_size_n >   4.125 & shelter_expenses_by_hh_size <= 307.500 & total_deductions_by_hh_size > 142.500",FALSE,12,3,0.25,0.127,5,0.2,1,0
"Virginia","earned_income","2-3","elderly_disabled_i <=   0.5 & shelter_expenses_by_hh_size > 703.0 & total_deductions_by_hh_size > 331.0 & utilities <= 366.0","elderly_disabled_i <=   0.45 & shelter_expenses_by_hh_size > 632.70 & total_deductions_by_hh_size > 297.90 & utilities <= 329.40",FALSE,7,1,0.143,0.044,3,0,2,0
