"state","error_frame","hh_size","rule_national","rule_tuned","tuned_is_national","qualified","train_n","train_errors","train_precision","train_dollars","test_n_tuned","test_precision_tuned","test_n_national","test_precision_national"
"Connecticut","earned_income","2-3","rawben_rel_max <=    0.966 & shelter_expenses_by_hh_size > 1150.000 & unc_rawben_rel_max >    0.684 & utilities >  851.000","rawben_rel_max <=    0.966 & shelter_expenses_by_hh_size > 1150.000 & unc_rawben_rel_max >    0.684 & utilities >  851.000",TRUE,FALSE,1,1,1,97,3,0.333,3,0.333
"Connecticut","earned_income","4+","months_since_cert_n >   6.5 & shelter_expenses_by_hh_size > 435.0 & total_deductions_by_hh_size <= 271.0 & utilities > 851.0","months_since_cert_n >   5.85 & shelter_expenses_by_hh_size > 391.50 & total_deductions_by_hh_size <= 298.10 & utilities > 765.90",FALSE,TRUE,12,5,0.417,1320,16,0.25,9,0.222
"Connecticut","earned_income","2-3","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0","cat_elig >   1.5 & elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 849.0",TRUE,TRUE,6,3,0.5,350,0,NA,0,NA
"Connecticut","earned_income","1","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0","months_since_cert_n >    3.5 & percent_abawd >    0.5 & shelter_expenses_by_hh_size > 1260.0 & total_deductions_by_hh_size >  943.0",TRUE,FALSE,2,0,0,0,1,0,1,0
"Connecticut","earned_income","1","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641","cat_elig > 0.500 & elderly_disabled_i <= 0.500 & rawben_rel_max > 0.634 & unc_rawben_rel_max <= 0.641",TRUE,FALSE,1,1,1,268,0,NA,0,NA
"Connecticut","earned_income","2-3","percent_abawd <=    0.167 & rawben_rel_max <=    0.971 & shelter_expenses_by_hh_size > 1310.000 & utilities >  847.000","percent_abawd <=    0.1503 & rawben_rel_max <=    1.0680 & shelter_expenses_by_hh_size > 1179.0000 & utilities >  847.0000",FALSE,FALSE,3,1,0.333,367,7,0.429,3,0.667
"Connecticut","earned_income","4+","HH_size_n <= 4.50 & unc_rawben_rel_max > 1.39","HH_size_n <= 4.050 & unc_rawben_rel_max > 1.251",FALSE,FALSE,9,3,0.333,327,4,0.25,0,NA
"Connecticut","earned_income","4+","cat_elig <=   1.500 & elderly_disabled_i <=   0.500 & rawben_rel_max <=   0.952 & utilities > 974.000","cat_elig <=   1.350 & elderly_disabled_i <=   0.450 & rawben_rel_max <=   1.047 & utilities > 876.600",FALSE,FALSE,8,3,0.375,400,56,0.214,0,NA
"Connecticut","earned_income","4+","count_divisible_by_100 >   0.50 & rawben_rel_max <=   0.99 & utilities > 974.00","count_divisible_by_100 >   0.375 & rawben_rel_max <=   0.891 & utilities > 876.600",FALSE,FALSE,4,2,0.5,310,3,0.333,0,NA
"Connecticut","earned_income","4+","medical_deductions <= 134.00 & unc_rawben_rel_max >   1.39","medical_deductions <= 100.500 & unc_rawben_rel_max >   1.251",FALSE,FALSE,9,3,0.333,327,4,0.25,0,NA
"Connecticut","earned_income","4+","total_deductions_by_hh_size > 134.00 & unc_rawben_rel_max >   1.39 & utilities <= 974.00","total_deductions_by_hh_size > 167.500 & unc_rawben_rel_max >   1.251 & utilities <= 974.000",FALSE,FALSE,4,2,0.5,233,2,0,0,NA
"Connecticut","earned_income","2-3","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0","medical_deductions <= 117.0 & months_since_cert_n >   3.5 & shelter_expenses_by_hh_size <= 343.0 & total_deductions_by_hh_size > 468.0",TRUE,FALSE,2,1,0.5,326,0,NA,0,NA
"Connecticut","earned_income","1","months_since_cert_n >    4.50 & percent_abawd >    0.75 & shelter_expenses_by_hh_size >  948.00 & total_deductions_by_hh_size > 1010.00","months_since_cert_n >    4.50 & percent_abawd >    0.75 & shelter_expenses_by_hh_size >  948.00 & total_deductions_by_hh_size > 1010.00",TRUE,FALSE,2,0,0,0,0,NA,0,NA
