"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","approach","x"
0.05,66422,35658,1,0.0839643277805822,1,1,"Typed (4 frames)",1
0.1,49738,30331,0.850608559089124,0.0956117503544229,0.968603874415498,0.966755301431163,"Typed (4 frames)",0.968603874415498
0.15,26645,20746,0.581804924561108,0.12238503807963,0.848029392117568,0.863385721110745,"Typed (4 frames)",0.848029392117568
0.2,7304,12459,0.349402658589938,0.150573882334056,0.626586506346025,0.656699855532313,"Typed (4 frames)",0.626586506346025
0.25,2283,6024,0.168938246676763,0.191069057104914,0.384435537742151,0.408434324304262,"Typed (4 frames)",0.384435537742151
0.3,942,3000,0.0841325929665152,0.22,0.220440881763527,0.235455682300519,"Typed (4 frames)",0.220440881763527
0.35,393,1259,0.0353076448482809,0.258141382049245,0.108550434201737,0.117441380189845,"Typed (4 frames)",0.108550434201737
0.4,187,780,0.021874474171294,0.261538461538462,0.0681362725450902,0.0720492141833388,"Typed (4 frames)",0.0681362725450902
0.45,72,278,0.00779628694823041,0.273381294964029,0.0253841015364061,0.0279037719580416,"Typed (4 frames)",0.0253841015364061
0.5,32,177,0.0049638229850244,0.271186440677966,0.0160320641282565,0.0173551563924572,"Typed (4 frames)",0.0160320641282565
0.55,8,52,0.00145829827808626,0.269230769230769,0.00467601870407482,0.00497737814940509,"Typed (4 frames)",0.00467601870407482
0.6,5,31,0.000869370127320657,0.258064516129032,0.00267201068804275,0.00381821054214402,"Typed (4 frames)",0.00267201068804275
0.65,3,26,0.000729149139043132,0.192307692307692,0.00167000668002672,0.00257529355110711,"Typed (4 frames)",0.00167000668002672
0.7,1,4,0.00011217679062202,0.5,0.000668002672010688,0.00145229045047651,"Typed (4 frames)",0.000668002672010688
0.75,1,4,0.00011217679062202,0.5,0.000668002672010688,0.00145229045047651,"Typed (4 frames)",0.000668002672010688
0.05,21387,35658,1,0.0839643277805822,1,1,"Any-error (1 model)",1
0.1,16362,30194,0.84676650401032,0.0959793336424455,0.967935871743487,0.96607007920027,"Any-error (1 model)",0.967935871743487
0.15,9360,19602,0.54972236244321,0.125905519844914,0.824315297261189,0.848221372462061,"Any-error (1 model)",0.824315297261189
0.2,3357,11356,0.318469908575916,0.155512504402959,0.589846359385438,0.622646214052005,"Any-error (1 model)",0.589846359385438
0.25,1329,5909,0.165713163946379,0.184802843120663,0.364729458917836,0.396281146681336,"Any-error (1 model)",0.364729458917836
0.3,596,3059,0.08578720062819,0.209218698921216,0.21376085504342,0.229614162782155,"Any-error (1 model)",0.21376085504342
0.35,279,1622,0.0454876885972292,0.237361282367448,0.128590514362057,0.132896948286659,"Any-error (1 model)",0.128590514362057
0.4,139,956,0.0268102529586629,0.246861924686192,0.0788243152972612,0.0838959451974487,"Any-error (1 model)",0.0788243152972612
0.45,59,333,0.00933871781928319,0.258258258258258,0.0287241148964596,0.032435755657366,"Any-error (1 model)",0.0287241148964596
0.5,34,183,0.00513208817095743,0.295081967213115,0.0180360721442886,0.0190644051795187,"Any-error (1 model)",0.0180360721442886
0.55,15,92,0.00258006618430647,0.25,0.00768203072812291,0.00931902234014812,"Any-error (1 model)",0.00768203072812291
0.6,5,45,0.00126198889449773,0.311111111111111,0.00467601870407482,0.00668472354138076,"Any-error (1 model)",0.00467601870407482
0.65,2,25,0.000701104941387627,0.2,0.00167000668002672,0.00303210837170261,"Any-error (1 model)",0.00167000668002672
0.05,81435,35658,1,0.0839643277805822,1,1,"Combined",1
0.1,61655,30717,0.861433619384149,0.0946055929941075,0.97060788243153,0.968053416879688,"Combined",0.97060788243153
0.15,33938,21644,0.606988614055752,0.119340232858991,0.862725450901804,0.878314048768789,"Combined",0.862725450901804
0.2,10248,13697,0.384121375287453,0.144265167554939,0.65998663994656,0.688975726002471,"Combined",0.65998663994656
0.25,3471,7325,0.205423747826575,0.178976109215017,0.437875751503006,0.46440746359281,"Combined",0.437875751503006
0.3,1476,4075,0.114280105446183,0.202453987730061,0.275551102204409,0.296128304055945,"Combined",0.275551102204409
0.35,647,2002,0.0561444837063212,0.230769230769231,0.154308617234469,0.159331299238452,"Combined",0.154308617234469
0.4,312,1241,0.0348028492904818,0.230459307010475,0.0955243820975284,0.102705295435468,"Combined",0.0955243820975284
0.45,127,448,0.0125638005496663,0.265625,0.0397461589846359,0.046016479594653,"Combined",0.0397461589846359
0.5,65,263,0.00737562398339783,0.273764258555133,0.0240480961923848,0.0268169333640414,"Combined",0.0240480961923848
0.55,23,117,0.00328117112569409,0.247863247863248,0.00968603874415498,0.0113080702048243,"Combined",0.00968603874415498
0.6,10,68,0.00190700544057435,0.264705882352941,0.00601202404809619,0.00844155720558761,"Combined",0.00601202404809619
0.65,5,51,0.00143025408043076,0.196078431372549,0.00334001336005344,0.00560740192280972,"Combined",0.00334001336005344
0.7,1,4,0.00011217679062202,0.5,0.000668002672010688,0.00145229045047651,"Combined",0.000668002672010688
0.75,1,4,0.00011217679062202,0.5,0.000668002672010688,0.00145229045047651,"Combined",0.000668002672010688
