"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","pool"
0.05,13272,30487,0.854983453923383,0.0937120739987536,0.954241816967268,0.93894289243724,0.93894289243724,"rpart"
0.1,11023,25615,0.718352122945763,0.107280890103455,0.917835671342685,0.904788371017384,0.904788371017384,"rpart"
0.15,7544,15775,0.442397218015593,0.140602218700475,0.740814963259853,0.74773162890648,0.74773162890648,"rpart"
0.2,2515,7187,0.201553648550115,0.181299568665646,0.435203740814963,0.473368647656825,0.473368647656825,"rpart"
0.25,531,2353,0.0659879970834034,0.22014449638759,0.173012692050768,0.19422624134669,0.19422624134669,"rpart"
0.3,103,577,0.0161815020472264,0.23050259965338,0.0444221776887108,0.0405899002049957,0.0405899002049957,"rpart"
0.35,13,162,0.00454316002019182,0.265432098765432,0.0143620574482298,0.013457003256709,0.013457003256709,"rpart"
0.4,1,64,0.00179482864995232,0.359375,0.00768203072812291,0.00695881243373806,0.00695881243373806,"rpart"
0.05,27195,35658,1,0.0839643277805822,1,1,1,"xgboost"
0.1,18319,28869,0.809607942116776,0.0992760400429527,0.957247828991316,0.958804820157715,0.958804820157715,"xgboost"
0.15,8148,17548,0.492119580458803,0.132550718030545,0.77688710754843,0.799050967210213,0.799050967210213,"xgboost"
0.2,1472,7728,0.216725559481743,0.177795031055901,0.458917835671343,0.497545572036842,0.497545572036842,"xgboost"
0.25,313,2596,0.0728027371136912,0.218412942989214,0.18937875751503,0.207361570833896,0.207361570833896,"xgboost"
0.3,60,771,0.0216220763923944,0.268482490272374,0.0691382765531062,0.0692950014941651,0.0692950014941651,"xgboost"
0.35,15,185,0.00518817656626844,0.27027027027027,0.0167000668002672,0.0155469310609334,0.0155469310609334,"xgboost"
0.4,5,84,0.00235571260306243,0.285714285714286,0.00801603206412826,0.00738897972313215,0.00738897972313215,"xgboost"
0.05,25477,35658,1,0.0839643277805822,1,1,1,"ranger"
0.1,18147,27030,0.758034662628302,0.104291527931927,0.941549766199065,0.942058750192719,0.942058750192719,"ranger"
0.15,10079,16711,0.468646587021145,0.136915803961463,0.764195056780227,0.781368426862996,0.781368426862996,"ranger"
0.2,2911,7884,0.221100454316002,0.175291730086251,0.461589846359385,0.500554839667515,0.500554839667515,"ranger"
0.25,996,2419,0.0678389141286668,0.218685407193055,0.176686706746827,0.200752983095948,0.200752983095948,"ranger"
0.3,418,958,0.0268663413539739,0.262004175365344,0.0838343353373413,0.0918045517790082,0.0918045517790082,"ranger"
0.35,166,462,0.0129564193168433,0.285714285714286,0.0440881763527054,0.0473164984382643,0.0473164984382643,"ranger"
0.4,92,240,0.00673060743732122,0.258333333333333,0.0207080828323313,0.0212437925527764,0.0212437925527764,"ranger"
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,0.00948461771261399,"ranger"
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,0.00473564697350664,"ranger"
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,0.0038543750487745,"ranger"
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,0.0038543750487745,"ranger"
