"x","approach","precision_plus_rf","precision_boosted","delta"
0.02,"Optimal + RF (mtry = 1)",0.0857037329012102,0.0943915765509391,-0.00868784364972887
0.04,"Optimal + RF (mtry = 1)",0.103552460619863,0.135275807569176,-0.0317233469493125
0.06,"Optimal + RF (mtry = 1)",0.118016775916892,0.128138909630402,-0.0101221337135106
0.08,"Optimal + RF (mtry = 1)",0.113955886379766,0.121002011691629,-0.00704612531186284
0.1,"Optimal + RF (mtry = 1)",0.109894996842641,0.113865113752856,-0.00397011691021504
0.12,"Optimal + RF (mtry = 1)",0.105834107305515,0.106728215814082,-0.000894108508567248
0.14,"Optimal + RF (mtry = 1)",0.10177321776839,0.102278808610802,-0.000505590842412751
0.16,"Optimal + RF (mtry = 1)",0.097712328231264,0.100560949368188,-0.00284862113692357
0.18,"Optimal + RF (mtry = 1)",0.0936514386941385,0.0988430901255729,-0.00519165143143439
0.2,"Optimal + RF (mtry = 1)",0.0918559898104437,0.0971252308829582,-0.00526924107251443
0.22,"Optimal + RF (mtry = 1)",0.0903616060662181,0.0954073716403435,-0.00504576557412538
0.24,"Optimal + RF (mtry = 1)",0.0888672223219924,0.0936895123977288,-0.00482229007573634
0.26,"Optimal + RF (mtry = 1)",0.0873728385777668,0.0919716531551141,-0.00459881457734729
0.28,"Optimal + RF (mtry = 1)",0.0858784548335411,0.0902537939124994,-0.00437533907895823
0.3,"Optimal + RF (mtry = 1)",0.0843840710893155,0.0885359346698847,-0.0041518635805692
0.32,"Optimal + RF (mtry = 1)",0.0828896873450898,0.08681807542727,-0.00392838808218016
0.34,"Optimal + RF (mtry = 1)",0.0813953036008642,0.0851002161846553,-0.00370491258379109
0.36,"Optimal + RF (mtry = 1)",0.0799009198566385,0.0833823569420405,-0.00348143708540205
0.38,"Optimal + RF (mtry = 1)",0.0784065361124129,0.0816644976994259,-0.003257961587013
0.4,"Optimal + RF (mtry = 1)",0.0769121523681872,0.0799466384568112,-0.00303448608862397
0.42,"Optimal + RF (mtry = 1)",0.0754177686239615,0.0782287792141965,-0.00281101059023491
0.44,"Optimal + RF (mtry = 1)",0.0739233848797359,0.0767332086454511,-0.00280982376571524
0.46,"Optimal + RF (mtry = 1)",0.0724290011355102,0.0752919253395439,-0.00286292420403363
0.48,"Optimal + RF (mtry = 1)",0.0709346173912846,0.0738506420336366,-0.00291602464235201
0.5,"Optimal + RF (mtry = 1)",0.0694402336470589,0.0724093587277293,-0.00296912508067039
0.52,"Optimal + RF (mtry = 1)",0.0679741003408005,0.070968075421822,-0.00299397508102159
0.54,"Optimal + RF (mtry = 1)",0.0665647642437418,0.0695267921159148,-0.00296202787217301
0.56,"Optimal + RF (mtry = 1)",0.0651554281466831,0.0680855088100075,-0.00293008066332444
0.58,"Optimal + RF (mtry = 1)",0.0637460920496244,0.0666442255041002,-0.00289813345447587
0.6,"Optimal + RF (mtry = 1)",0.0623367559525657,0.0652029421981929,-0.00286618624562729
0.62,"Optimal + RF (mtry = 1)",0.060927419855507,0.0637616588922857,-0.00283423903677871
0.64,"Optimal + RF (mtry = 1)",0.0595180837584483,0.0623203755863784,-0.00280229182793015
0.66,"Optimal + RF (mtry = 1)",0.0581087476613896,0.0608790922804711,-0.00277034461908157
0.68,"Optimal + RF (mtry = 1)",0.0566994115643309,0.0594378089745639,-0.002738397410233
0.7,"Optimal + RF (mtry = 1)",0.0552900754672722,0.0579965256686566,-0.00270645020138443
0.72,"Optimal + RF (mtry = 1)",0.0538807393702135,0.0565552423627493,-0.00267450299253585
0.74,"Optimal + RF (mtry = 1)",0.0524714032731548,0.055113959056842,-0.00264255578368729
0.76,"Optimal + RF (mtry = 1)",0.0510620671760961,0.0536726757509348,-0.00261060857483872
0.78,"Optimal + RF (mtry = 1)",0.0496527310790374,0.0522313924450275,-0.00257866136599014
0.8,"Optimal + RF (mtry = 1)",0.0482433949819787,0.0507901091391202,-0.00254671415714156
