"step","rule_added","n_excluded","workload_cut_pct","err_dollars_lost","dollar_recall_retained","errors_lost","recall_retained"
1,"months_since_cert_n >= 12",9,1.7,0,1,0,1
2,"count_divisible_by_100 >= 2",18,3.4,0,1,0,1
3,"lf_composition == ""no working age""",24,4.5,0,1,0,1
4,"n_deduction_types <= 1",42,7.9,66,0.9962,1,0.989
5,"expedited_i == ""TRUE""",68,12.8,343,0.9804,4,0.955
6,"cert_HH_size_FS_n >= 9",74,13.9,408,0.9767,5,0.944
7,"rawben_rel_max <= 0.262447",118,22.2,1155,0.9341,13,0.854
8,"unearned_by_hh_size >= 434.125",135,25.4,1354,0.9227,15,0.831
9,"rawben_rel_max <= 0.4799759",216,40.7,2816,0.8393,26,0.708
10,"earned_by_hh_size >= 766.8769",229,43.1,3024,0.8275,28,0.685
11,"earned_by_hh_size >= 513.9555",294,55.4,4173,0.7619,34,0.618
12,"gross_by_hh_size >= 688.5897",297,55.9,4173,0.7619,34,0.618
13,"unc_rawben_rel_max >= 1.109083",346,65.2,5503,0.686,37,0.584
