"hh_size","recall_floor","workload_cut_pct","n_excluded","recall_retained_obj","errors_lost","err_dollars_lost","n_rules","net"
"1",1,6.3111,71,1,0,0,2,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381  OR  shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040"
"1",0.99,6.3111,71,1,0,0,2,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381  OR  shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040"
"1",0.98,17.8667,201,0.9831,2,250,3,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381  OR  shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040  OR  n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9"
"1",0.95,26.6667,300,0.9641,4,531,5,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381  OR  shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040  OR  n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9  OR  shelter_to_gross_ratio >= 1.376 & rawearn < 9 & rawunearn >= 32.5  OR  shelter_to_gross_ratio < 6.582 & expedited_i %in% c(""TRUE"") & rawearn < 166 & shelter_expenses < 189"
"1",0.9,36.6222,412,0.9312,11,1017,8,"rawearn < 18.5 & total_deductions < 1227 & months_since_cert_n < 6.5 & rawunearn >= 1381  OR  shelter_expenses < 1223 & shelter_expenses < 1182 & total_deductions >= 1040  OR  n_income_types >= 1.5 & shelter_to_gross_ratio < 1.507 & months_since_cert_n < 12.5 & total_deductions < 967.9  OR  shelter_to_gross_ratio >= 1.376 & rawearn < 9 & rawunearn >= 32.5  OR  shelter_to_gross_ratio < 6.582 & expedited_i %in% c(""TRUE"") & rawearn < 166 & shelter_expenses < 189  OR  shelter_to_gross_ratio < 6.582 & total_deductions < 115.6 & lf_composition %in% c(""all working age"", ""no working age"")  OR  unc_rawben_rel_max < 2.348 & total_deductions < 305.5 & utilities < 622 & months_since_cert_n < 4.5  OR  unc_rawben_rel_max < 0.1298 & unc_rawben_rel_max >= -0.01043 & unc_rawben_rel_max >= 0.01431 & unc_rawben_rel_max < 0.07651"
"2",1,9.375,27,1,0,0,1,"shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3"
"2",0.99,18.0556,52,0.9927,1,48,2,"shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3  OR  unc_rawben_rel_max >= -0.3077 & utilities < 589.5 & shelter_expenses < 1334 & rawearn >= 17.5"
"2",0.98,18.0556,52,0.9927,1,48,2,"shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3  OR  unc_rawben_rel_max >= -0.3077 & utilities < 589.5 & shelter_expenses < 1334 & rawearn >= 17.5"
"2",0.95,43.4028,125,0.9551,4,294,4,"shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3  OR  unc_rawben_rel_max >= -0.3077 & utilities < 589.5 & shelter_expenses < 1334 & rawearn >= 17.5  OR  months_since_cert_n >= 0.5 & total_deductions < 1022 & total_deductions >= 130.2 & expedited_i %in% c(""TRUE"")  OR  expedited_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.032 & shelter_to_gross_ratio < 0.6486 & months_since_cert_n < 6.5"
"2",0.9,75,216,0.9035,8,632,7,"shelter_expenses < 1790 & unc_rawben_rel_max >= 1.185 & shelter_expenses >= 685 & total_deductions >= 646.3  OR  unc_rawben_rel_max >= -0.3077 & utilities < 589.5 & shelter_expenses < 1334 & rawearn >= 17.5  OR  months_since_cert_n >= 0.5 & total_deductions < 1022 & total_deductions >= 130.2 & expedited_i %in% c(""TRUE"")  OR  expedited_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.032 & shelter_to_gross_ratio < 0.6486 & months_since_cert_n < 6.5  OR  total_deductions < 670 & shelter_expenses < 1322 & expedited_i %in% c(""FALSE"") & rawunearn < 980  OR  total_deductions < 629.5 & unc_rawben_rel_max < 1.125 & elderly_disabled_i %in% c(""FALSE"")  OR  rawearn < 2236 & total_deductions >= 772.8"
