"hh","rule","source","n_flagged_train","clean_rate_train","clean_rate_train_lcb","n_flagged_holdout","clean_flagged_holdout","clean_rate_holdout","clean_cut_holdout","err_dollars_lost_holdout","workload_pct_holdout","stratum_base_error","stratum_clean_floor","safety_multiple"
"1","medical_deductions >  0.500 & unc_rawben_rel_max <= -0.124","ranger",796,1,0.99661,346,341,0.9855,0.0153,0.0028,1.438,0.0772,0.9846,22.8
"1","cat_elig <=  2.50000 & medical_deductions >  0.50000 & rawben_rel_max <=  0.26600 & unc_rawben_rel_max <= -0.00915","ranger",982,0.99898,0.99545,431,425,0.9861,0.0191,0.0032,1.791,0.0772,0.9846,17
"1","medical_deductions >   3.50000 & rawben_rel_max <=   0.31600 & unc_rawben_rel_max <=  -0.00915 & utilities <= 851.00000","ranger",941,0.99894,0.99525,407,402,0.9877,0.0181,0.0023,1.691,0.0772,0.9846,16.3
"1","medical_deductions >  0.50000 & months_since_cert_n <= 26.50000 & rawben_rel_max <=  0.26600 & unc_rawben_rel_max <= -0.00915","ranger",939,0.99894,0.99524,409,404,0.9878,0.0182,0.0022,1.7,0.0772,0.9846,16.2
"1","medical_deductions >   0.50000 & rawben_rel_max <=   0.75400 & total_deductions_by_hh_size <= 306.00000 & unc_rawben_rel_max <=  -0.00544","ranger",538,1,0.995,247,244,0.9879,0.011,0.0017,1.026,0.0772,0.9846,15.4
"1","cat_elig <= 0.50 & elderly_disabled_i <= 0.50 & homeless > 0.50 & rawben_rel_max > 0.94","ranger",508,1,0.9947,238,237,0.9958,0.0107,9e-04,0.989,0.0772,0.9846,14.6
"1","cat_elig <= 0.5 & elderly_disabled_i <= 0.5 & homeless > 0.5 & unc_rawben_rel_max > 1.0","ranger",506,1,0.99468,238,237,0.9958,0.0107,9e-04,0.989,0.0772,0.9846,14.5
"1","cat_elig <= 0.500 & homeless > 0.500 & percent_abawd <= 0.500 & unc_rawben_rel_max > 0.991","ranger",480,1,0.99439,202,199,0.9851,0.009,0.002,0.839,0.0772,0.9846,13.8
"1","medical_deductions >  0.50000 & rawben_rel_max <=  0.26600 & unc_rawben_rel_max <= -0.00915","ranger",985,0.99797,0.99388,431,425,0.9861,0.0191,0.0032,1.791,0.0772,0.9846,12.6
"1","cat_elig <=  1.50 & medical_deductions >  3.50 & unc_rawben_rel_max <= -0.01","ranger",616,0.99838,0.99276,419,413,0.9857,0.0186,0.0032,1.741,0.0772,0.9846,10.7
"1","cat_elig <=   0.5 & percent_abawd <=   0.5 & shelter_expenses_by_hh_size > 167.0 & total_deductions_by_hh_size <=  42.5","ranger",340,1,0.9921,180,174,0.9667,0.0078,0.0033,0.748,0.0772,0.9846,9.8
"1","cat_elig <=  0.500 & total_deductions_by_hh_size <=  8.800 & unc_rawben_rel_max > -4.100 & unc_rawben_rel_max <=  0.191","ranger",325,1,0.99174,156,153,0.9808,0.0069,0.0016,0.648,0.0772,0.9846,9.3
"1","cat_elig <=   0.5 & homeless >   0.5 & total_deductions_by_hh_size <= 197.0 & utilities <=  18.5","ranger",537,0.99814,0.9917,249,246,0.988,0.0111,0.002,1.035,0.0772,0.9846,9.3
"1","cat_elig <= 0.500 & total_deductions_by_hh_size <= 7.800 & unc_rawben_rel_max <= 0.191","ranger",321,1,0.99164,156,153,0.9808,0.0069,0.0016,0.648,0.0772,0.9846,9.2
"1","cat_elig <= 0.500 & homeless > 0.500 & rawben_rel_max > 0.991","ranger",530,0.99811,0.99159,249,246,0.988,0.0111,0.002,1.035,0.0772,0.9846,9.2
"1","cat_elig <=  0.500 & homeless >  0.500 & months_since_cert_n <= 23.500 & rawben_rel_max >  0.924","ranger",529,0.99811,0.99157,248,245,0.9879,0.011,0.002,1.031,0.0772,0.9846,9.2
"1","cat_elig <=  0.500 & homeless >  0.500 & months_since_cert_n <= 26.500 & rawben_rel_max >  0.991","ranger",528,0.99811,0.99156,248,245,0.9879,0.011,0.002,1.031,0.0772,0.9846,9.1
"1","cat_elig <= 0.50 & homeless > 0.50 & unc_rawben_rel_max > 1.02 & unc_rawben_rel_max <= 1.93","ranger",526,0.9981,0.99152,245,242,0.9878,0.0109,0.002,1.018,0.0772,0.9846,9.1
"1","cat_elig <= 0.500 & children_i <= 0.500 & homeless > 0.500 & rawben_rel_max > 0.998","ranger",524,0.99809,0.99149,249,246,0.988,0.0111,0.002,1.035,0.0772,0.9846,9.1
"1","shelter_expenses_by_hh_size >  14.0000 & total_deductions_by_hh_size <= 257.0000 & unc_rawben_rel_max <=  -0.0292 & utilities > 360.0000","ranger",1035,0.99614,0.99142,547,543,0.9927,0.0244,0.0031,2.273,0.0772,0.9846,9
"1","cat_elig <= 0.500 & homeless > 0.500 & rawben_rel_max > 0.993 & utilities <= 9.500","ranger",518,0.99807,0.99139,242,239,0.9876,0.0108,0.002,1.006,0.0772,0.9846,9
"1","cat_elig <=  0.5 & homeless >  0.5 & months_since_cert_n <=  8.5 & utilities <= 18.5","ranger",509,0.99804,0.99124,229,226,0.9869,0.0102,0.002,0.952,0.0772,0.9846,8.8
"1","cat_elig <= 0.500 & expedited_i > 0.500 & homeless > 0.500 & rawben_rel_max > 0.991","ranger",300,1,0.99106,141,140,0.9929,0.0063,9e-04,0.586,0.0772,0.9846,8.6
