"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R739","children_i <= 0 & total_deductions > 516.2 & total_deductions <= 987 & cat_elig > 0 & rawben_rel_max > 0.4341637 & rawben_rel_max <= 0.5601375 & shelter_expenses > 600 & rawunearn <= 499 & months_since_cert_n > 2",9,"INCLUDE",0.991,0.991,0.1,14,14,0,1,0.018,0.012,15,0.067,"earned_overissuance"
"1","R796","total_deductions <= 1720 & shelter_expenses > 2123 & rawunearn <= 183 & months_since_cert_n > 5",4,"INCLUDE",0.988,0.988,0.1,10,10,0,1,0.013,0.015,15,0.067,"earned_overissuance"
"1","R725","total_deductions <= 1043 & cat_elig > 0 & rawben_rel_max > 0.2775801 & utilities <= 624 & rawearn > 1400 & rawearn <= 1517 & months_since_cert_n <= 5 & count_divisible_by_100 <= 0",8,"INCLUDE",0.985,0.985,0.1,8,8,0,1,0.01,0.006,15,0.067,"earned_overissuance"
"1","R178","elderly_disabled_i <= 0 & shelter_expenses > 2123 & months_since_cert_n > 7",3,"INCLUDE",0.969,0.969,0.1,10,10,0,1,0.013,0.015,15,0.067,"earned_overissuance"
"1","R594","elderly_disabled_i <= 0 & total_deductions > 976 & expedited_i > 0 & unc_rawben_rel_max <= 1.932 & count_divisible_by_100 <= 1",5,"INCLUDE",0.966,0.966,0.1,8,8,0,1,0.01,0.011,15,0.067,"earned_overissuance"
"1","R73","children_i <= 0 & rawben_rel_max > 0.5800712 & rawearn > 1438 & rawearn <= 1551",4,"INCLUDE",0.963,0.963,0.1,8,8,0,1,0.01,0.007,15,0.067,"earned_overissuance"
"1","R741","children_i <= 0 & total_deductions > 516.2 & total_deductions <= 576 & cat_elig > 0 & rawben_rel_max > 0.3736655 & shelter_expenses > 600 & rawunearn <= 11 & count_divisible_by_100 <= 0",8,"INCLUDE",0.926,0.926,0.1,14,13,1,0.929,0.016,0.012,13.93,0.067,"earned_overissuance"
"1","R179","elderly_disabled_i <= 0 & expedited_i > 0 & rawgross > 1865 & months_since_cert_n <= 7",4,"INCLUDE",0.915,0.915,0.1,9,8,1,0.889,0.01,0.011,13.33,0.067,"earned_overissuance"
"1","R705","shelter_expenses <= 1370 & rawunearn <= 875 & unc_rawben_rel_max > -0.516 & unc_rawben_rel_max <= -0.395189 & months_since_cert_n > 3",5,"INCLUDE",0.944,0.944,0.1,8,7,1,0.875,0.009,0.012,13.12,0.067,"earned_overissuance"
"1","R453","total_deductions <= 982 & cat_elig <= 1 & rawben_rel_max > 0.488 & rawearn > 1344 & months_since_cert_n > 4",5,"INCLUDE",0.855,0.855,0.1,8,7,1,0.875,0.009,0.006,13.12,0.067,"earned_overissuance"
