"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"elderly_disabled_i <= 0 & shelter_expenses > 2123 & months_since_cert_n > 7",10,0.0841,1,0.0154,0.0126,0.0154,10,"earned_overissuance"
"1",2,"children_i <= 0 & total_deductions > 516.2 & total_deductions <= 987 & cat_elig > 0 & rawben_rel_max > 0.4341637 & rawben_rel_max <= 0.5601375 & shelter_expenses > 600 & rawunearn <= 499 & months_since_cert_n > 2",24,0.2018,1,0.027,0.0303,0.027,24,"earned_overissuance"
"1",3,"elderly_disabled_i <= 0 & total_deductions > 976 & expedited_i > 0 & unc_rawben_rel_max <= 1.932 & count_divisible_by_100 <= 1",30,0.2522,1,0.035,0.0378,0.035,30,"earned_overissuance"
"1",4,"children_i <= 0 & rawben_rel_max > 0.5800712 & rawearn > 1438 & rawearn <= 1551",38,0.3195,1,0.0416,0.0479,0.0416,38,"earned_overissuance"
"1",5,"shelter_expenses <= 1370 & rawunearn <= 875 & unc_rawben_rel_max > -0.516 & unc_rawben_rel_max <= -0.395189 & months_since_cert_n > 3",46,0.3867,0.9783,0.0536,0.0567,0.0536,45,"earned_overissuance"
"1",6,"children_i <= 0 & total_deductions > 516.2 & total_deductions <= 576 & cat_elig > 0 & rawben_rel_max > 0.3736655 & shelter_expenses > 600 & rawunearn <= 11 & count_divisible_by_100 <= 0",59,0.496,0.9661,0.0639,0.0719,0.0639,57,"earned_overissuance"
"1",7,"total_deductions > 1692 & total_deductions <= 1724 & utilities <= 1002",64,0.538,0.9688,0.069,0.0782,0.069,62,"earned_overissuance"
"1",8,"total_deductions <= 2050.6 & shelter_expenses > 2993",67,0.5633,0.9701,0.0739,0.082,0.0739,65,"earned_overissuance"
"1",9,"total_deductions <= 1724 & medical_deductions <= 130 & utilities > 49 & utilities <= 1020 & unc_rawben_rel_max > 2.800687 & months_since_cert_n > 2 & months_since_cert_n <= 20",70,0.5885,0.9714,0.0786,0.0858,0.0786,68,"earned_overissuance"
"1",10,"total_deductions > 446 & cat_elig > 0 & rawben_rel_max > 0.3736655 & rawben_rel_max <= 0.4163701 & utilities <= 757 & rawunearn <= 499 & months_since_cert_n > 2 & count_divisible_by_100 <= 0",73,0.6137,0.9726,0.0831,0.0895,0.0831,71,"earned_overissuance"
"1",11,"total_deductions <= 1102 & utilities > 850 & utilities <= 860 & rawearn <= 0 & rawunearn <= 30 & months_since_cert_n > 5",79,0.6641,0.962,0.0912,0.0958,0.0912,76,"earned_overissuance"
"1",12,"cat_elig > 0 & shelter_expenses > 535 & shelter_expenses <= 546 & utilities > 299 & rawunearn <= 364 & months_since_cert_n > 4",82,0.6894,0.9634,0.0951,0.0996,0.0951,79,"earned_overissuance"
