"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R207","elderly_disabled_i > 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.656 & rawearn > 138 & rawunearn <= 850 & rawgross <= 1823",6,"INCLUDE",0.992,0.992,0.5,17,17,0,1,0.071,0.07,15,0.067,"underissuance"
"1","R1551","elderly_disabled_i <= 0 & total_deductions <= 421 & cat_elig > 0 & rawben_rel_max <= 0.8007118 & unc_rawben_rel_max > 0.0137457 & months_since_cert_n > 5",6,"INCLUDE",0.99,0.99,0.7,26,26,0,1,0.109,0.087,15,0.067,"underissuance"
"1","R402","elderly_disabled_i <= 0 & total_deductions <= 421 & rawben_rel_max <= 0.8042704 & shelter_expenses > 293 & rawgross <= 1094",5,"INCLUDE",0.989,0.989,0.7,26,26,0,1,0.109,0.089,15,0.067,"underissuance"
"1","R1278","elderly_disabled_i <= 0 & rawben_rel_max <= 0.8007118 & rawgross <= 1030 & months_since_cert_n > 5",4,"INCLUDE",0.989,0.989,0.8,28,28,0,1,0.117,0.093,15,0.067,"underissuance"
"1","R1386","elderly_disabled_i <= 0 & total_deductions <= 538 & unc_rawben_rel_max > -0.01030928 & unc_rawben_rel_max <= -0.003436426",4,"INCLUDE",0.989,0.989,0.6,23,23,0,1,0.096,0.154,15,0.067,"underissuance"
"1","R1570","total_deductions > 181 & rawben_rel_max <= 0.8007118 & rawearn > 170 & rawearn <= 1079 & rawunearn <= 850 & months_since_cert_n > 4",6,"INCLUDE",0.989,0.989,0.5,19,19,0,1,0.079,0.07,15,0.067,"underissuance"
"1","R1279","elderly_disabled_i <= 0 & rawben_rel_max <= 0.8007118 & rawunearn > 701 & rawgross <= 1030",4,"INCLUDE",0.988,0.988,0.8,27,27,0,1,0.113,0.135,15,0.067,"underissuance"
"1","R268","elderly_disabled_i <= 0 & rawben_rel_max > 0.08934708 & rawben_rel_max <= 0.8007118 & utilities <= 559 & rawunearn > 693 & rawunearn <= 1461",6,"INCLUDE",0.987,0.987,0.7,25,25,0,1,0.105,0.124,15,0.067,"underissuance"
"1","R1401","elderly_disabled_i <= 0 & unc_rawben_rel_max > -0.007117438 & unc_rawben_rel_max <= -0.003436426",3,"INCLUDE",0.986,0.986,0.7,26,26,0,1,0.109,0.171,15,0.067,"underissuance"
"1","R1552","elderly_disabled_i <= 0 & cat_elig > 0 & rawben_rel_max > 0.108 & rawben_rel_max <= 0.8007118 & shelter_expenses > 55 & shelter_expenses <= 354",6,"INCLUDE",0.986,0.986,0.3,9,9,0,1,0.038,0.03,15,0.067,"underissuance"
