"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","R885","elderly_disabled_i > 0 & utilities <= 852 & unc_rawben_rel_max > 2.548 & unc_rawben_rel_max <= 2.707904",4,"INCLUDE",0.992,0.992,0.1,12,12,0,1,0.021,0.026,15,0.067,"unearned_overissuance"
"1","R829","unc_rawben_rel_max > 2.979382 & unc_rawben_rel_max <= 3.145907",2,"INCLUDE",0.984,0.984,0.1,6,6,0,1,0.011,0.011,15,0.067,"unearned_overissuance"
"1","R897","shelter_expenses > 4424",1,"INCLUDE",0.984,0.984,0,1,1,0,1,0.002,0.003,15,0.067,"unearned_overissuance"
"1","R914","total_deductions > 25 & rawben_rel_max > 0.8469751 & rawben_rel_max <= 0.8487973 & shelter_expenses <= 550",4,"INCLUDE",0.984,0.984,0,2,2,0,1,0.004,0.003,15,0.067,"unearned_overissuance"
"1","R928","rawearn > 90 & rawearn <= 93",2,"INCLUDE",0.984,0.984,0,2,2,0,1,0.004,0.002,15,0.067,"unearned_overissuance"
"1","R889","elderly_disabled_i > 0 & rawgross <= 0 & percent_abawd > 0",3,"INCLUDE",0.982,0.982,0,4,4,0,1,0.007,0.011,15,0.067,"unearned_overissuance"
"1","R929","rawearn > 275 & rawearn <= 276",2,"INCLUDE",0.981,0.981,0,1,1,0,1,0.002,0.002,15,0.067,"unearned_overissuance"
"1","R871","shelter_expenses > 1255 & shelter_expenses <= 1257 & utilities <= 511",3,"INCLUDE",0.979,0.979,0,1,1,0,1,0.002,0.002,15,0.067,"unearned_overissuance"
"1","R814","rawben_rel_max <= 0.9964413 & utilities > 503 & utilities <= 505 & rawunearn <= 746",4,"INCLUDE",0.978,0.978,0,3,3,0,1,0.005,0.005,15,0.067,"unearned_overissuance"
"1","R898","total_deductions > 401 & total_deductions <= 403.2 & rawunearn <= 726",3,"INCLUDE",0.974,0.974,0,2,2,0,1,0.004,0.004,15,0.067,"unearned_overissuance"
"1","R204","total_deductions > 800.8 & total_deductions <= 802 & rawben_rel_max <= 0.975089",3,"INCLUDE",0.973,0.973,0,3,3,0,1,0.005,0.005,15,0.067,"unearned_overissuance"
"1","R840","shelter_expenses <= 700 & utilities <= 600 & rawunearn > 581 & rawunearn <= 592",4,"INCLUDE",0.973,0.973,0,3,3,0,1,0.005,0.006,15,0.067,"unearned_overissuance"
"1","R907","rawearn > 227 & rawearn <= 232 & unc_rawben_rel_max > 1.233677",3,"INCLUDE",0.972,0.972,0,1,1,0,1,0.002,0.003,15,0.067,"unearned_overissuance"
"1","R815","medical_deductions > 73.09447 & medical_deductions <= 78",2,"INCLUDE",0.971,0.971,0,2,2,0,1,0.004,0.003,15,0.067,"unearned_overissuance"
"1","R872","rawben_rel_max > 0.3772242 & rawearn > 129 & rawearn <= 133",3,"INCLUDE",0.971,0.971,0,1,1,0,1,0.002,0.001,15,0.067,"unearned_overissuance"
