"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"elderly_disabled_i > 0 & shelter_expenses <= 1597 & unc_rawben_rel_max > 2.75945",12,0.1423,1,0.029,0.0214,0.029,12,"unearned_overissuance"
"1",2,"shelter_expenses <= 1204 & rawunearn <= 0 & unc_rawben_rel_max > 1.213523 & months_since_cert_n > 25",26,0.3084,1,0.0565,0.0463,0.0565,26,"unearned_overissuance"
"1",3,"elderly_disabled_i > 0 & utilities <= 852 & unc_rawben_rel_max > 2.548 & unc_rawben_rel_max <= 2.707904",38,0.4508,1,0.0829,0.0676,0.0829,38,"unearned_overissuance"
"1",4,"medical_deductions > 5 & rawgross <= 0 & months_since_cert_n > 1",53,0.6287,0.9811,0.115,0.0925,0.115,52,"unearned_overissuance"
"1",5,"elderly_disabled_i > 0 & cat_elig <= 1 & shelter_expenses > 359 & utilities <= 292 & rawgross <= 0",88,1.0439,0.9545,0.1713,0.1495,0.1713,84,"unearned_overissuance"
"1",6,"elderly_disabled_i > 0 & total_deductions > 17 & rawgross <= 0 & unc_rawben_rel_max <= 1.616",127,1.5065,0.9291,0.2534,0.21,0.2534,118,"unearned_overissuance"
"1",7,"shelter_expenses <= 1204 & utilities <= 703 & unc_rawben_rel_max > 2.028 & unc_rawben_rel_max <= 2.206186 & months_since_cert_n > 2",153,1.8149,0.9281,0.2859,0.2527,0.2859,142,"unearned_overissuance"
"1",8,"total_deductions > 1728 & expedited_i <= 0 & rawgross <= 24 & months_since_cert_n <= 13",163,1.9336,0.9264,0.3072,0.2687,0.3072,151,"unearned_overissuance"
"1",9,"elderly_disabled_i > 0 & total_deductions <= 1603 & utilities > 487 & utilities <= 571 & rawgross <= 0",178,2.1115,0.9213,0.3362,0.2918,0.3362,164,"unearned_overissuance"
"1",10,"elderly_disabled_i > 0 & rawgross <= 0 & percent_abawd > 0",181,2.1471,0.9227,0.3439,0.2972,0.3439,167,"unearned_overissuance"
"1",11,"elderly_disabled_i > 0 & total_deductions > 31 & utilities <= 852 & rawgross <= 0 & months_since_cert_n > 18",192,2.2776,0.9167,0.3659,0.3132,0.3659,176,"unearned_overissuance"
"1",12,"utilities > 586 & utilities <= 601 & rawgross <= 0",199,2.3606,0.9146,0.3802,0.3238,0.3802,182,"unearned_overissuance"
"1",13,"total_deductions > 963 & total_deductions <= 1065 & rawben_rel_max <= 0.975089 & medical_deductions <= 337 & utilities <= 730 & rawearn <= 276 & rawgross <= 1545",208,2.4674,0.9135,0.3923,0.3381,0.3923,190,"unearned_overissuance"
"1",14,"shelter_expenses <= 700 & utilities <= 600 & rawunearn > 581 & rawunearn <= 592",211,2.503,0.9147,0.398,0.3434,0.398,193,"unearned_overissuance"
"1",15,"rawben_rel_max <= 0.9964413 & utilities > 503 & utilities <= 505 & rawunearn <= 746",214,2.5386,0.9159,0.4029,0.3488,0.4029,196,"unearned_overissuance"
"1",16,"rawgross > 619 & rawgross <= 622 & unc_rawben_rel_max <= 1.213523",217,2.5741,0.9171,0.4078,0.3541,0.4078,199,"unearned_overissuance"
"1",17,"total_deductions > 800.8 & total_deductions <= 802 & rawben_rel_max <= 0.975089",220,2.6097,0.9182,0.4127,0.3594,0.4127,202,"unearned_overissuance"
