"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule6842","rawgross < 27.5 & months_since_cert_n >= 4.5 & shelter_expenses >= 12.5",3,"INCLUDE",-0.154,0.028,3.3,397,139,258,0.35,0.175,0.203,5.25,0.067,"earned_overissuance"
"1","rule1259","unc_rawben_rel_max >= 1.755 & months_since_cert_n >= 3.5 & utilities < 886",3,"INCLUDE",-0.061,0.01,3,362,125,237,0.345,0.158,0.186,5.18,0.067,"earned_overissuance"
"1","rule10025","rawgross < 33 & months_since_cert_n >= 2.5 & shelter_expenses >= 12.5 & utilities < 478",4,"INCLUDE",-0.194,0.032,2.7,324,109,215,0.336,0.137,0.161,5.05,0.067,"earned_overissuance"
"1","rule737","rawearn >= 1 & unc_rawben_rel_max < 0.972 & rawgross < 1354",3,"INCLUDE",-0.129,0.026,4.3,517,162,355,0.313,0.204,0.166,4.7,0.067,"earned_overissuance"
"1","rule3259","rawunearn < 15.5 & months_since_cert_n >= 3.5 & shelter_expenses >= 793",3,"INCLUDE",0.065,0.012,3.8,451,140,311,0.31,0.177,0.186,4.66,0.067,"earned_overissuance"
"1","rule524","rawunearn < 499.5 & shelter_expenses < 1254 & rawben_rel_max < 0.982 & unc_rawben_rel_max >= 0.4344",4,"INCLUDE",-0.071,0.013,3.6,424,124,300,0.292,0.156,0.132,4.39,0.067,"earned_overissuance"
"1","rule2571","rawearn >= 1.5 & rawben_rel_max < 0.972",2,"INCLUDE",-0.698,0.188,7.9,936,258,678,0.276,0.325,0.277,4.13,0.067,"earned_overissuance"
"1","rule735","rawearn >= 1 & unc_rawben_rel_max < 0.972",2,"INCLUDE",-0.435,0.117,7.9,937,258,679,0.275,0.325,0.277,4.13,0.067,"earned_overissuance"
"1","rule5737","unc_rawben_rel_max < 1.66 & married < 0.5 & rawearn >= 3.5 & rawben_rel_max < 0.9772",4,"INCLUDE",-0.373,0.1,7.7,920,253,667,0.275,0.319,0.273,4.12,0.067,"earned_overissuance"
"1","rule1709","rawunearn < 59 & total_deductions >= 57.5 & months_since_cert_n >= 3.5 & months_since_cert_n < 9.5",4,"INCLUDE",-0.007,0.002,6.5,768,207,561,0.27,0.261,0.278,4.04,0.067,"earned_overissuance"
"1","rule7602","rawunearn < 361.5 & rawben_rel_max < 0.9244 & utilities >= 21",3,"INCLUDE",0.012,0.002,4.1,485,128,357,0.264,0.161,0.128,3.96,0.067,"earned_overissuance"
"1","rule7241","count_divisible_by_100 < 0.5 & unc_rawben_rel_max >= 1.57 & utilities < 559.5",3,"INCLUDE",-0.16,0.034,4.6,550,139,411,0.253,0.175,0.199,3.79,0.067,"earned_overissuance"
"1","rule7342","rawearn < 262.5 & shelter_expenses >= 958.5 & rawunearn < 750",3,"INCLUDE",-0.019,0.004,3.9,468,118,350,0.252,0.149,0.172,3.78,0.067,"earned_overissuance"
"1","rule956","rawunearn < 493.5 & shelter_expenses < 1030 & unc_rawben_rel_max < 0.982",3,"INCLUDE",-0.039,0.009,5,600,150,450,0.25,0.189,0.167,3.75,0.067,"earned_overissuance"
"1","rule3466","rawunearn < 27.5 & cat_elig >= 0.5 & shelter_expenses >= 587",3,"INCLUDE",-0.189,0.053,8.8,1043,260,783,0.249,0.328,0.329,3.74,0.067,"earned_overissuance"
"1","rule5867","rawunearn < 499.5 & cat_elig >= 0.5 & unc_rawben_rel_max >= 1.472 & utilities < 578.5",4,"INCLUDE",-0.018,0.004,5,598,147,451,0.246,0.185,0.214,3.69,0.067,"earned_overissuance"
"1","rule2936","rawunearn < 495.5 & rawben_rel_max < 0.9809 & months_since_cert_n < 8.5 & unc_rawben_rel_max < 0.8701",4,"INCLUDE",0.28,0.058,4.5,541,128,413,0.237,0.161,0.135,3.55,0.067,"earned_overissuance"
"1","rule4313","rawben_rel_max < 0.964 & expedited_i %in% c(""FALSE"") & rawearn >= 72",3,"INCLUDE",0.314,0.079,6.7,800,189,611,0.236,0.238,0.195,3.54,0.067,"earned_overissuance"
"1","rule9975","elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max < 1.017 & shelter_expenses < 721.5",3,"INCLUDE",-0.027,0.005,4,477,112,365,0.235,0.141,0.133,3.52,0.067,"earned_overissuance"
"1","rule4765","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.9529 & expedited_i %in% c(""FALSE"")",3,"INCLUDE",0.038,0.009,5.7,683,158,525,0.231,0.199,0.17,3.47,0.067,"earned_overissuance"
"1","rule5941","rawunearn < 761.5 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max >= 1.544 & unc_rawben_rel_max < 2.202",4,"INCLUDE",-0.07,0.016,5.7,675,152,523,0.225,0.192,0.217,3.38,0.067,"earned_overissuance"
"1","rule7870","elderly_disabled_i %in% c(""FALSE"") & cat_elig >= 0.5 & months_since_cert_n >= 5.5",3,"INCLUDE",-0.12,0.036,9.9,1183,246,937,0.208,0.31,0.335,3.12,0.067,"earned_overissuance"
"2","rule5727","percent_abawd < 0.75 & rawearn >= 14 & rawben_rel_max < 0.9874 & rawgross < 1538",4,"INCLUDE",-0.435,0.124,8.8,691,142,549,0.205,0.273,0.247,3.08,0.067,"earned_overissuance"
"2","rule7523","rawearn >= 3 & rawben_rel_max < 0.9835 & rawgross < 1548",3,"INCLUDE",-0.088,0.026,9.2,719,147,572,0.204,0.282,0.257,3.07,0.067,"earned_overissuance"
"2","rule7108","rawearn >= 402.5 & utilities < 416 & utilities >= 235.5 & rawben_rel_max < 0.9284",4,"INCLUDE",0,0,5,389,79,310,0.203,0.152,0.123,3.05,0.067,"earned_overissuance"
"2","rule5977","children_i %in% c(""TRUE"") & shelter_expenses >= 1404 & rawunearn < 609.5",3,"INCLUDE",0,0,5.9,461,93,368,0.202,0.179,0.199,3.03,0.067,"earned_overissuance"
"2","rule120","shelter_expenses < 2504 & rawearn >= 3 & rawben_rel_max < 0.9867 & rawgross < 1499",4,"INCLUDE",-0.002,0.001,8.6,675,135,540,0.2,0.259,0.233,3,0.067,"earned_overissuance"
"3","rule12598","rawunearn < 846.5 & rawunearn >= 831.5 & shelter_expenses >= 785.5",3,"INCLUDE",-0.225,0.016,0.5,33,11,22,0.333,0.024,0.025,5,0.067,"earned_overissuance"
"3","rule10134","unc_rawben_rel_max >= 1.34 & months_since_cert_n >= 3.5 & months_since_cert_n < 4.5",3,"INCLUDE",-0.177,0.014,0.7,46,15,31,0.326,0.033,0.055,4.89,0.067,"earned_overissuance"
"3","rule6533","unc_rawben_rel_max < 1.287 & utilities >= 902 & utilities < 938.5",3,"INCLUDE",-0.006,0.001,0.9,61,19,42,0.311,0.042,0.039,4.67,0.067,"earned_overissuance"
"3","rule2046","rawearn >= 1165 & rawben_rel_max >= 0.7962 & rawben_rel_max < 0.8231",3,"INCLUDE",-0.183,0.018,1,67,19,48,0.284,0.042,0.037,4.25,0.067,"earned_overissuance"
"3","rule9852","total_deductions >= 1036 & utilities < 425 & utilities >= 377.5",3,"INCLUDE",-0.029,0.002,0.6,40,11,29,0.275,0.024,0.017,4.12,0.067,"earned_overissuance"
"3","rule7705","rawunearn < 847 & rawunearn >= 823.5 & total_deductions >= 443.8",3,"INCLUDE",-0.022,0.002,0.7,46,12,34,0.261,0.026,0.026,3.91,0.067,"earned_overissuance"
"3","rule7390","utilities >= 851 & rawgross < 1062 & shelter_expenses >= 1436",3,"INCLUDE",-0.22,0.023,1.1,75,19,56,0.253,0.042,0.051,3.8,0.067,"earned_overissuance"
"3","rule7574","rawben_rel_max >= 0.6988 & rawearn >= 1011 & utilities >= 574",3,"INCLUDE",-0.04,0.007,2.8,191,48,143,0.251,0.105,0.095,3.77,0.067,"earned_overissuance"
"3","rule12189","utilities >= 591 & rawben_rel_max >= 0.6346 & rawearn >= 1029",3,"INCLUDE",-0.04,0.007,3.2,220,54,166,0.245,0.118,0.106,3.68,0.067,"earned_overissuance"
"3","rule12962","utilities < 340.5 & unc_rawben_rel_max >= 1.173 & months_since_cert_n >= 2.5",3,"INCLUDE",-0.06,0.007,1.5,106,24,82,0.226,0.053,0.09,3.4,0.067,"earned_overissuance"
"3","rule7621","rawearn >= 1678 & rawben_rel_max >= 0.5651 & rawgross < 1801",3,"INCLUDE",-0.042,0.005,1.2,84,19,65,0.226,0.042,0.033,3.39,0.067,"earned_overissuance"
"3","rule2830","rawearn >= 1042 & rawearn < 1235 & months_since_cert_n >= 3.5",3,"INCLUDE",-0.098,0.012,1.6,107,24,83,0.224,0.053,0.041,3.36,0.067,"earned_overissuance"
"3","rule6519","shelter_expenses >= 1272 & rawgross < 1827 & rawearn >= 891.5",3,"INCLUDE",-0.111,0.019,3.1,213,47,166,0.221,0.103,0.085,3.31,0.067,"earned_overissuance"
"3","rule6727","unc_rawben_rel_max < 1.305 & shelter_expenses >= 1898 & cat_elig >= 1.5",3,"INCLUDE",-0.032,0.004,1.7,115,25,90,0.217,0.055,0.047,3.26,0.067,"earned_overissuance"
"3","rule1033","utilities >= 591 & rawearn >= 766 & rawben_rel_max >= 0.6417",3,"INCLUDE",-0.245,0.047,3.9,264,57,207,0.216,0.125,0.115,3.24,0.067,"earned_overissuance"
"3","rule7899","unc_rawben_rel_max >= 0.789 & unc_rawben_rel_max < 0.8365 & rawearn >= 17",3,"INCLUDE",-0.186,0.027,2.1,144,31,113,0.215,0.068,0.064,3.23,0.067,"earned_overissuance"
"3","rule9115","shelter_expenses >= 1816 & rawben_rel_max >= 0.6403 & unc_rawben_rel_max < 1.196",3,"INCLUDE",-0.094,0.016,3,209,45,164,0.215,0.098,0.099,3.23,0.067,"earned_overissuance"
"3","rule2260","shelter_expenses >= 1860 & unc_rawben_rel_max >= 0.6412 & unc_rawben_rel_max < 1.336",3,"INCLUDE",-0.351,0.062,3.3,224,48,176,0.214,0.105,0.111,3.21,0.067,"earned_overissuance"
"3","rule5563","utilities >= 902 & rawgross < 2306 & rawgross >= 333.5",3,"INCLUDE",-0.219,0.033,2.3,159,34,125,0.214,0.074,0.073,3.21,0.067,"earned_overissuance"
"3","rule763","shelter_expenses >= 1862 & cat_elig >= 1.5",2,"INCLUDE",-0.024,0.004,2.2,148,31,117,0.209,0.068,0.058,3.14,0.067,"earned_overissuance"
"3","rule3889","rawearn >= 1852 & rawben_rel_max >= 0.3778 & rawunearn >= 11.5",3,"INCLUDE",-0.045,0.005,1.1,72,15,57,0.208,0.033,0.022,3.12,0.067,"earned_overissuance"
"4","rule2574","shelter_expenses >= 1614 & total_deductions < 1004 & rawearn >= 399.5",3,"INCLUDE",-0.019,0.003,2.5,131,28,103,0.214,0.079,0.075,3.21,0.067,"earned_overissuance"
"4","rule7139","unc_rawben_rel_max < 0.9927 & rawearn >= 4.5 & rawgross < 1195",3,"INCLUDE",-0.557,0.108,3.9,206,43,163,0.209,0.122,0.166,3.13,0.067,"earned_overissuance"
"4","rule5396","shelter_expenses >= 1440 & total_deductions < 1046 & total_deductions >= 943.5",3,"INCLUDE",-0.026,0.004,2.6,140,29,111,0.207,0.082,0.074,3.11,0.067,"earned_overissuance"
"5+","rule2536","total_deductions >= 352.3 & utilities < 292.5 & utilities >= 285.5",3,"INCLUDE",-0.083,0.006,0.5,30,13,17,0.433,0.031,0.023,6.03,0.072,"earned_overissuance"
"5+","rule14272","cat_elig >= 1.5 & rawben_rel_max < 0.3909 & rawben_rel_max >= 0.3416",3,"INCLUDE",-0.056,0.006,1,61,15,46,0.246,0.035,0.025,3.42,0.072,"earned_overissuance"
"5+","rule9592","rawgross < 4178 & utilities >= 285.5 & utilities < 301.5",3,"INCLUDE",-0.221,0.027,1.5,91,21,70,0.231,0.049,0.037,3.21,0.072,"earned_overissuance"
"5+","rule1763","rawearn >= 1106 & months_since_cert_n >= 6.5 & utilities >= 740",3,"INCLUDE",-0.417,0.064,2.4,144,33,111,0.229,0.077,0.082,3.19,0.072,"earned_overissuance"
"5+","rule3648","rawgross >= 142.5 & rawben_rel_max < 0.8993 & rawben_rel_max >= 0.8882",3,"INCLUDE",-0.026,0.003,1.1,64,14,50,0.219,0.033,0.049,3.04,0.072,"earned_overissuance"
