hh_size,rule_id,optimize_for,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule,original_rule
3,rule1850,recall,10,3,3,48,12,36,22.97,0.25,0.522,0.464,2.27,0.5,0.23,shelter_expenses >= 0 & unc_rawben_rel_max < 0.95 & rawben_rel_max >= 0.6,shelter_expenses >= 1910 & unc_rawben_rel_max < 1.336 & rawben_rel_max >= 0.6304
3,rule11213,recall,10,3,3,44,11,33,21.05,0.25,0.478,0.435,2.27,0.25,0.25,rawearn < 1000 & rawben_rel_max < 0.95 & shelter_expenses < 1950,rawearn < 1814 & rawben_rel_max < 0.6135 & shelter_expenses < 454
1,rule24,recall,10,3,3,39,10,29,2.75,0.256,0.192,0.174,7,0.18,0.509,rawearn >= 150 & rawben_rel_max < 0.8037 & rawgross < 1350,rawearn >= 447 & rawben_rel_max < 0.8037 & rawgross < 1709
3,rule47,recall,10,3,3,33,10,23,15.79,0.303,0.435,0.343,2.75,0.222,0.203,rawben_rel_max < 0.95 & rawgross < 1500 & utilities < 550,rawben_rel_max < 0.721 & rawgross < 1908 & utilities < 372
1,rule10301,recall,10,3,3,33,9,24,2.32,0.273,0.173,0.15,7.45,0.128,0.211,rawgross >= 1102 & months_since_cert_n < 2 & rawgross < 1450,rawgross >= 1102 & months_since_cert_n < 4.5 & rawgross < 1498
1,rule3217,recall,10,4,4,36,9,27,2.54,0.25,0.173,0.136,6.83,0.085,0.418,shelter_expenses < 1150 & rawearn >= 450 & rawben_rel_max < 0.85 & rawben_rel_max >= 0.2,shelter_expenses < 1906 & rawearn >= 1.5 & rawben_rel_max < 0.97 & rawben_rel_max >= 0.5326
3,rule4868,recall,10,4,3,22,8,14,10.53,0.364,0.348,0.299,3.3,0.125,0.232,"rawgross < 1500 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.95 & rawunearn >= 0","rawgross < 2144 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.852 & rawunearn >= 6"
3,rule1926,recall,10,3,2,22,8,14,10.53,0.364,0.348,0.299,3.3,0.118,0.215,"rawben_rel_max < 0.95 & rawgross < 1500 & elderly_disabled_i %in% c(""FALSE"")","rawben_rel_max < 0.734 & rawgross < 1914 & elderly_disabled_i %in% c(""FALSE"")"
1,rule941,recall,10,4,3,28,7,21,1.97,0.25,0.135,0.129,6.83,0.09,0.223,"unc_rawben_rel_max < 0.55 & rawearn < 1400 & rawearn >= 350 & expedited_i %in% c(""FALSE"")","unc_rawben_rel_max < 1.229 & rawearn < 2628 & rawearn >= 275.5 & expedited_i %in% c(""FALSE"")"
3,rule958,recall,10,4,4,26,7,19,12.44,0.269,0.304,0.409,2.45,0.5,0.237,total_deductions >= 700 & rawgross < 3200 & shelter_expenses >= 1400 & months_since_cert_n >= 1,total_deductions >= 796.7 & rawgross < 1792 & shelter_expenses >= 1414 & months_since_cert_n >= 3.5
3,rule11617,recall,10,2,2,28,7,21,13.4,0.25,0.304,0.201,2.27,0.286,0.241,count_divisible_by_100 >= 0.5 & utilities >= 0,count_divisible_by_100 >= 0.5 & utilities >= 415.5
4,rule7113,recall,10,4,3,27,7,20,21.6,0.259,0.412,0.487,1.91,0,0.228,rawgross < 1300 & cat_elig >= 0.5 & total_deductions >= 550 & utilities < 575,rawgross < 144 & cat_elig >= 0.5 & total_deductions >= 613.5 & utilities < 545
1,rule18002,recall,10,3,3,14,6,8,0.99,0.429,0.115,0.104,11.7,0.138,0.231,rawearn < 1200 & rawunearn < 900 & rawgross >= 1100,rawearn < 1214 & rawunearn < 1247 & rawgross >= 1157
1,rule9227,recall,10,3,2,21,6,15,1.48,0.286,0.115,0.117,7.8,0.214,0.679,"unc_rawben_rel_max < 0.55 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1300","unc_rawben_rel_max < 0.8025 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 911"
1,rule1230,recall,10,4,3,23,6,17,1.62,0.261,0.115,0.121,7.12,0,0.26,"unc_rawben_rel_max < 1.1 & rawgross < 1000 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses >= 1050","unc_rawben_rel_max < 1.705 & rawgross < 740.5 & elderly_disabled_i %in% c(""TRUE"") & shelter_expenses >= 225"
1,rule4299,recall,10,3,3,23,6,17,1.62,0.261,0.115,0.135,7.12,0,0.391,unc_rawben_rel_max < 1.1 & months_since_cert_n >= 13 & unc_rawben_rel_max >= 0.95,unc_rawben_rel_max < 1.912 & months_since_cert_n >= 5.5 & unc_rawben_rel_max >= 1.806
1,rule1798,recall,10,4,3,24,6,18,1.69,0.25,0.115,0.117,6.83,0.211,0.645,"unc_rawben_rel_max < 0.55 & elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max >= -0.09462 & total_deductions < 800","unc_rawben_rel_max < 0.6521 & elderly_disabled_i %in% c(""FALSE"") & unc_rawben_rel_max >= -0.09462 & total_deductions < 372.5"
1,rule2686,recall,10,3,3,24,6,18,1.69,0.25,0.115,0.115,6.83,0.25,0.392,rawearn >= 450 & rawben_rel_max >= 0.05 & utilities < 10,rawearn >= 590 & rawben_rel_max >= 0.08093 & utilities < 10
1,rule7999,recall,10,4,4,24,6,18,1.69,0.25,0.115,0.111,6.83,0.123,0.333,total_deductions < 350 & unc_rawben_rel_max >= -0.3 & rawearn < 1400 & rawearn >= 450,total_deductions < 1145 & unc_rawben_rel_max >= -0.001718 & rawearn < 1190 & rawearn >= 497
1,rule8227,recall,10,4,4,24,6,18,1.69,0.25,0.115,0.095,6.83,0,0.225,rawearn < 1200 & months_since_cert_n >= 0 & rawunearn < 300 & unc_rawben_rel_max < 0.8,rawearn < 823 & months_since_cert_n >= 4.5 & rawunearn < 781.5 & unc_rawben_rel_max < 0.965
1,rule7449,recall,10,4,4,24,6,18,1.69,0.25,0.115,0.095,6.83,0,0.226,rawearn < 1200 & rawben_rel_max >= 0.05 & unc_rawben_rel_max < 0.8 & rawunearn < 300,rawearn < 19 & rawben_rel_max >= 0.5435 & unc_rawben_rel_max < 0.9718 & rawunearn < 737
