"hh_size","rule_id","optimize_for","min_flagged_req","n_conditions","n_optimized","n_flagged","errors_caught","clean_flagged","workload_pct","precision","recall","dollar_recall","lift","precision_state_orig","precision_national_csv","optimized_rule","original_rule","rule_text","imp","rule"
"1","rule5422","recall",10,4,4,13,6,7,0.93,0.462,0.049,0.05,5.25,0.235,0.398,"total_deductions < 1050 & unc_rawben_rel_max >= 1.95 & utilities < 700 & percent_abawd < 0.15","total_deductions < 1458 & unc_rawben_rel_max >= 1.222 & utilities < 413 & percent_abawd < 0.5","total_deductions < 1050 & unc_rawben_rel_max >= 1.95 & utilities < 700 & percent_abawd < 0.15",0,"total_deductions < 1050 & unc_rawben_rel_max >= 1.95 & utilities < 700 & percent_abawd < 0.15"
"1","rule13544","recall",10,4,4,14,6,8,1,0.429,0.049,0.05,4.87,0.114,0.244,"unc_rawben_rel_max < 2.612 & unc_rawben_rel_max >= 1.95 & shelter_expenses < 1250 & total_deductions < 1050","unc_rawben_rel_max < 2.612 & unc_rawben_rel_max >= 1.89 & shelter_expenses < 1494 & total_deductions < 871","unc_rawben_rel_max < 2.612 & unc_rawben_rel_max >= 1.95 & shelter_expenses < 1250 & total_deductions < 1050",0,"unc_rawben_rel_max < 2.612 & unc_rawben_rel_max >= 1.95 & shelter_expenses < 1250 & total_deductions < 1050"
"1","rule2287","recall",10,4,4,14,6,8,1,0.429,0.049,0.05,4.87,0.121,0.328,"unc_rawben_rel_max >= 1.95 & utilities < 700 & total_deductions < 1050 & utilities >= 0","unc_rawben_rel_max >= 1.872 & utilities < 604 & total_deductions < 903 & utilities >= 413","unc_rawben_rel_max >= 1.95 & utilities < 700 & total_deductions < 1050 & utilities >= 0",0,"unc_rawben_rel_max >= 1.95 & utilities < 700 & total_deductions < 1050 & utilities >= 0"
"1","rule2936","recall",10,3,3,10,4,6,0.72,0.4,0.033,0.03,4.55,0.12,0.224,"unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max < 2.301","unc_rawben_rel_max >= 1.622 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max < 2.301","unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max < 2.301",0,"unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & unc_rawben_rel_max < 2.301"
"1","rule2943","recall",10,3,3,16,6,10,1.14,0.375,0.049,0.051,4.26,0.128,0.205,"unc_rawben_rel_max < 1.15 & total_deductions >= 1050 & utilities < 700","unc_rawben_rel_max < 1.217 & total_deductions >= 897.1 & utilities < 679.5","unc_rawben_rel_max < 1.15 & total_deductions >= 1050 & utilities < 700",0,"unc_rawben_rel_max < 1.15 & total_deductions >= 1050 & utilities < 700"
"1","rule18002","recall",10,3,3,19,7,12,1.36,0.368,0.057,0.073,4.19,0.121,0.231,"rawearn < 1700 & rawunearn < 900 & rawgross >= 1350","rawearn < 1214 & rawunearn < 1247 & rawgross >= 1157","rawearn < 1700 & rawunearn < 900 & rawgross >= 1350",0,"rawearn < 1700 & rawunearn < 900 & rawgross >= 1350"
"1","rule5684","recall",10,2,2,30,11,19,2.15,0.367,0.089,0.091,4.17,0.3,0.315,"unc_rawben_rel_max < 1 & shelter_expenses >= 1450","unc_rawben_rel_max < 1.912 & shelter_expenses >= 1888","unc_rawben_rel_max < 1 & shelter_expenses >= 1450",0,"unc_rawben_rel_max < 1 & shelter_expenses >= 1450"
"1","rule3773","recall",10,4,4,26,9,17,1.86,0.346,0.073,0.084,3.93,0.205,0.389,"rawgross < 1200 & months_since_cert_n >= 5.5 & total_deductions >= 9.6 & total_deductions < 200","rawgross < 1.5 & months_since_cert_n >= 5.5 & total_deductions >= 9.6 & total_deductions < 715","rawgross < 1200 & months_since_cert_n >= 5.5 & total_deductions >= 9.6 & total_deductions < 200",0,"rawgross < 1200 & months_since_cert_n >= 5.5 & total_deductions >= 9.6 & total_deductions < 200"
"1","rule3848","recall",10,4,4,24,8,16,1.72,0.333,0.065,0.077,3.79,0.222,0.389,"utilities < 700 & unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & shelter_expenses < 1700","utilities < 327 & unc_rawben_rel_max >= 1.541 & count_divisible_by_100 < 0.5 & shelter_expenses < 912","utilities < 700 & unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & shelter_expenses < 1700",0,"utilities < 700 & unc_rawben_rel_max >= 1.95 & count_divisible_by_100 < 0.5 & shelter_expenses < 1700"
"1","rule4342","recall",10,4,3,30,10,20,2.15,0.333,0.081,0.087,3.79,0.1,0.241,"rawearn >= 0 & expedited_i %in% c(""FALSE"") & rawgross >= 0 & shelter_expenses >= 1600","rawearn >= 1114 & expedited_i %in% c(""FALSE"") & rawgross >= 1246 & shelter_expenses >= 375","rawearn >= 0 & expedited_i %in% c(""FALSE"") & rawgross >= 0 & shelter_expenses >= 1600",0,"rawearn >= 0 & expedited_i %in% c(""FALSE"") & rawgross >= 0 & shelter_expenses >= 1600"
"1","rule5383","recall",10,3,3,21,7,14,1.5,0.333,0.057,0.045,3.79,0,0.254,"rawben_rel_max < 0.9982 & rawgross < 650 & utilities >= 0","rawben_rel_max < 0.9982 & rawgross < 746 & utilities >= 48","rawben_rel_max < 0.9982 & rawgross < 650 & utilities >= 0",0,"rawben_rel_max < 0.9982 & rawgross < 650 & utilities >= 0"
"1","rule7914","recall",10,3,3,25,8,17,1.79,0.32,0.065,0.077,3.64,0.128,0.214,"shelter_expenses < 1700 & unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22","shelter_expenses < 2074 & unc_rawben_rel_max >= 1.682 & months_since_cert_n < 10.5","shelter_expenses < 1700 & unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22",0,"shelter_expenses < 1700 & unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22"
"1","rule5401","recall",10,3,3,25,8,17,1.79,0.32,0.065,0.077,3.64,0.153,0.316,"unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22 & shelter_expenses < 1700","unc_rawben_rel_max >= 1.891 & months_since_cert_n < 15.5 & shelter_expenses < 1753","unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22 & shelter_expenses < 1700",0,"unc_rawben_rel_max >= 1.95 & months_since_cert_n < 22 & shelter_expenses < 1700"
