hh_size,rule_id,min_flagged_req,n_conditions,n_optimized,n_flagged,errors_caught,clean_flagged,workload_pct,precision,recall,dollar_recall,lift,precision_state_orig,precision_national_csv,optimized_rule (state),original_rule (national)
1,rule4948,10,3,3,10,8,2,0.89,0.8,0.143,0.1,15.97,0.667,0.482,rawben_rel_max < 0.8043 & rawunearn < 650 & rawben_rel_max >= 0.65,rawben_rel_max < 0.8043 & rawunearn < 655 & rawben_rel_max >= 0.6117
1,rule3469,10,3,3,10,8,2,0.89,0.8,0.143,0.1,15.97,0.421,0.424,rawunearn < 650 & unc_rawben_rel_max < 0.823 & rawben_rel_max >= 0.65,rawunearn < 367.5 & unc_rawben_rel_max < 0.823 & rawben_rel_max >= 0.334
1,rule2239,10,3,3,13,9,4,1.16,0.692,0.161,0.118,13.82,0.692,0.489,rawben_rel_max < 0.8023 & rawunearn < 650 & unc_rawben_rel_max >= 0.5916,rawben_rel_max < 0.8023 & rawunearn < 653.5 & unc_rawben_rel_max >= 0.5916
1,rule4793,10,3,3,12,8,4,1.07,0.667,0.143,0.108,13.31,0.4,0.527,unc_rawben_rel_max < 0.85 & rawunearn < 650 & rawgross < 1200,unc_rawben_rel_max < 0.7928 & rawunearn < 576 & rawgross < 1364
1,rule244,10,3,3,11,7,4,0.98,0.636,0.125,0.12,12.7,0.345,0.343,rawearn >= 400 & rawben_rel_max >= 0.6 & rawben_rel_max < 0.8,rawearn >= 574.5 & rawben_rel_max >= 0.08093 & rawben_rel_max < 0.806
1,rule961,10,4,4,11,7,4,0.98,0.636,0.125,0.12,12.7,0.421,0.429,rawearn >= 200 & months_since_cert_n < 10.5 & rawben_rel_max >= 0.6 & unc_rawben_rel_max < 0.8046,rawearn >= 595.5 & months_since_cert_n < 10.5 & rawben_rel_max >= 0.3486 & unc_rawben_rel_max < 0.8046
1,rule183,10,3,3,11,7,4,0.98,0.636,0.125,0.12,12.7,0.412,0.447,rawearn >= 400 & rawben_rel_max >= 0.6 & unc_rawben_rel_max < 0.8238,rawearn >= 683 & rawben_rel_max >= 0.376 & unc_rawben_rel_max < 0.8238
1,rule154,10,4,3,13,8,5,1.16,0.615,0.143,0.111,12.29,0.471,0.424,"rawunearn < 650 & rawben_rel_max < 0.8141 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max >= 0.55","rawunearn < 27.5 & rawben_rel_max < 0.8141 & expedited_i %in% c(""FALSE"") & unc_rawben_rel_max >= 0.351"
1,rule5280,10,3,3,10,6,4,0.89,0.6,0.107,0.089,11.98,0.333,0.428,rawearn >= 950 & unc_rawben_rel_max < 0.972 & rawben_rel_max >= 0.6,rawearn >= 3 & unc_rawben_rel_max < 0.972 & rawben_rel_max >= 0.7776
1,rule10467,10,3,3,10,6,4,0.89,0.6,0.107,0.089,11.98,0.209,0.374,rawearn >= 1050 & rawgross < 1350 & months_since_cert_n < 9.5,rawearn >= 444.5 & rawgross < 1703 & months_since_cert_n < 9.5
1,rule1254,10,3,3,10,6,4,0.89,0.6,0.107,0.14,11.98,0.667,0.464,rawunearn < 100 & unc_rawben_rel_max < 0.7 & months_since_cert_n >= 6,rawunearn < 492.5 & unc_rawben_rel_max < 0.7526 & months_since_cert_n >= 8.5
1,rule4325,10,3,3,10,6,4,0.89,0.6,0.107,0.089,11.98,0.35,0.229,rawben_rel_max >= 0.6 & rawgross >= 1028 & rawunearn < 100,rawben_rel_max >= 0.5804 & rawgross >= 1028 & rawunearn < 1070
1,rule1018,10,3,3,10,6,4,0.89,0.6,0.107,0.14,11.98,0.4,0.385,rawearn >= 900 & rawben_rel_max < 0.7 & months_since_cert_n >= 7,rawearn >= 314.5 & rawben_rel_max < 0.6136 & months_since_cert_n >= 7.5
1,rule1711,10,3,3,10,6,4,0.89,0.6,0.107,0.14,11.98,0.5,0.391,rawunearn < 100 & months_since_cert_n >= 6 & unc_rawben_rel_max < 0.7,rawunearn < 0.5 & months_since_cert_n >= 3.5 & unc_rawben_rel_max < 0.823
1,rule976,10,4,4,10,6,4,0.89,0.6,0.107,0.155,11.98,NA,0.326,rawunearn < 300 & total_deductions < 900 & rawearn >= 950 & shelter_expenses < 750,rawunearn < 778 & total_deductions < 501.5 & rawearn >= 435 & shelter_expenses < 50
1,rule3705,10,3,3,10,6,4,0.89,0.6,0.107,0.089,11.98,0.444,0.414,rawearn >= 950 & rawben_rel_max < 0.972 & unc_rawben_rel_max >= 0.6081,rawearn >= 267.5 & rawben_rel_max < 0.972 & unc_rawben_rel_max >= 0.6081
1,rule4292,10,4,4,10,6,4,0.89,0.6,0.107,0.089,11.98,0.5,0.434,rawben_rel_max >= 0.6 & rawearn >= 950 & rawben_rel_max < 0.972 & rawunearn >= 0,rawben_rel_max >= 0.2643 & rawearn >= 4 & rawben_rel_max < 0.972 & rawunearn >= 839.5
1,rule481,10,4,4,10,6,4,0.89,0.6,0.107,0.089,11.98,0.4,0.365,unc_rawben_rel_max < 1.25 & rawearn >= 1028 & rawben_rel_max >= 0.6 & utilities >= 0,unc_rawben_rel_max < 1.82 & rawearn >= 1028 & rawben_rel_max >= 0.2663 & utilities >= 340.5
1,rule2370,10,3,2,11,6,5,0.98,0.545,0.107,0.094,10.89,0.375,0.657,"rawben_rel_max < 0.8 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 1200","rawben_rel_max < 0.8023 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 1062"
1,rule13034,10,4,4,11,6,5,0.98,0.545,0.107,0.097,10.89,0,0.25,rawben_rel_max >= 0.6 & rawben_rel_max < 0.85 & medical_deductions >= 0 & rawunearn < 300,rawben_rel_max >= 0.3217 & rawben_rel_max < 0.6673 & medical_deductions >= 113.5 & rawunearn < 1380
1,rule17947,10,3,3,11,6,5,0.98,0.545,0.107,0.094,10.89,0.15,0.52,rawearn >= 400 & rawgross < 1200 & rawben_rel_max < 0.9,rawearn >= 183.5 & rawgross < 1677 & rawben_rel_max < 0.654
1,rule5108,10,3,2,13,7,6,1.16,0.538,0.125,0.137,10.75,0.538,0.609,"rawben_rel_max < 0.8 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 400","rawben_rel_max < 0.8041 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 421.1"
1,rule865,10,4,3,13,7,6,1.16,0.538,0.125,0.103,10.75,0.333,0.313,"elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.85 & total_deductions < 1010 & unc_rawben_rel_max >= 0.55","elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.9608 & total_deductions < 1010 & unc_rawben_rel_max >= 0.2655"
1,rule12006,10,4,3,10,5,5,0.89,0.5,0.089,0.086,9.98,0.062,0.436,total_deductions >= 950 & rawgross < 1900 & unc_rawben_rel_max < 1.1 & percent_abawd < 0.5,total_deductions >= 2.5 & rawgross < 24.5 & unc_rawben_rel_max < 1.716 & percent_abawd < 0.5
1,rule1728,10,4,4,10,5,5,0.89,0.5,0.089,0.115,9.98,0.312,0.256,rawunearn < 300 & unc_rawben_rel_max < 0.85 & rawben_rel_max < 0.75 & total_deductions < 450,rawunearn < 496.5 & unc_rawben_rel_max < 0.9777 & rawben_rel_max < 0.8719 & total_deductions < 928
1,rule7094,10,3,2,10,5,5,0.89,0.5,0.089,0.101,9.98,0.136,0.278,"shelter_expenses < 750 & rawearn >= 750 & homeless %in% c(""FALSE"")","shelter_expenses < 1170 & rawearn >= 243 & homeless %in% c(""FALSE"")"
1,rule1147,10,3,3,10,5,5,0.89,0.5,0.089,0.134,9.98,0.429,0.403,rawearn >= 1050 & months_since_cert_n >= 7 & utilities >= 0,rawearn >= 872 & months_since_cert_n >= 3.5 & utilities >= 477
1,rule19103,10,3,3,10,5,5,0.89,0.5,0.089,0.043,9.98,0.417,0.434,unc_rawben_rel_max < 0.85 & rawben_rel_max >= 0.6 & shelter_expenses < 491.5,unc_rawben_rel_max < 0.7986 & rawben_rel_max >= 0.4825 & shelter_expenses < 491.5
1,rule5040,10,3,3,10,5,5,0.89,0.5,0.089,0.043,9.98,0.273,0.363,rawearn >= 0 & unc_rawben_rel_max < 0.85 & rawgross < 750,rawearn >= 3 & unc_rawben_rel_max < 0.9804 & rawgross < 1090
1,rule1587,10,4,4,10,5,5,0.89,0.5,0.089,0.078,9.98,0.467,0.329,rawunearn < 300 & unc_rawben_rel_max < 0.85 & rawben_rel_max >= 0.6 & rawearn < 1380,rawunearn < 492.5 & unc_rawben_rel_max < 0.8117 & rawben_rel_max >= 0.2972 & rawearn < 1380
1,rule15953,10,3,3,10,5,5,0.89,0.5,0.089,0.079,9.98,0,0.563,rawearn < 1150 & rawben_rel_max < 0.9 & rawearn >= 800,rawearn < 915.5 & rawben_rel_max < 0.6574 & rawearn >= 140.5
1,rule20,10,4,4,10,5,5,0.89,0.5,0.089,0.082,9.98,0.4,0.435,rawunearn < 27.5 & unc_rawben_rel_max < 0.85 & unc_rawben_rel_max >= 0.4365 & rawearn >= 950,rawunearn < 27.5 & unc_rawben_rel_max < 0.9769 & unc_rawben_rel_max >= 0.4365 & rawearn >= 672.5
1,rule3435,10,4,4,10,5,5,0.89,0.5,0.089,0.143,9.98,0.19,0.365,rawunearn < 15.5 & months_since_cert_n >= 8 & shelter_expenses >= 1350 & utilities < 500,rawunearn < 15.5 & months_since_cert_n >= 4.5 & shelter_expenses >= 29.5 & utilities < 375
1,rule95,10,4,4,12,6,6,1.07,0.5,0.107,0.13,9.98,0.25,0.231,rawunearn < 300 & total_deductions < 450 & unc_rawben_rel_max < 0.85 & rawgross >= 0,rawunearn < 778 & total_deductions < 836.1 & unc_rawben_rel_max < 1.767 & rawgross >= 776.5
1,rule8354,10,3,3,10,5,5,0.89,0.5,0.089,0.043,9.98,NA,0.201,unc_rawben_rel_max < 0.85 & utilities >= 0 & rawgross < 750,unc_rawben_rel_max < 0.7532 & utilities >= 663.5 & rawgross < 1680
1,rule2095,10,3,3,10,5,5,0.89,0.5,0.089,0.087,9.98,0.292,0.483,rawearn >= 350 & rawgross < 1200 & unc_rawben_rel_max < 0.85,rawearn >= 746 & rawgross < 1748 & unc_rawben_rel_max < 0.7938
1,rule2747,10,4,4,10,5,5,0.89,0.5,0.089,0.134,9.98,0.226,0.242,rawunearn < 26.5 & total_deductions >= 0 & months_since_cert_n >= 8 & rawearn >= 750,rawunearn < 26.5 & total_deductions >= 28.5 & months_since_cert_n >= 4.5 & rawearn >= 7.5
1,rule3769,10,2,2,15,7,8,1.34,0.467,0.125,0.148,9.32,0.25,0.311,shelter_expenses >= 1400 & months_since_cert_n >= 9,shelter_expenses >= 1788 & months_since_cert_n >= 7.5
1,rule76,10,4,4,13,6,7,1.16,0.462,0.107,0.117,9.21,0.273,0.253,rawunearn < 1450 & total_deductions >= 900 & months_since_cert_n < 11 & rawben_rel_max < 1,rawunearn < 15.5 & total_deductions >= 59.5 & months_since_cert_n < 4.5 & rawben_rel_max < 0.9217
1,rule2782,10,4,4,11,5,6,0.98,0.455,0.089,0.143,9.07,0.278,0.39,rawunearn < 300 & rawgross < 2100 & shelter_expenses >= 1350 & months_since_cert_n >= 8,rawunearn < 757.5 & rawgross < 759.5 & shelter_expenses >= 1208 & months_since_cert_n >= 3.5
1,rule4759,10,4,4,11,5,6,0.98,0.455,0.089,0.095,9.07,0.2,0.423,rawearn >= 350 & unc_rawben_rel_max < 0.85 & rawearn < 1300 & months_since_cert_n >= 5,rawearn >= 1.5 & unc_rawben_rel_max < 0.9266 & rawearn < 683.5 & months_since_cert_n >= 5.5
1,rule3420,10,4,4,14,6,8,1.25,0.429,0.107,0.096,8.56,NA,0.431,rawearn >= 0 & unc_rawben_rel_max < 0.85 & rawearn < 1300 & rawunearn < 300,rawearn >= 3 & unc_rawben_rel_max < 0.9771 & rawearn < 192.5 & rawunearn < 1155
1,rule2771,10,4,4,14,6,8,1.25,0.429,0.107,0.094,8.56,0.286,0.515,rawunearn < 300 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 0 & rawgross < 1200,rawunearn < 494.5 & unc_rawben_rel_max < 0.9668 & shelter_expenses >= 293.5 & rawgross < 974
1,rule7248,10,3,3,14,6,8,1.25,0.429,0.107,0.144,8.56,0.263,0.491,rawearn >= 1050 & months_since_cert_n >= 4 & months_since_cert_n < 9.5,rawearn >= 446.5 & months_since_cert_n >= 5.5 & months_since_cert_n < 9.5
1,rule4284,10,4,4,14,6,8,1.25,0.429,0.107,0.117,8.56,0.286,0.366,total_deductions >= 900 & rawunearn < 1450 & rawben_rel_max < 1 & rawearn >= 0,total_deductions >= 856.5 & rawunearn < 1128 & rawben_rel_max < 0.9771 & rawearn >= 1131
1,rule7038,10,3,3,12,5,7,1.07,0.417,0.089,0.079,8.32,0.224,0.331,rawben_rel_max < 0.85 & rawunearn < 650 & utilities >= 475,rawben_rel_max < 0.7928 & rawunearn < 819 & utilities >= 321
1,rule1410,10,4,4,12,5,7,1.07,0.417,0.089,0.113,8.32,0.364,0.413,unc_rawben_rel_max >= 0.4 & months_since_cert_n >= 9 & shelter_expenses >= 1350 & shelter_expenses < 1792,unc_rawben_rel_max >= 1.571 & months_since_cert_n >= 4.5 & shelter_expenses >= 1281 & shelter_expenses < 1792
1,rule3617,10,3,2,10,4,6,0.89,0.4,0.071,0.097,7.99,0.188,0.259,percent_abawd < 0.5 & rawearn >= 1300 & unc_rawben_rel_max < 0.7,percent_abawd < 0.5 & rawearn >= 4 & unc_rawben_rel_max < 0.9738
1,rule16873,10,2,1,10,4,6,0.89,0.4,0.071,0.097,7.99,0.25,0.266,rawearn >= 1300 & percent_abawd < 0.5,rawearn >= 838.5 & percent_abawd < 0.5
1,rule839,10,3,3,10,4,6,0.89,0.4,0.071,0.073,7.99,0,0.344,rawunearn >= 0 & rawearn >= 950 & rawearn < 1250,rawunearn >= 2 & rawearn >= 1.5 & rawearn < 74
1,rule11655,10,3,3,10,4,6,0.89,0.4,0.071,0.106,7.99,0.136,0.224,rawunearn < 200 & total_deductions >= 900 & shelter_expenses >= 1050,rawunearn < 0.5 & total_deductions >= 5.1 & shelter_expenses >= 721.5
1,rule11046,10,4,4,10,4,6,0.89,0.4,0.071,0.028,7.99,0.217,0.217,rawben_rel_max >= 0.6661 & rawben_rel_max < 1 & total_deductions < 300 & shelter_expenses >= 300,rawben_rel_max >= 0.6661 & rawben_rel_max < 0.965 & total_deductions < 427 & shelter_expenses >= 33.5
1,rule16339,10,3,2,29,11,18,2.59,0.379,0.196,0.226,7.57,0.367,0.398,"unc_rawben_rel_max < 0.7 & elderly_disabled_i %in% c(""FALSE"") & rawunearn < 100","unc_rawben_rel_max < 0.7238 & elderly_disabled_i %in% c(""FALSE"") & rawunearn < 655"
1,rule1615,10,2,2,40,15,25,3.58,0.375,0.268,0.262,7.49,0.344,0.311,rawunearn < 650 & unc_rawben_rel_max < 0.823,rawunearn < 3 & unc_rawben_rel_max < 0.823
1,rule3930,10,3,2,19,7,12,1.7,0.368,0.125,0.101,7.36,0.111,0.709,"rawben_rel_max < 0.9 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1150","rawben_rel_max < 0.8023 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 562"
1,rule217,10,3,3,11,4,7,0.98,0.364,0.071,0.117,7.26,0.141,0.252,rawunearn < 100 & total_deductions >= 600 & months_since_cert_n >= 9,rawunearn < 365.5 & total_deductions >= 106.2 & months_since_cert_n >= 3.5
1,rule2407,10,4,4,11,4,7,0.98,0.364,0.071,0.117,7.26,0.185,0.272,rawunearn < 27.5 & total_deductions >= 600 & months_since_cert_n >= 9 & utilities >= 0,rawunearn < 27.5 & total_deductions >= 29.5 & months_since_cert_n >= 5.5 & utilities >= 300.5
1,rule3092,10,3,3,11,4,7,0.98,0.364,0.071,0.103,7.26,0.1,0.265,unc_rawben_rel_max >= 1.8 & months_since_cert_n >= 4 & total_deductions < 600,unc_rawben_rel_max >= 1.248 & months_since_cert_n >= 4.5 & total_deductions < 679.8
1,rule22883,10,3,2,11,4,7,0.98,0.364,0.071,0.067,7.26,0.126,0.256,rawgross >= 1350 & unc_rawben_rel_max >= 0.55 & cat_elig >= 0.5,rawgross >= 1236 & unc_rawben_rel_max >= -0.01259 & cat_elig >= 0.5
1,rule2408,10,4,4,11,4,7,0.98,0.364,0.071,0.117,7.26,0.188,0.351,rawunearn < 27.5 & total_deductions >= 600 & months_since_cert_n >= 9 & utilities < 500,rawunearn < 27.5 & total_deductions >= 29.5 & months_since_cert_n >= 5.5 & utilities < 300.5
1,rule20922,10,3,3,14,5,9,1.25,0.357,0.089,0.046,7.13,0.125,0.298,unc_rawben_rel_max < 0.95 & months_since_cert_n < 2 & rawunearn < 650,unc_rawben_rel_max < 0.6856 & months_since_cert_n < 2.5 & rawunearn < 951.5
1,rule1181,10,3,3,14,5,9,1.25,0.357,0.089,0.086,7.13,0.25,0.314,rawunearn >= 1150 & rawearn >= 0 & total_deductions >= 1000,rawunearn >= 754.5 & rawearn >= 1 & total_deductions >= 529
1,rule1360,10,4,4,14,5,9,1.25,0.357,0.089,0.082,7.13,0,0.381,rawunearn >= 0 & rawearn >= 950 & months_since_cert_n >= 0 & rawearn < 1300,rawunearn >= 261 & rawearn >= 1 & months_since_cert_n >= 5.5 & rawearn < 509
1,rule9419,10,3,3,14,5,9,1.25,0.357,0.089,0.046,7.13,0.154,0.289,months_since_cert_n < 2 & rawben_rel_max < 0.9 & rawunearn < 650,months_since_cert_n < 2.5 & rawben_rel_max < 0.7915 & rawunearn < 956.5
1,rule5219,10,3,2,17,6,11,1.52,0.353,0.107,0.094,7.05,0.111,0.699,"unc_rawben_rel_max < 0.8043 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 1150","unc_rawben_rel_max < 0.8043 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 630"
1,rule7988,10,3,2,37,13,24,3.31,0.351,0.232,0.227,7.01,0.333,0.372,"rawben_rel_max < 0.8023 & expedited_i %in% c(""FALSE"") & rawunearn < 650","rawben_rel_max < 0.8023 & expedited_i %in% c(""FALSE"") & rawunearn < 756.5"
1,rule4767,10,2,2,33,11,22,2.95,0.333,0.196,0.227,6.65,0,0.293,rawearn >= 1050 & utilities < 500,rawearn >= 428.5 & utilities < 13.5
1,rule5435,10,4,3,15,5,10,1.34,0.333,0.089,0.127,6.65,0.286,0.714,"count_divisible_by_100 < 0.5 & total_deductions >= 1050 & rawgross < 1900 & elderly_disabled_i %in% c(""TRUE"")","count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")"
1,rule11730,10,4,4,15,5,10,1.34,0.333,0.089,0.127,6.65,0.286,0.492,count_divisible_by_100 < 0.5 & total_deductions >= 1050 & rawgross < 1900 & utilities < 500,count_divisible_by_100 < 0.5 & total_deductions >= 18.8 & rawgross < 0.5 & utilities < 44.5
