"hh_size","rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate","error_tag"
"1","rule2030","unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995",2,"INCLUDE",-0.541,0.078,2.1,77,71,6,0.922,0.297,0.39,13.83,0.067,"underissuance"
"1","rule2038","unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.01 & shelter_expenses >= 466.5",3,"INCLUDE",-0.055,0.006,1.3,48,44,4,0.917,0.184,0.246,13.75,0.067,"underissuance"
"1","rule2258","rawgross >= 1170 & unc_rawben_rel_max >= -0.008775 & unc_rawben_rel_max < -0.001718",3,"INCLUDE",-0.635,0.085,1.8,65,59,6,0.908,0.247,0.334,13.62,0.067,"underissuance"
"1","rule1963","rawearn < 738 & unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.01",3,"INCLUDE",-0.891,0.118,1.8,64,56,8,0.875,0.234,0.29,13.12,0.067,"underissuance"
"1","rule21102","rawgross < 1836 & unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.014",3,"INCLUDE",-0.339,0.05,2.3,81,70,11,0.864,0.293,0.386,12.96,0.067,"underissuance"
"1","rule11331","rawben_rel_max < 0.7928 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 311",3,"INCLUDE",-0.285,0.041,2.1,76,56,20,0.737,0.234,0.254,11.05,0.067,"underissuance"
"1","rule321","rawben_rel_max < 0.8024 & elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 345.5",3,"INCLUDE",-0.58,0.085,2.2,78,57,21,0.731,0.238,0.255,10.96,0.067,"underissuance"
"1","rule13573","unc_rawben_rel_max < 0.6525 & rawunearn < 548.5 & rawben_rel_max >= 0.5773",3,"INCLUDE",-0.263,0.022,0.7,25,18,7,0.72,0.075,0.052,10.8,0.067,"underissuance"
"1","rule3930","rawben_rel_max < 0.8023 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 562",3,"INCLUDE",-1.278,0.188,2.2,79,56,23,0.709,0.234,0.239,10.63,0.067,"underissuance"
"1","rule2274","unc_rawben_rel_max < 0.686 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 892",3,"INCLUDE",-0.161,0.024,2.3,82,58,24,0.707,0.243,0.257,10.61,0.067,"underissuance"
"1","rule5219","unc_rawben_rel_max < 0.8043 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 630",3,"INCLUDE",-0.105,0.016,2.3,83,58,25,0.699,0.243,0.246,10.48,0.067,"underissuance"
"1","rule2370","rawben_rel_max < 0.8023 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 1062",3,"INCLUDE",-0.769,0.131,3,108,71,37,0.657,0.297,0.255,9.86,0.067,"underissuance"
"1","rule5108","rawben_rel_max < 0.8041 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 421.1",3,"INCLUDE",-0.548,0.11,4.2,151,92,59,0.609,0.385,0.392,9.14,0.067,"underissuance"
"1","rule9807","unc_rawben_rel_max < 0.6872 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 580",3,"INCLUDE",-1.369,0.121,0.8,28,17,11,0.607,0.071,0.07,9.11,0.067,"underissuance"
"1","rule952","rawben_rel_max < 0.6525 & elderly_disabled_i %in% c(""FALSE"") & rawgross < 1692",3,"INCLUDE",-0.17,0.035,4.4,157,93,64,0.592,0.389,0.439,8.89,0.067,"underissuance"
"1","rule15953","rawearn < 915.5 & rawben_rel_max < 0.6574 & rawearn >= 140.5",3,"INCLUDE",-0.168,0.023,2,71,40,31,0.563,0.167,0.141,8.45,0.067,"underissuance"
"1","rule17705","unc_rawben_rel_max < 0.794 & rawunearn < 590 & months_since_cert_n >= 5.5",3,"INCLUDE",-0.419,0.06,2.1,75,40,35,0.533,0.167,0.133,8,0.067,"underissuance"
"1","rule4793","unc_rawben_rel_max < 0.7928 & rawunearn < 576 & rawgross < 1364",3,"INCLUDE",-0.153,0.029,3.7,131,69,62,0.527,0.289,0.22,7.9,0.067,"underissuance"
"1","rule17947","rawearn >= 183.5 & rawgross < 1677 & rawben_rel_max < 0.654",3,"INCLUDE",-0.016,0.003,4.1,148,77,71,0.52,0.322,0.33,7.8,0.067,"underissuance"
