"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006 & total_deductions >= 241.3",37,1.0321,0.973,0.235,0.1506,0.235,36,"underissuance"
"1",2,"rawearn < 16 & unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006",65,1.8131,0.9231,0.3494,0.251,0.3494,60,"underissuance"
"1",3,"rawben_rel_max >= 0.08093 & rawearn < 794.5 & rawben_rel_max < 0.5191 & elderly_disabled_i %in% c(""FALSE"")",98,2.7336,0.8673,0.4816,0.3556,0.4816,85,"underissuance"
"1",4,"unc_rawben_rel_max < -0.001718 & unc_rawben_rel_max >= -0.006995",112,3.1241,0.8571,0.5219,0.4017,0.5219,96,"underissuance"
"2",1,"rawgross >= 1516 & unc_rawben_rel_max >= -0.007631 & unc_rawben_rel_max < 0.004512",21,0.7821,0.7143,0.1171,0.0838,0.1171,15,"underissuance"
"2",2,"total_deductions < 12.5 & rawgross >= 1115 & elderly_disabled_i %in% c(""FALSE"")",43,1.6015,0.5814,0.2046,0.1397,0.2046,25,"underissuance"
"2",3,"rawearn >= 451 & rawunearn >= 333.5 & rawunearn < 486",67,2.4953,0.5522,0.2679,0.2067,0.2679,37,"underissuance"
"2",4,"rawben_rel_max < 0.7165 & elderly_disabled_i %in% c(""FALSE"") & rawearn < 761.5 & months_since_cert_n >= 5.5",88,3.2775,0.5,0.3264,0.2458,0.3264,44,"underissuance"
"2",5,"rawearn < 1550 & rawunearn < 1438 & rawben_rel_max < 0.4612 & elderly_disabled_i %in% c(""FALSE"")",122,4.5438,0.459,0.4112,0.3128,0.4112,56,"underissuance"
"2",6,"rawearn < 1834 & months_since_cert_n >= 6.5 & rawearn >= 306 & rawgross >= 1488",161,5.9963,0.4348,0.4887,0.3911,0.4887,70,"underissuance"
"2",7,"rawearn >= 391.5 & rawunearn < 635 & utilities >= 416 & utilities < 439",189,7.0391,0.4021,0.5402,0.4246,0.5402,76,"underissuance"
"3",1,"rawearn < 1814 & rawben_rel_max < 0.6135 & shelter_expenses < 454",132,3.964,0.25,0.1822,0.1486,0.1822,33,"underissuance"
"3",2,"rawgross < 2144 & elderly_disabled_i %in% c(""FALSE"") & rawben_rel_max < 0.852 & rawunearn >= 6",400,12.012,0.2275,0.4376,0.4099,0.4376,91,"underissuance"
"3",3,"rawben_rel_max < 0.734 & rawgross < 1914 & elderly_disabled_i %in% c(""FALSE"")",534,16.036,0.206,0.5322,0.4955,0.5322,110,"underissuance"
"4",1,"months_since_cert_n < 10.5 & rawben_rel_max < 0.545 & months_since_cert_n >= 3.5 & cat_elig < 1.5",231,8.3696,0.1732,0.3033,0.2174,0.3033,40,"underissuance"
"4",2,"rawben_rel_max < 0.6339 & shelter_expenses < 706.5 & utilities < 427.5",377,13.6594,0.1698,0.4637,0.3478,0.4637,64,"underissuance"
"4",3,"rawben_rel_max < 0.5619 & rawearn < 2936",660,23.913,0.1318,0.6031,0.4728,0.6031,87,"underissuance"
"5+",1,"rawunearn >= 12 & rawearn >= 377",599,19.0159,0.1319,0.3829,0.3762,0.3829,79,"underissuance"
"5+",2,"total_deductions < 986.3 & rawgross >= 1714",1354,42.9841,0.1034,0.7405,0.6667,0.7405,140,"underissuance"
