"hh_size","recall_floor","precision","recall_obj","n_flagged","workload_pct","errors_caught","n_rules","net","error_tag"
"1",0.2,0.8659,0.3897,82,2.2873,71,1,"rawben_rel_max < 0.5581 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < 0","underissuance"
"1",0.3,0.8659,0.3897,82,2.2873,71,1,"rawben_rel_max < 0.5581 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < 0","underissuance"
"1",0.4,0.8045,0.5374,133,3.7099,107,2,"rawben_rel_max < 0.5581 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < 0  OR  rawben_rel_max < 0.794 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 114.4","underissuance"
"1",0.5,0.8045,0.5374,133,3.7099,107,2,"rawben_rel_max < 0.5581 & unc_rawben_rel_max >= -0.006995 & unc_rawben_rel_max < 0  OR  rawben_rel_max < 0.794 & elderly_disabled_i %in% c(""FALSE"") & total_deductions < 114.4","underissuance"
"2",0.2,0.5,0.2605,68,2.5326,34,2,"rawben_rel_max < 0.281 & unc_rawben_rel_max >= -0.01035 & unc_rawben_rel_max < 0.001003  OR  elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 772 & total_deductions < 86.5","underissuance"
"2",0.3,0.4056,0.4055,143,5.3259,58,3,"rawben_rel_max < 0.281 & unc_rawben_rel_max >= -0.01035 & unc_rawben_rel_max < 0.001003  OR  elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 772 & total_deductions < 86.5  OR  rawearn >= 195 & rawunearn >= 334 & rawgross < 2019","underissuance"
"2",0.4,0.4056,0.4055,143,5.3259,58,3,"rawben_rel_max < 0.281 & unc_rawben_rel_max >= -0.01035 & unc_rawben_rel_max < 0.001003  OR  elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 772 & total_deductions < 86.5  OR  rawearn >= 195 & rawunearn >= 334 & rawgross < 2019","underissuance"
"2",0.5,0.3617,0.5274,235,8.7523,85,4,"rawben_rel_max < 0.281 & unc_rawben_rel_max >= -0.01035 & unc_rawben_rel_max < 0.001003  OR  elderly_disabled_i %in% c(""FALSE"") & rawunearn >= 772 & total_deductions < 86.5  OR  rawearn >= 195 & rawunearn >= 334 & rawgross < 2019  OR  shelter_expenses < 1.5 & rawben_rel_max < 0.8892 & rawben_rel_max >= 0.4001","underissuance"
"3",0.2,0.2658,0.261,222,6.6667,59,2,"rawgross >= 1318 & utilities < 369.5 & cat_elig < 0.5  OR  rawearn >= 47.5 & rawearn < 921 & rawben_rel_max < 0.9186","underissuance"
"3",0.3,0.25,0.3705,328,9.8498,82,3,"rawgross >= 1318 & utilities < 369.5 & cat_elig < 0.5  OR  rawearn >= 47.5 & rawearn < 921 & rawben_rel_max < 0.9186  OR  months_since_cert_n < 9.5 & shelter_expenses < 17.5 & rawgross >= 446","underissuance"
