"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"unc_rawben_rel_max >= 1.473 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 60.5 & shelter_expenses < 950.5",195,2.3132,0.7385,0.279,0.2562,0.279,144,"unearned_overissuance"
"1",2,"count_divisible_by_100 < 0.5 & total_deductions >= 2.5 & rawgross < 0.5 & elderly_disabled_i %in% c(""TRUE"")",314,3.7248,0.6975,0.4416,0.3897,0.4416,219,"unearned_overissuance"
"1",3,"unc_rawben_rel_max >= 1.522 & elderly_disabled_i %in% c(""TRUE"") & rawunearn < 4.5 & months_since_cert_n >= 1.5",333,3.9502,0.6847,0.4625,0.4057,0.4625,228,"unearned_overissuance"
"1",4,"count_divisible_by_100 >= 0.5 & rawgross >= 966 & rawben_rel_max >= 0.3746 & rawben_rel_max < 0.7987",369,4.3772,0.6694,0.4906,0.4395,0.4906,247,"unearned_overissuance"
"1",5,"unc_rawben_rel_max >= 1.788 & utilities < 606 & utilities >= 554.5",396,4.6975,0.6414,0.5093,0.452,0.5093,254,"unearned_overissuance"
"2-3",1,"elderly_disabled_i %in% c(""TRUE"") & rawunearn < 7.5 & unc_rawben_rel_max >= 1.152",76,1.1087,0.6711,0.1702,0.1116,0.1702,51,"unearned_overissuance"
"2-3",2,"elderly_disabled_i %in% c(""TRUE"") & children_i %in% c(""TRUE"") & rawunearn < 204",97,1.415,0.5876,0.1903,0.1247,0.1903,57,"unearned_overissuance"
"2-3",3,"shelter_expenses >= 1680 & shelter_expenses < 1778 & rawearn < 376.5",144,2.1007,0.4931,0.2298,0.1554,0.2298,71,"unearned_overissuance"
"2-3",4,"count_divisible_by_100 >= 0.5 & rawben_rel_max < 0.9641 & utilities >= 589",197,2.8738,0.4619,0.2653,0.1991,0.2653,91,"unearned_overissuance"
"2-3",5,"shelter_expenses >= 1513 & utilities < 684.5 & utilities >= 674",210,3.0635,0.4524,0.2744,0.2079,0.2744,95,"unearned_overissuance"
"2-3",6,"rawunearn >= 987.5 & rawgross < 1067 & rawben_rel_max < 0.6773",241,3.5157,0.4315,0.2921,0.2276,0.2921,104,"unearned_overissuance"
"2-3",7,"count_divisible_by_100 >= 0.5 & rawunearn < 74.5 & married < 0.5",383,5.5872,0.3734,0.3681,0.3129,0.3681,143,"unearned_overissuance"
"2-3",8,"shelter_expenses >= 1974 & months_since_cert_n >= 5.5 & total_deductions < 1297",442,6.4478,0.3507,0.4014,0.3392,0.4014,155,"unearned_overissuance"
"2-3",9,"total_deductions >= 1203 & months_since_cert_n < 3.5 & total_deductions < 1464",490,7.1481,0.3367,0.4263,0.3611,0.4263,165,"unearned_overissuance"
"2-3",10,"months_since_cert_n < 2.5 & rawben_rel_max < 0.9727 & rawben_rel_max >= 0.936",536,7.8191,0.3246,0.4486,0.3807,0.4486,174,"unearned_overissuance"
"2-3",11,"count_divisible_by_100 >= 0.5 & rawunearn < 96.5 & unc_rawben_rel_max < 1.138",554,8.0817,0.3177,0.4587,0.3851,0.4587,176,"unearned_overissuance"
"2-3",12,"utilities < 368 & shelter_expenses >= 762.5 & shelter_expenses < 780.5",578,8.4318,0.3149,0.4697,0.3982,0.4697,182,"unearned_overissuance"
