"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,49461,35658,1,0.0839643277805822,1,1,"frame only (mined error type)",1
0.1,34453,29480,0.82674294688429,0.0976594301221167,0.961589846359385,0.961835025134332,"frame only (mined error type)",0.961835025134332
0.15,17337,18339,0.514302540804308,0.130377883199738,0.798597194388778,0.817399695837465,"frame only (mined error type)",0.817399695837465
0.2,4284,9014,0.252790397666723,0.170734413135123,0.514028056112224,0.548507072064441,"frame only (mined error type)",0.548507072064441
0.25,1284,3393,0.0951539626451287,0.213380489242558,0.241816967267869,0.268437712347514,"frame only (mined error type)",0.268437712347514
0.3,473,1210,0.0339334791631611,0.249586776859504,0.100868403473614,0.106405495482292,"frame only (mined error type)",0.106405495482292
0.35,181,512,0.0143586291996186,0.287109375,0.0490981963927856,0.0517628293587272,"frame only (mined error type)",0.0517628293587272
0.4,97,269,0.00754388916933087,0.275092936802974,0.0247160988643955,0.0247517496959326,"frame only (mined error type)",0.0247517496959326
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,"frame only (mined error type)",0.00948461771261399
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,"frame only (mined error type)",0.00473564697350664
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,"frame only (mined error type)",0.0038543750487745
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,"frame only (mined error type)",0.0038543750487745
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,"frame only (mined error type)",0.00206137687793718
0.05,49461,35658,1,0.0839643277805822,1,1,"any error type",1
0.1,34453,29480,0.82674294688429,0.0976594301221167,0.961589846359385,0.961835025134332,"any error type",0.961835025134332
0.15,17337,18339,0.514302540804308,0.130377883199738,0.798597194388778,0.817399695837465,"any error type",0.817399695837465
0.2,4284,9014,0.252790397666723,0.170734413135123,0.514028056112224,0.548507072064441,"any error type",0.548507072064441
0.25,1284,3393,0.0951539626451287,0.213380489242558,0.241816967267869,0.268437712347514,"any error type",0.268437712347514
0.3,473,1210,0.0339334791631611,0.249586776859504,0.100868403473614,0.106405495482292,"any error type",0.106405495482292
0.35,181,512,0.0143586291996186,0.287109375,0.0490981963927856,0.0517628293587272,"any error type",0.0517628293587272
0.4,97,269,0.00754388916933087,0.275092936802974,0.0247160988643955,0.0247517496959326,"any error type",0.0247517496959326
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,"any error type",0.00948461771261399
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,"any error type",0.00473564697350664
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,"any error type",0.0038543750487745
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,"any error type",0.0038543750487745
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,"any error type",0.00206137687793718
