"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","shelter_expenses_by_hh_size > 892.000 & unc_rawben_rel_max >   0.845 & unc_rawben_rel_max <=   0.991 & utilities <=  28.500","ranger",44,35,0.7955,0.6258,24,17,0.7083,0.0164,0.0231,0.103,26,19,0.7308,0.0104,0.0125,0.108
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 617.000 & utilities <=  30.500","ranger",29,23,0.7931,0.5799,10,7,0.7,0.0068,0.0108,0.043,10,7,0.7,0.0038,0.0051,0.042
"1","total_deductions_by_hh_size > 1360.000 & unc_rawben_rel_max >    0.987 & unc_rawben_rel_max <=    0.991","ranger",17,14,0.8235,0.5425,8,6,0.75,0.0058,0.0104,0.034,8,6,0.75,0.0033,0.005,0.033
"1","rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 368.000 & unc_rawben_rel_max >   0.987 & utilities <= 360.000","ranger",94,61,0.6489,0.5292,34,21,0.6176,0.0203,0.0293,0.146,34,21,0.6176,0.0114,0.0139,0.141
"1","rawben_rel_max >   0.987 & total_deductions_by_hh_size > 415.000 & unc_rawben_rel_max <=   0.996 & utilities <= 350.000","ranger",89,57,0.6404,0.5172,33,20,0.6061,0.0193,0.0284,0.142,33,20,0.6061,0.0109,0.0135,0.137
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & shelter_expenses_by_hh_size > 504.000 & utilities <= 476.000","ranger",180,100,0.5556,0.469,93,40,0.4301,0.0386,0.0533,0.4,93,40,0.4301,0.0218,0.0253,0.386
"1","rawben_rel_max >    0.987 & total_deductions_by_hh_size > 1450.000 & unc_rawben_rel_max <=    1.000 & utilities >  451.000","ranger",11,9,0.8182,0.4682,5,3,0.6,0.0029,0.0063,0.021,5,3,0.6,0.0016,0.003,0.021
"1","homeless <=    0.500 & rawben_rel_max >    0.987 & rawben_rel_max <=    0.998 & total_deductions_by_hh_size > 1330.000","ranger",21,15,0.7143,0.4613,11,6,0.5455,0.0058,0.0104,0.047,11,6,0.5455,0.0033,0.005,0.046
"1","married <=    0.500 & rawben_rel_max <=    0.996 & total_deductions_by_hh_size > 1440.000 & unc_rawben_rel_max >    0.987","ranger",15,11,0.7333,0.4356,7,5,0.7143,0.0048,0.0099,0.03,7,5,0.7143,0.0027,0.0047,0.029
"1","rawben_rel_max >   0.394 & shelter_expenses_by_hh_size > 914.000 & unc_rawben_rel_max <=   1.000 & utilities <=  30.500","ranger",102,55,0.5392,0.4254,60,27,0.45,0.0261,0.035,0.258,63,30,0.4762,0.0163,0.0187,0.262
"1","cat_elig >   1.5 & medical_deductions > 687.0 & percent_abawd <=   1.5 & unc_rawben_rel_max <=   1.0","ranger",12,9,0.75,0.4187,1,0,0,0,0,0.004,1,0,0,0,0,0.004
"1","rawben_rel_max >    0.987 & total_deductions_by_hh_size > 1040.000 & unc_rawben_rel_max <=    0.989","ranger",12,9,0.75,0.4187,0,0,NA,0,0,0,0,0,NA,0,0,0
"1","shelter_expenses_by_hh_size >  654.000 & total_deductions_by_hh_size > 1480.000 & unc_rawben_rel_max >    0.977 & unc_rawben_rel_max <=    1.000","ranger",12,9,0.75,0.4187,7,5,0.7143,0.0048,0.0097,0.03,7,5,0.7143,0.0027,0.0046,0.029
"1","rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 898.000 & unc_rawben_rel_max >   0.987","ranger",88,47,0.5341,0.412,47,21,0.4468,0.0203,0.0328,0.202,47,21,0.4468,0.0114,0.0156,0.195
"1","elderly_disabled_i >   0.500 & rawben_rel_max >   0.549 & shelter_expenses_by_hh_size > 944.000 & utilities <=  30.500","ranger",87,46,0.5287,0.4063,46,20,0.4348,0.0193,0.0271,0.198,49,23,0.4694,0.0125,0.0154,0.204
"1","total_deductions_by_hh_size > 184.000 & unc_rawben_rel_max >   0.987 & unc_rawben_rel_max <=   1.000 & utilities <= 370.000","ranger",146,73,0.5,0.4055,58,25,0.431,0.0242,0.0329,0.249,59,26,0.4407,0.0142,0.0164,0.245
"1","expedited_i <    1.000 & rawben_rel_max >=    0.988 & rawben_rel_max <    0.992 & shelter_expenses_by_hh_size >= 1290.000","xgboost",88,45,0.5114,0.3904,46,20,0.4348,0.0193,0.0311,0.198,46,20,0.4348,0.0109,0.0148,0.191
"1","rawben_rel_max >    0.987 & rawben_rel_max <=    0.998 & shelter_expenses_by_hh_size > 1370.000","ranger",82,42,0.5122,0.3871,46,19,0.413,0.0184,0.0299,0.198,47,20,0.4255,0.0109,0.0149,0.195
"1","rawben_rel_max >   0.987 & rawben_rel_max <=   0.991 & unc_rawben_rel_max <=   1.000 & utilities <= 451.000","ranger",210,97,0.4619,0.3838,119,36,0.3025,0.0348,0.0476,0.512,119,36,0.3025,0.0196,0.0226,0.495
"1","rawben_rel_max >    0.987 & rawben_rel_max <=    0.995 & shelter_expenses_by_hh_size > 1230.000 & unc_rawben_rel_max <=    0.991","ranger",122,59,0.4836,0.3813,62,23,0.371,0.0222,0.0352,0.267,62,23,0.371,0.0125,0.0167,0.258
"1","children_i >   0.50 & months_since_cert_n <=   5.50 & rawben_rel_max <=   0.57 & shelter_expenses_by_hh_size <= 208.00","ranger",13,9,0.6923,0.3793,4,0,0,0,0,0.017,4,0,0,0,0,0.017
