"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame"
"1","months_since_cert_n >=    8.0 & percent_abawd >=    0.5 & shelter_expenses_by_hh_size >= 1270.0 & total_deductions_by_hh_size >= 1000.0","xgboost",13,6,0.4615,0.2611,2,1,0.5,0.0036,0.0048,0.01,3,2,0.6667,0.0015,0.0021,0.014,"earned_income"
"1","elderly_disabled_i <   1.000 & months_since_cert_n >=  11.000 & total_deductions_by_hh_size >= 688.000 & unc_rawben_rel_max <   0.976","xgboost",36,12,0.3333,0.2198,12,0,0,0,0,0.058,12,0,0,0,0,0.055,"earned_income"
"1","count_divisible_by_100 <=   0.5 & months_since_cert_n >   4.5 & percent_abawd >   0.5 & total_deductions_by_hh_size > 943.0","ranger_mtry1",39,12,0.3077,0.2019,8,2,0.25,0.0073,0.0096,0.039,9,3,0.3333,0.0023,0.0036,0.041,"earned_income"
"2-3","expedited_i <=   0.500 & percent_abawd >   0.167 & total_deductions_by_hh_size > 388.000 & total_deductions_by_hh_size <= 402.000","ranger_mtry1",11,5,0.4545,0.2421,13,1,0.0769,0.003,0.0029,0.152,13,1,0.0769,0.001,0.0013,0.142,"earned_income"
"2-3","percent_abawd <   0.333 & shelter_expenses_by_hh_size >= 975.000 & total_deductions_by_hh_size >= 407.000 & total_deductions_by_hh_size < 479.000","xgboost",24,9,0.375,0.233,15,2,0.1333,0.006,0.007,0.176,16,3,0.1875,0.003,0.0036,0.174,"earned_income"
"2-3","shelter_expenses_by_hh_size >= 1050 & total_deductions_by_hh_size >=  418 & total_deductions_by_hh_size <  500","xgboost",24,9,0.375,0.233,12,3,0.25,0.009,0.0079,0.141,12,3,0.25,0.003,0.0034,0.131,"earned_income"
"2-3","cat_elig >    1.5 & months_since_cert_n >    7.5 & shelter_expenses_by_hh_size > 1120.0","ranger_mtry1",21,8,0.381,0.2299,1,0,0,0,0,0.012,1,0,0,0,0,0.011,"earned_income"
"2-3","HH_size_n >   2.5 & medical_deductions <= 156.0 & total_deductions_by_hh_size > 471.0 & total_deductions_by_hh_size <= 486.0","ranger_mtry1",12,5,0.4167,0.22,6,0,0,0,0,0.07,8,2,0.25,0.002,8e-04,0.087,"earned_income"
"2-3","count_divisible_by_100 <   1.000 & rawben_rel_max <   0.316 & total_deductions_by_hh_size >= 595.000 & utilities < 645.000","xgboost",22,8,0.3636,0.2187,13,0,0,0,0,0.152,13,0,0,0,0,0.142,"earned_income"
"2-3","cat_elig <   2 & months_since_cert_n <  11 & shelter_expenses_by_hh_size < 360 & total_deductions_by_hh_size >= 466","xgboost",20,7,0.35,0.2022,27,3,0.1111,0.009,0.0117,0.316,30,6,0.2,0.0061,0.0075,0.327,"earned_income"
