"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,12366,30355,0.891718809670691,0.0452314281008071,0.997095134350036,0.997289872092591,"frame only (mined error type)",0.997095134350036
0.1,2734,13294,0.390529067888722,0.0707838122461261,0.683369644153958,0.667802086267091,"frame only (mined error type)",0.683369644153958
0.15,1113,4854,0.142592755794483,0.0992995467655542,0.350036310820625,0.325411966011808,"frame only (mined error type)",0.350036310820625
0.2,579,2432,0.0714432595987192,0.116776315789474,0.206245461147422,0.196006015421159,"frame only (mined error type)",0.206245461147422
0.25,278,1078,0.031667694838577,0.187384044526902,0.146695715323166,0.138917968148026,"frame only (mined error type)",0.146695715323166
0.3,119,527,0.0154813313357422,0.229601518026565,0.0878721859114016,0.094046752363391,"frame only (mined error type)",0.0878721859114016
0.35,68,336,0.00987045033929673,0.232142857142857,0.0566448801742919,0.0623648257281476,"frame only (mined error type)",0.0566448801742919
0.4,29,221,0.00649217120531124,0.276018099547511,0.0442992011619463,0.0503924371489454,"frame only (mined error type)",0.0442992011619463
0.45,14,78,0.00229135454305103,0.243589743589744,0.0137981118373275,0.0149588432536414,"frame only (mined error type)",0.0137981118373275
0.5,7,45,0.00132193531329867,0.244444444444444,0.00798838053740015,0.00882651461609178,"frame only (mined error type)",0.00798838053740015
0.55,5,33,0.000969419229752357,0.272727272727273,0.0065359477124183,0.00819946541398532,"frame only (mined error type)",0.0065359477124183
0.6,2,13,0.000381892423841838,0.307692307692308,0.00290486564996369,0.00575503632102794,"frame only (mined error type)",0.00290486564996369
0.65,2,13,0.000381892423841838,0.307692307692308,0.00290486564996369,0.00575503632102794,"frame only (mined error type)",0.00290486564996369
0.05,12366,31904,0.894722082001234,0.0915872617853561,0.975951903807615,0.972223755512708,"any error type",0.975951903807615
0.1,2734,14164,0.397218015592574,0.127859361762214,0.604876419505678,0.577609982926546,"any error type",0.604876419505678
0.15,1113,5148,0.14437152953054,0.150738150738151,0.259185036740147,0.23505977612267,"any error type",0.259185036740147
0.2,579,2556,0.071680969207471,0.15962441314554,0.13627254509018,0.118117085445309,"any error type",0.13627254509018
0.25,278,1124,0.0315216781647877,0.220640569395018,0.0828323313293253,0.0682690715429111,"any error type",0.0828323313293253
0.3,119,550,0.0154243087105278,0.261818181818182,0.0480961923847695,0.0444442752537701,"any error type",0.0480961923847695
0.35,68,352,0.00987155757473779,0.267045454545455,0.0313961255845023,0.0306332405110996,"any error type",0.0313961255845023
0.4,29,232,0.00650625385607718,0.310344827586207,0.0240480961923848,0.0239523237598905,"any error type",0.0240480961923848
0.45,14,80,0.00224353581244041,0.2625,0.00701402805611222,0.00621458495518456,"any error type",0.00701402805611222
0.5,7,46,0.00129003309215323,0.260869565217391,0.00400801603206413,0.00367545591070793,"any error type",0.00400801603206413
0.55,5,34,0.000953502720287173,0.294117647058824,0.00334001336005344,0.00345085529058181,"any error type",0.00334001336005344
0.6,2,14,0.000392618767177071,0.357142857142857,0.00167000668002672,0.00257529355110711,"any error type",0.00167000668002672
0.65,2,14,0.000392618767177071,0.357142857142857,0.00167000668002672,0.00257529355110711,"any error type",0.00167000668002672
