"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","medical_deductions >=   5.000 & medical_deductions <   8.000 & rawben_rel_max <   0.432 & utilities >= 494.000","xgboost",11,9,0.8182,0.5728,3,2,0.6667,0.0027,0.0032,0.014,3,2,0.6667,0.0015,0.0015,0.014
"1","medical_deductions >=   4.00 & medical_deductions <  11.00 & rawben_rel_max <   0.58 & utilities >= 424.00","xgboost",33,23,0.697,0.5546,8,5,0.625,0.0067,0.0053,0.038,8,5,0.625,0.0039,0.0025,0.037
"1","medical_deductions >=   5.00 & medical_deductions <   8.00 & shelter_expenses_by_hh_size >= 962.00 & unc_rawben_rel_max <   1.13","xgboost",23,16,0.6957,0.5244,12,3,0.25,0.004,0.0021,0.057,12,3,0.25,0.0023,0.001,0.055
"1","medical_deductions >=   4.00 & medical_deductions <  11.00 & rawben_rel_max <   0.58 & utilities >= 361.00","xgboost",41,26,0.6341,0.5057,12,5,0.4167,0.0067,0.0053,0.057,12,5,0.4167,0.0039,0.0025,0.055
"1","medical_deductions >=   5 & medical_deductions <   8 & utilities >= 494","xgboost",26,17,0.6538,0.4926,14,6,0.4286,0.008,0.006,0.066,14,6,0.4286,0.0046,0.0029,0.064
"1","cat_elig <    2.000 & rawben_rel_max >=    0.968 & rawben_rel_max <    1.000 & shelter_expenses_by_hh_size >= 1700.000","xgboost",11,8,0.7273,0.4795,16,4,0.25,0.0053,0.0078,0.075,17,5,0.2941,0.0039,0.0047,0.078
"1","rawben_rel_max >    0.987 & rawben_rel_max <=    0.991 & shelter_expenses_by_hh_size >  790.000 & total_deductions_by_hh_size > 1330.000","ranger_mtry1",11,8,0.7273,0.4795,4,1,0.25,0.0013,0.003,0.019,4,1,0.25,8e-04,0.0014,0.018
"1","medical_deductions >=    4 & medical_deductions <    8 & shelter_expenses_by_hh_size >= 1130 & total_deductions_by_hh_size <  950","xgboost",13,9,0.6923,0.4648,8,1,0.125,0.0013,7e-04,0.038,8,1,0.125,8e-04,3e-04,0.037
"1","medical_deductions >=   4 & medical_deductions <   8 & utilities >= 496","xgboost",32,19,0.5938,0.4491,14,6,0.4286,0.008,0.006,0.066,14,6,0.4286,0.0046,0.0029,0.064
"1","rawben_rel_max >=   0.988 & rawben_rel_max <   0.992 & total_deductions_by_hh_size >= 601.000 & utilities < 550.000","xgboost",142,68,0.4789,0.411,63,25,0.3968,0.0334,0.0444,0.297,63,25,0.3968,0.0193,0.0212,0.289
