"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","elderly_disabled_i <  1.00000 & months_since_cert_n < 13.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",42,17,0.4048,0.2896,23,7,0.3043,0.0933,0.1551,0.112,23,7,0.3043,0.0054,0.0088,0.106
"1","total_deductions_by_hh_size >= 256.00000 & unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344 & utilities <  42.00000","xgboost",18,8,0.4444,0.2719,19,5,0.2632,0.0667,0.1246,0.092,19,5,0.2632,0.0039,0.0071,0.087
"1","unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344 & utilities < 27.00000","xgboost",61,21,0.3443,0.2527,30,7,0.2333,0.0933,0.1551,0.146,30,7,0.2333,0.0054,0.0088,0.138
"1","total_deductions_by_hh_size < 122.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities <  27.00000","xgboost",39,14,0.359,0.2456,11,1,0.0909,0.0133,0.0249,0.054,11,1,0.0909,8e-04,0.0014,0.051
"1","rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",157,47,0.2994,0.2431,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459
"1","elderly_disabled_i <  1.00000 & months_since_cert_n >=  5.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",17,7,0.4118,0.2411,10,4,0.4,0.0533,0.0803,0.049,10,4,0.4,0.0031,0.0046,0.046
"1","cat_elig >  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",167,49,0.2934,0.2391,85,23,0.2706,0.3067,0.4155,0.414,85,23,0.2706,0.0178,0.0236,0.39
"1","percent_abawd >  0.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",21,8,0.381,0.2299,5,3,0.6,0.04,0.0747,0.024,5,3,0.6,0.0023,0.0043,0.023
"1","rawben_rel_max <=   0.80200 & unc_rawben_rel_max >  -0.00744 & unc_rawben_rel_max <=  -0.00172 & utilities <= 851.00000","ranger_mtry1",148,41,0.277,0.2209,97,24,0.2474,0.32,0.4317,0.472,97,24,0.2474,0.0186,0.0246,0.446
"1","elderly_disabled_i <  1.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",61,18,0.2951,0.2094,28,8,0.2857,0.1067,0.18,0.136,28,8,0.2857,0.0062,0.0102,0.129
"1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger_mtry1",196,49,0.25,0.2028,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459
"1","cat_elig <  2.00000 & months_since_cert_n >= 13.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",28,9,0.3214,0.1976,18,4,0.2222,0.0533,0.0582,0.088,18,4,0.2222,0.0031,0.0033,0.083
"1","unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities < 317.00000","xgboost",95,25,0.2632,0.1961,54,10,0.1852,0.1333,0.1978,0.263,54,10,0.1852,0.0077,0.0112,0.248
"1","unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344 & utilities < 27.00000","xgboost",86,22,0.2558,0.1867,42,7,0.1667,0.0933,0.1551,0.204,42,7,0.1667,0.0054,0.0088,0.193
