"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,26019,30482,0.895449604888223,0.0450429761826652,0.997095134350036,0.997289872092591,"frame only (mined error type)",0.997289872092591
0.1,5127,12347,0.362709673628859,0.07386409654167,0.662309368191721,0.641508531588932,"frame only (mined error type)",0.641508531588932
0.15,2207,3352,0.0984694926706031,0.11873508353222,0.289034132171387,0.268276092952073,"frame only (mined error type)",0.268276092952073
0.2,1082,1566,0.0460033489027937,0.156449553001277,0.177923021060276,0.167629382037697,"frame only (mined error type)",0.167629382037697
0.25,453,826,0.0242648570841045,0.187651331719128,0.112563543936093,0.11636545277735,"frame only (mined error type)",0.11636545277735
0.3,200,543,0.0159513527804706,0.204419889502762,0.0806100217864924,0.0745816572166455,"frame only (mined error type)",0.0745816572166455
0.35,92,228,0.00669780558737992,0.271929824561404,0.0450254175744372,0.0457692777774826,"frame only (mined error type)",0.0457692777774826
0.4,57,73,0.0021444728415734,0.301369863013699,0.0159767610748003,0.0176477152558945,"frame only (mined error type)",0.0176477152558945
0.45,32,32,0.000940042889456832,0.21875,0.00508351488743646,0.00827386108203185,"frame only (mined error type)",0.00827386108203185
0.5,21,23,0.000675655826797098,0.217391304347826,0.00363108206245461,0.00667966819532051,"frame only (mined error type)",0.00667966819532051
0.55,14,19,0.000558150465614994,0.263157894736842,0.00363108206245461,0.00667966819532051,"frame only (mined error type)",0.00667966819532051
0.6,5,10,0.00029376340295526,0.4,0.00290486564996369,0.00575503632102794,"frame only (mined error type)",0.00575503632102794
0.65,2,9,0.000264387062659734,0.333333333333333,0.00217864923747277,0.0047666367312669,"frame only (mined error type)",0.0047666367312669
0.05,26019,32033,0.898339783498794,0.0912808666063122,0.976619906479626,0.973205907376988,"any error type",0.973205907376988
0.1,5127,13078,0.366762016938695,0.125630830402202,0.54876419505678,0.509681619103996,"any error type",0.509681619103996
0.15,2207,3547,0.0994727690840765,0.167183535382013,0.198062792251169,0.173446877194852,"any error type",0.173446877194852
0.2,1082,1630,0.0457120421784733,0.189570552147239,0.103206412825651,0.0866977427637677,"any error type",0.0866977427637677
0.25,453,858,0.0240619215884234,0.217948717948718,0.0624582498329993,0.056342397935197,"any error type",0.056342397935197
0.3,200,559,0.0156767064894273,0.227191413237925,0.0424181696726787,0.0343220201874083,"any error type",0.0343220201874083
0.35,92,234,0.00656234225138819,0.290598290598291,0.0227120908483634,0.0200294264880267,"any error type",0.0200294264880267
0.4,57,75,0.00210331482416288,0.32,0.00801603206412826,0.00775633497469436,"any error type",0.00775633497469436
0.45,32,33,0.000925458522631668,0.242424242424242,0.00267201068804275,0.00347750282178321,"any error type",0.00347750282178321
0.5,21,24,0.000673060743732122,0.25,0.00200400801603206,0.00290648429603884,"any error type",0.00290648429603884
0.55,14,20,0.000560883953110102,0.3,0.00200400801603206,0.00290648429603884,"any error type",0.00290648429603884
0.6,5,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,"any error type",0.00206137687793718
0.65,2,9,0.000252397778899546,0.333333333333333,0.00100200400801603,0.00170734539197567,"any error type",0.00170734539197567
