"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,4464,6373,0.192648347994317,0.033736074062451,0.515587529976019,0.573120654840152,"frame only (mined error type)",0.573120654840152
0.1,2408,1355,0.0409600677125843,0.0944649446494465,0.306954436450839,0.335442952201548,"frame only (mined error type)",0.335442952201548
0.15,1244,787,0.0237900909887851,0.138500635324015,0.261390887290168,0.286099554134085,"frame only (mined error type)",0.286099554134085
0.2,432,497,0.0150237296333243,0.199195171026157,0.237410071942446,0.26025559365217,"frame only (mined error type)",0.26025559365217
0.25,107,282,0.00852453069737916,0.269503546099291,0.182254196642686,0.191356435241025,"frame only (mined error type)",0.191356435241025
0.3,24,90,0.00272059490341888,0.3,0.0647482014388489,0.0665546355147786,"frame only (mined error type)",0.0665546355147786
0.35,4,24,0.000725491974245035,0.333333333333333,0.0191846522781775,0.0173196546910786,"frame only (mined error type)",0.0173196546910786
0.4,1,14,0.000423203651642937,0.5,0.0167865707434053,0.0138231985797341,"frame only (mined error type)",0.0138231985797341
0.05,4464,6947,0.194823041112794,0.113574204692673,0.263527054108216,0.294746439223643,"any error type",0.294746439223643
0.1,2408,1474,0.0413371473442145,0.167571234735414,0.08249832999332,0.0983465206889529,"any error type",0.0983465206889529
0.15,1244,845,0.0236973470189018,0.197633136094675,0.0557782231128925,0.0668205878826062,"any error type",0.0668205878826062
0.2,432,535,0.0150036457456952,0.25607476635514,0.0457581830327321,0.0550728334129587,"any error type",0.0550728334129587
0.25,107,307,0.00860956868024006,0.328990228013029,0.0337341349365397,0.0379080165290829,"any error type",0.0379080165290829
0.3,24,100,0.00280441976555051,0.37,0.0123580494321977,0.0137596430753535,"any error type",0.0137596430753535
0.35,4,26,0.000729149139043132,0.384615384615385,0.00334001336005344,0.00341469078395133,"any error type",0.00341469078395133
0.4,1,14,0.000392618767177071,0.5,0.00233800935203741,0.00194146298753086,"any error type",0.00194146298753086
