"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,1660,6524,0.19767899887889,0.0427651747394237,0.823008849557522,0.860168127347523,"frame only (mined error type)",0.860168127347523
0.1,160,621,0.0188164712298882,0.0917874396135266,0.168141592920354,0.15846896798426,"frame only (mined error type)",0.15846896798426
0.15,46,199,0.00602975487076932,0.165829145728643,0.0973451327433628,0.113485959577893,"frame only (mined error type)",0.113485959577893
0.2,6,106,0.00321182922764597,0.245283018867925,0.0766961651917404,0.0867107851904847,"frame only (mined error type)",0.0867107851904847
0.25,1,29,0.000878707996242766,0.206896551724138,0.0176991150442478,0.0276873546771597,"frame only (mined error type)",0.0276873546771597
0.05,1660,7385,0.207106399685905,0.154366960054164,0.380761523046092,0.406003688779676,"any error type",0.406003688779676
0.1,160,675,0.0189298334174659,0.164444444444444,0.0370741482965932,0.043717178330989,"any error type",0.043717178330989
0.15,46,204,0.00572101632172304,0.186274509803922,0.0126920507682031,0.0145267112949368,"any error type",0.0145267112949368
0.2,6,106,0.00297268495148354,0.245283018867925,0.00868403473613895,0.00922765937602902,"any error type",0.00922765937602902
0.25,1,29,0.000813281732009647,0.206896551724138,0.00200400801603206,0.00294645559284095,"any error type",0.00294645559284095
