"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172 & utilities <=  3.00000","ranger",57,22,0.386,0.2522,29,6,0.2069,0.08,0.1495,0.141,29,6,0.2069,0.0046,0.0085,0.133
"1","total_deductions_by_hh_size > 62.20000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","ranger",91,31,0.3407,0.237,60,19,0.3167,0.2533,0.3409,0.292,60,19,0.3167,0.0147,0.0194,0.276
"1","months_since_cert_n <= 29.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00744 & unc_rawben_rel_max <= -0.00172","ranger",157,47,0.2994,0.2222,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459
"1","percent_abawd >  0.75000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <=  0.00228","ranger",18,8,0.4444,0.2181,5,3,0.6,0.04,0.0747,0.024,5,3,0.6,0.0023,0.0043,0.023
"1","shelter_expenses_by_hh_size <=  7.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",31,12,0.3871,0.2154,12,5,0.4167,0.0667,0.1246,0.058,12,5,0.4167,0.0039,0.0071,0.055
"1","shelter_expenses_by_hh_size > 128.00000 & unc_rawben_rel_max >  -0.00744 & unc_rawben_rel_max <=  -0.00172","ranger",120,34,0.2833,0.1986,81,19,0.2346,0.2533,0.3163,0.394,81,19,0.2346,0.0147,0.018,0.372
"1","total_deductions_by_hh_size > 343.00000 & unc_rawben_rel_max >  -0.00915 & unc_rawben_rel_max <=  -0.00172","ranger",60,19,0.3167,0.1972,26,7,0.2692,0.0933,0.1318,0.127,26,7,0.2692,0.0054,0.0075,0.119
"1","shelter_expenses_by_hh_size <= 49.00000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",35,12,0.3429,0.1889,16,6,0.375,0.08,0.1302,0.078,16,6,0.375,0.0046,0.0074,0.074
"1","count_divisible_by_100 <=  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",190,48,0.2526,0.1869,96,23,0.2396,0.3067,0.3967,0.467,96,23,0.2396,0.0178,0.0226,0.441
"1","elderly_disabled_i <=  0.500 & percent_abawd >  0.500 & total_deductions_by_hh_size <= 61.600 & unc_rawben_rel_max <=  0.673","ranger",28,10,0.3571,0.1861,13,2,0.1538,0.0267,0.0269,0.063,13,2,0.1538,0.0015,0.0015,0.06
"1","unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",196,49,0.25,0.1854,100,25,0.25,0.3333,0.4465,0.487,100,25,0.25,0.0193,0.0254,0.459
"1","rawben_rel_max <=    0.79300 & shelter_expenses_by_hh_size <= 1610.00000 & unc_rawben_rel_max >   -0.00915 & unc_rawben_rel_max <=   -0.00172","ranger",187,47,0.2513,0.1853,98,24,0.2449,0.32,0.4216,0.477,98,24,0.2449,0.0186,0.024,0.45
"1","elderly_disabled_i <=  0.500 & percent_abawd >  0.500 & rawben_rel_max <=  0.649 & total_deductions_by_hh_size <= 56.600","ranger",25,9,0.36,0.1809,12,2,0.1667,0.0267,0.0269,0.058,12,2,0.1667,0.0015,0.0015,0.055
"1","total_deductions_by_hh_size >  9.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",145,37,0.2552,0.1808,78,22,0.2821,0.2933,0.3912,0.38,78,22,0.2821,0.017,0.0223,0.358
"1","elderly_disabled_i <  1.00000 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",61,18,0.2951,0.1805,28,8,0.2857,0.1067,0.18,0.136,28,8,0.2857,0.0062,0.0102,0.129
"1","rawben_rel_max >=  0.08000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00344","xgboost",96,26,0.2708,0.1797,103,24,0.233,0.32,0.4216,0.501,103,24,0.233,0.0186,0.024,0.473
"1","elderly_disabled_i <=  0.500 & percent_abawd >  0.750 & total_deductions_by_hh_size <= 85.700 & unc_rawben_rel_max <=  0.777","ranger",41,13,0.3171,0.1781,15,2,0.1333,0.0267,0.0269,0.073,15,2,0.1333,0.0015,0.0015,0.069
"1","shelter_expenses_by_hh_size <= 1380.00000 & unc_rawben_rel_max >   -0.00915 & unc_rawben_rel_max <=   -0.00172","ranger",180,44,0.2444,0.1781,94,24,0.2553,0.32,0.4216,0.457,94,24,0.2553,0.0186,0.024,0.432
