"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","rawben_rel_max <   0.49100 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344 & utilities >= 424.00000","xgboost",27,14,0.5185,0.3113,26,9,0.3462,0.0783,0.0959,0.116,27,10,0.3704,0.0054,0.006,0.112
"1","elderly_disabled_i <=  0.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","ranger",51,23,0.451,0.3015,35,15,0.4286,0.1304,0.1988,0.157,35,15,0.4286,0.0082,0.0117,0.145
"1","months_since_cert_n >=  4.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","xgboost",57,25,0.4386,0.2977,74,26,0.3514,0.2261,0.2645,0.331,75,27,0.36,0.0147,0.0159,0.312
"1","months_since_cert_n >=  3.00000 & rawben_rel_max <  0.51600 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","xgboost",69,28,0.4058,0.2801,77,27,0.3506,0.2348,0.2736,0.345,78,28,0.359,0.0153,0.0164,0.324
"1","unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344 & utilities >= 322.00000","xgboost",44,19,0.4318,0.2752,48,19,0.3958,0.1652,0.2198,0.215,49,20,0.4082,0.0109,0.0133,0.204
"1","shelter_expenses_by_hh_size >= 252.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","xgboost",67,26,0.3881,0.263,77,26,0.3377,0.2261,0.2869,0.345,78,27,0.3462,0.0147,0.0172,0.324
"1","rawben_rel_max <=   0.80200 & total_deductions_by_hh_size > 596.00000 & unc_rawben_rel_max >  -0.00915 & unc_rawben_rel_max <=  -0.00372","ranger",24,11,0.4583,0.2522,3,0,0,0,0,0.013,3,0,0,0,0,0.012
"1","unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max < -0.00344","xgboost",96,34,0.3542,0.2512,107,35,0.3271,0.3043,0.4017,0.479,108,36,0.3333,0.0196,0.024,0.449
"1","rawben_rel_max <   0.62900 & total_deductions_by_hh_size < 717.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","xgboost",87,30,0.3448,0.2385,97,34,0.3505,0.2957,0.3848,0.434,98,35,0.3571,0.0191,0.023,0.407
"1","total_deductions_by_hh_size >= 227.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <  -0.00344","xgboost",47,18,0.383,0.2384,58,20,0.3448,0.1739,0.2415,0.26,59,21,0.3559,0.0114,0.0145,0.245
"1","elderly_disabled_i >  0.50000 & total_deductions_by_hh_size > 52.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",132,42,0.3182,0.2326,59,14,0.2373,0.1217,0.1423,0.264,60,15,0.25,0.0082,0.0087,0.249
"1","elderly_disabled_i <  1.0000 & unc_rawben_rel_max >= -0.0040 & unc_rawben_rel_max <  0.0103","xgboost",65,23,0.3538,0.2321,38,15,0.3947,0.1304,0.1988,0.17,39,16,0.4103,0.0087,0.0127,0.162
"1","elderly_disabled_i <  1.000 & percent_abawd >=  0.500 & rawben_rel_max <  0.628 & total_deductions_by_hh_size < 80.000","xgboost",29,12,0.4138,0.2316,14,4,0.2857,0.0348,0.0465,0.063,15,5,0.3333,0.0027,0.0037,0.062
"1","percent_abawd >  0.50000 & rawben_rel_max <=  0.80200 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","ranger",20,9,0.45,0.2308,13,8,0.6154,0.0696,0.1055,0.058,13,8,0.6154,0.0044,0.0062,0.054
"1","shelter_expenses_by_hh_size <= 2940.00000 & unc_rawben_rel_max >   -0.00915 & unc_rawben_rel_max <=   -0.00172","ranger",258,74,0.2868,0.2262,127,37,0.2913,0.3217,0.4262,0.568,128,38,0.2969,0.0207,0.0254,0.532
"1","cat_elig >  0.50000 & elderly_disabled_i >  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",171,51,0.2982,0.2241,76,19,0.25,0.1652,0.1894,0.34,77,20,0.2597,0.0109,0.0115,0.32
"1","homeless <=  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",248,70,0.2823,0.221,117,31,0.265,0.2696,0.3537,0.524,118,32,0.2712,0.0174,0.0211,0.49
"1","percent_abawd <=  0.50000 & unc_rawben_rel_max > -0.00915 & unc_rawben_rel_max <= -0.00172","ranger",236,66,0.2797,0.2172,114,29,0.2544,0.2522,0.3207,0.51,115,30,0.2609,0.0163,0.0192,0.478
"1","elderly_disabled_i >  0.50000 & homeless <=  0.50000 & unc_rawben_rel_max > -0.00544 & unc_rawben_rel_max <= -0.00172","ranger",130,38,0.2923,0.2093,69,18,0.2609,0.1565,0.1738,0.309,70,19,0.2714,0.0104,0.0106,0.291
"4+","months_since_cert_n >  10.5000 & rawben_rel_max <=   0.3030 & shelter_expenses_by_hh_size > 278.0000 & unc_rawben_rel_max >   0.0852","ranger",15,7,0.4667,0.2185,9,0,0,0,0,0.194,9,0,0,0,0,0.163
