"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","scoring","x"
0.05,6600,12919,0.356071881373684,0.0356064710890936,0.694864048338369,0.724003979755159,"frame only (mined error type)",0.724003979755159
0.1,3344,2747,0.0757124745052643,0.0779031670913724,0.323262839879154,0.344499718821646,"frame only (mined error type)",0.344499718821646
0.15,2462,1131,0.0311724822225897,0.152077807250221,0.259818731117825,0.284959120993208,"frame only (mined error type)",0.284959120993208
0.2,1483,799,0.0220219392536244,0.201501877346683,0.243202416918429,0.266531124280832,"frame only (mined error type)",0.266531124280832
0.25,627,605,0.0166749352295904,0.24297520661157,0.222054380664653,0.245187524332742,"frame only (mined error type)",0.245187524332742
0.3,210,332,0.00915054296896533,0.325301204819277,0.163141993957704,0.170454643768655,"frame only (mined error type)",0.170454643768655
0.35,41,113,0.00311449203461772,0.36283185840708,0.0619335347432024,0.0669117965133884,"frame only (mined error type)",0.0669117965133884
0.4,19,50,0.00137809382062731,0.46,0.0347432024169184,0.0365445343253882,"frame only (mined error type)",0.0365445343253882
0.45,5,22,0.000606361281076016,0.5,0.0166163141993958,0.0166630618159796,"frame only (mined error type)",0.0166630618159796
0.05,6600,14548,0.362974051896208,0.143593621116305,0.468385650224215,0.48994151841907,"any error type",0.48994151841907
0.1,3344,3045,0.0759730538922156,0.168144499178982,0.114798206278027,0.131477204195059,"any error type",0.131477204195059
0.15,2462,1238,0.0308882235528942,0.225363489499192,0.0625560538116592,0.0731945657423557,"any error type",0.0731945657423557
0.2,1483,864,0.0215568862275449,0.261574074074074,0.0506726457399103,0.0589320167261826,"any error type",0.0589320167261826
0.25,627,656,0.0163672654690619,0.301829268292683,0.0443946188340807,0.0514260046595081,"any error type",0.0514260046595081
0.3,210,362,0.00903193612774451,0.38121546961326,0.0309417040358744,0.035232837770543,"any error type",0.035232837770543
0.35,41,122,0.0030439121756487,0.409836065573771,0.0112107623318386,0.0130801550500109,"any error type",0.0130801550500109
0.4,19,55,0.00137225548902196,0.509090909090909,0.0062780269058296,0.00769369364860503,"any error type",0.00769369364860503
0.45,5,23,0.000573852295409182,0.521739130434783,0.00269058295964126,0.00273264383290834,"any error type",0.00273264383290834
