"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","scheme"
0.05,18563,35658,1,0.0839643277805822,1,1,1,"Pooled (no split)"
0.1,11330,32744,0.918279208031858,0.0898485218666015,0.982631930527722,0.980223725058387,0.980223725058387,"Pooled (no split)"
0.15,3795,20709,0.580767289247855,0.119078661451543,0.823647294589178,0.837598524488129,0.837598524488129,"Pooled (no split)"
0.2,809,8047,0.225671658533849,0.170374052441904,0.457915831663327,0.484054307668588,0.484054307668588,"Pooled (no split)"
0.25,218,2150,0.0602950249593359,0.235813953488372,0.169338677354709,0.18211113162548,0.18211113162548,"Pooled (no split)"
0.3,63,635,0.0178080655112457,0.292913385826772,0.062124248496994,0.0658974412659861,0.0658974412659861,"Pooled (no split)"
0.35,15,153,0.00429076224129228,0.294117647058824,0.0150300601202405,0.0131372328822921,0.0131372328822921,"Pooled (no split)"
0.4,6,36,0.00100959111559818,0.333333333333333,0.00400801603206413,0.00553697630463458,0.00553697630463458,"Pooled (no split)"
0.05,49535,35658,1,0.0839643277805822,1,1,1,"1 / 2-3 / 4+"
0.1,34502,29480,0.82674294688429,0.0976594301221167,0.961589846359385,0.961835025134332,0.961835025134332,"1 / 2-3 / 4+"
0.15,17383,18339,0.514302540804308,0.130377883199738,0.798597194388778,0.817399695837465,0.817399695837465,"1 / 2-3 / 4+"
0.2,4279,9001,0.252425823097201,0.170647705810466,0.513026052104208,0.547760941190802,0.547760941190802,"1 / 2-3 / 4+"
0.25,1285,3393,0.0951539626451287,0.213380489242558,0.241816967267869,0.268437712347514,0.268437712347514,"1 / 2-3 / 4+"
0.3,473,1210,0.0339334791631611,0.249586776859504,0.100868403473614,0.106405495482292,0.106405495482292,"1 / 2-3 / 4+"
0.35,181,512,0.0143586291996186,0.287109375,0.0490981963927856,0.0517628293587272,0.0517628293587272,"1 / 2-3 / 4+"
0.4,97,269,0.00754388916933087,0.275092936802974,0.0247160988643955,0.0247517496959326,0.0247517496959326,"1 / 2-3 / 4+"
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,0.00948461771261399,"1 / 2-3 / 4+"
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,0.00473564697350664,"1 / 2-3 / 4+"
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,0.0038543750487745,"1 / 2-3 / 4+"
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,0.0038543750487745,"1 / 2-3 / 4+"
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"1 / 2-3 / 4+"
0.05,73663,35658,1,0.0839643277805822,1,1,1,"1 / 2 / 3 / 4 / 5+"
0.1,53695,29480,0.82674294688429,0.0976594301221167,0.961589846359385,0.961835025134332,0.961835025134332,"1 / 2 / 3 / 4 / 5+"
0.15,25142,18021,0.505384485949857,0.132290105987459,0.79625918503674,0.81189507724929,0.81189507724929,"1 / 2 / 3 / 4 / 5+"
0.2,6107,8802,0.246845027763756,0.168825266984776,0.496325985303941,0.530995837274947,0.530995837274947,"1 / 2 / 3 / 4 / 5+"
0.25,1724,3727,0.104520724662067,0.202307485913603,0.251837007348029,0.282659880428721,0.282659880428721,"1 / 2 / 3 / 4 / 5+"
0.3,591,1463,0.0410286611700039,0.237867395762133,0.11623246492986,0.12101785955609,0.12101785955609,"1 / 2 / 3 / 4 / 5+"
0.35,224,578,0.0162095462448819,0.273356401384083,0.0527722110888444,0.0571989257238136,0.0571989257238136,"1 / 2 / 3 / 4 / 5+"
0.4,110,287,0.00804868472712996,0.285714285714286,0.0273881095524382,0.0317010451542416,0.0317010451542416,"1 / 2 / 3 / 4 / 5+"
0.45,61,162,0.00454316002019182,0.253086419753086,0.0136940547762191,0.0194526977770249,0.0194526977770249,"1 / 2 / 3 / 4 / 5+"
0.5,38,80,0.00224353581244041,0.2125,0.00567802271209085,0.00957978746690472,0.00957978746690472,"1 / 2 / 3 / 4 / 5+"
0.55,13,44,0.00123394469684222,0.272727272727273,0.00400801603206413,0.0059975979154017,0.0059975979154017,"1 / 2 / 3 / 4 / 5+"
0.6,10,18,0.000504795557799091,0.444444444444444,0.00267201068804275,0.00418937258387786,0.00418937258387786,"1 / 2 / 3 / 4 / 5+"
0.65,4,11,0.000308486174210556,0.454545454545455,0.00167000668002672,0.00298262009947143,0.00298262009947143,"1 / 2 / 3 / 4 / 5+"
