"x","approach","precision_scheme","precision_baseline","delta"
0.02,"1/2-3/4+",0.30875611814346,0.28328125,0.0254748681434599
0.04,"1/2-3/4+",0.28510164299638,0.239134969325153,0.0459666736712264
0.06,"1/2-3/4+",0.264887698095998,0.222172676614166,0.0427150214818322
0.08,"1/2-3/4+",0.251512195121951,0.212338380197068,0.0391738149248832
0.1,"1/2-3/4+",0.239755726201509,0.204511778544037,0.0352439476574727
0.12,"1/2-3/4+",0.228707575757576,0.197286992029314,0.031420583728262
0.14,"1/2-3/4+",0.2190729070258,0.191441818157586,0.0276310888682141
0.16,"1/2-3/4+",0.208385597078884,0.186801165548222,0.0215844315306628
0.18,"1/2-3/4+",0.199239617604847,0.182166864495466,0.0170727531093803
0.2,"1/2-3/4+",0.19208856256581,0.177158007048401,0.0149305555174089
0.22,"1/2-3/4+",0.185595096995253,0.172623469296988,0.0129716276982647
0.24,"1/2-3/4+",0.178464646464646,0.167181395950474,0.0112832505141721
0.26,"1/2-3/4+",0.173699334380009,0.162209787170066,0.0114895472099424
0.28,"1/2-3/4+",0.167929929112099,0.157012223294211,0.0109177058178881
0.3,"1/2-3/4+",0.162318624675303,0.15249382595917,0.00982479871613276
0.32,"1/2-3/4+",0.157503921158743,0.148716258866576,0.0087876622921674
0.34,"1/2-3/4+",0.15435232430423,0.14562170998185,0.0087306143223799
0.36,"1/2-3/4+",0.150532887279163,0.142600878981082,0.00793200829808136
0.38,"1/2-3/4+",0.146902014230449,0.139857488337282,0.0070445258931672
0.4,"1/2-3/4+",0.143034333858619,0.136868171255907,0.00616616260271213
0.42,"1/2-3/4+",0.139522747242508,0.134329973917767,0.00519277332474116
0.44,"1/2-3/4+",0.136135853884718,0.131528936312046,0.00460691757267237
0.46,"1/2-3/4+",0.133250782054328,0.128772473979309,0.00447830807501945
0.48,"1/2-3/4+",0.130533753041279,0.12634927882121,0.00418447422006901
0.5,"1/2-3/4+",0.127803755788478,0.12367652292544,0.00412723286303711
0.52,"1/2-3/4+",0.125463403483205,0.12105470850015,0.0044086949830555
0.54,"1/2-3/4+",0.122964910514428,0.11847088376743,0.00449402674699755
0.56,"1/2-3/4+",0.120472615844544,0.115812287531738,0.0046603283128064
0.58,"1/2-3/4+",0.116468105065666,0.113123692879434,0.00334441218623242
0.6,"1/2-3/4+",0.112694676335162,0.110455528309748,0.00223914802541358
0.62,"1/2-3/4+",0.10895463348484,0.108087689389981,0.00086694409485949
0.64,"1/2-3/4+",0.105249380965735,0.105594565000777,-0.000345184035042856
0.66,"1/2-3/4+",0.101752807117542,0.103373444781303,-0.00162063766376147
0.68,"1/2-3/4+",0.0980110588435929,0.100900323062626,-0.00288926421903336
0.7,"1/2-3/4+",0.0941841197736003,0.0977655006924105,-0.00358138091881025
0.72,"1/2-3/4+",0.0902824286108868,0.0941987589956257,-0.00391633038473892
0.74,"1/2-3/4+",0.0866390183114131,0.0910102720546732,-0.00437125374326008
0.76,"1/2-3/4+",0.0828499102355685,0.0878605996217537,-0.00501068938618524
0.78,"1/2-3/4+",0.079212342359262,0.0841480904027307,-0.00493574804346877
0.8,"1/2-3/4+",0.0748015037668702,0.0798702673114675,-0.00506876354459727
0.82,"1/2-3/4+",0.0697774031622865,0.0752771956557607,-0.00549979249347425
0.84,"1/2-3/4+",0.0646266277902191,0.0701518892610544,-0.00552526147083528
0.86,"1/2-3/4+",0.0599219963626382,0.0655677152130796,-0.00564571885044141
0.88,"1/2-3/4+",0.055274748904662,0.061532348890588,-0.00625759998592602
0.9,"1/2-3/4+",0.0508814610001611,0.0571075476097482,-0.00622608660958703
0.92,"1/2-3/4+",0.0469613651573437,0.0528231145567425,-0.00586174939939882
0.94,"1/2-3/4+",0.0434158622433478,0.0486423742650541,-0.00522651202170624
0.02,"1/2/3-4/5+",0.328791523482245,0.28328125,0.0455102734822451
0.04,"1/2/3-4/5+",0.271596432552954,0.239134969325153,0.0324614632278009
0.06,"1/2/3-4/5+",0.238415298900768,0.222172676614166,0.016242622286602
0.08,"1/2/3-4/5+",0.222125921750062,0.212338380197068,0.00978754155299358
0.1,"1/2/3-4/5+",0.211141273980257,0.204511778544037,0.00662949543622043
0.12,"1/2/3-4/5+",0.204632546278307,0.197286992029314,0.00734555424899364
0.14,"1/2/3-4/5+",0.196425267841461,0.191441818157586,0.00498344968387518
0.16,"1/2/3-4/5+",0.18786686411262,0.186801165548222,0.00106569856439834
0.18,"1/2/3-4/5+",0.180838811428267,0.182166864495466,-0.00132805306719883
0.2,"1/2/3-4/5+",0.174929467956259,0.177158007048401,-0.00222853909214174
0.22,"1/2/3-4/5+",0.170775968135466,0.172623469296988,-0.00184750116152252
0.24,"1/2/3-4/5+",0.166350628213017,0.167181395950474,-0.00083076773745755
0.26,"1/2/3-4/5+",0.161861893829281,0.162209787170066,-0.000347893340784944
0.28,"1/2/3-4/5+",0.157816001585624,0.157012223294211,0.000803778291412788
0.3,"1/2/3-4/5+",0.154066860397339,0.15249382595917,0.00157303443816867
0.32,"1/2/3-4/5+",0.150338419435319,0.148716258866576,0.00162216056874273
0.34,"1/2/3-4/5+",0.146904849342553,0.14562170998185,0.00128313936070346
