"step","n_flagged","workload","recall","dollar_recall","precision","x","approach"
1,21,0.000626398210290828,0.00696864111498258,0.00490614231668233,0.285714285714286,0.00696864111498258,"Pooled (all HH)"
2,197,0.00587621178225205,0.0371660859465738,0.044820357117039,0.16243654822335,0.0371660859465738,"Pooled (all HH)"
3,423,0.0126174496644295,0.0580720092915215,0.0721077616328104,0.118203309692671,0.0580720092915215,"Pooled (all HH)"
4,5875,0.17524235645041,0.533101045296167,0.473221041470879,0.0781276595744681,0.533101045296167,"Pooled (all HH)"
5,9681,0.288769574944072,0.749128919860627,0.718494421552327,0.0666253486210102,0.749128919860627,"Pooled (all HH)"
6,10463,0.312095451155854,0.779326364692218,0.769199257813441,0.0641307464398356,0.779326364692218,"Pooled (all HH)"
7,11508,0.343266219239374,0.801393728222996,0.800771102918143,0.0599582898852972,0.801393728222996,"Pooled (all HH)"
8,15245,0.454735272184937,0.867595818815331,0.889655172413793,0.0489996720236143,0.867595818815331,"Pooled (all HH)"
9,20597,0.614377330350485,0.9465737514518,0.960818332971879,0.0395688692528038,0.9465737514518,"Pooled (all HH)"
10,21854,0.651871737509321,0.959349593495935,0.972240294946866,0.0377962844330557,0.959349593495935,"Pooled (all HH)"
11,22391,0.667889634601044,0.960511033681765,0.972563194293838,0.0369344826046179,0.960511033681765,"Pooled (all HH)"
12,22405,0.668307233407905,0.960511033681765,0.972563194293838,0.0369114037045302,0.960511033681765,"Pooled (all HH)"
13,22412,0.668516032811335,0.960511033681765,0.972563194293838,0.0368998750669284,0.960511033681765,"Pooled (all HH)"
14,22483,0.670633855331842,0.960511033681765,0.972563194293838,0.0367833474180492,0.960511033681765,"Pooled (all HH)"
15,22504,0.671260253542133,0.960511033681765,0.972563194293838,0.0367490223960185,0.960511033681765,"Pooled (all HH)"
16,22743,0.678389261744966,0.960511033681765,0.972563194293838,0.0363628369168535,0.960511033681765,"Pooled (all HH)"
17,22752,0.678657718120805,0.960511033681765,0.972563194293838,0.036348452883263,0.960511033681765,"Pooled (all HH)"
