"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","approach"
0.05,2498,13868,0.413661446681581,0.0501874819728872,0.808362369337979,0.833957444757705,0.808362369337979,"Optimal (boosted only)"
0.1,497,4686,0.139776286353468,0.077891591976099,0.423925667828107,0.451649437335839,0.423925667828107,"Optimal (boosted only)"
0.15,92,1086,0.0323937360178971,0.103130755064457,0.130081300813008,0.151010867731753,0.130081300813008,"Optimal (boosted only)"
0.2,17,251,0.00748695003728561,0.135458167330677,0.0394889663182346,0.0330128436829803,0.0394889663182346,"Optimal (boosted only)"
0.25,2,35,0.00104399701715138,0.0571428571428571,0.00232288037166086,0.00311814742523916,0.00232288037166086,"Optimal (boosted only)"
0.05,28447,17070,0.50917225950783,0.0436438195664909,0.86527293844367,0.886050266271476,0.86527293844367,"Optimal + RF (mtry = 1)"
0.1,2156,6458,0.192632363907532,0.0684422421802416,0.51335656213705,0.547863803947083,0.51335656213705,"Optimal + RF (mtry = 1)"
0.15,357,1685,0.0502609992542878,0.0931750741839763,0.182346109175377,0.205050724113834,0.182346109175377,"Optimal + RF (mtry = 1)"
0.2,70,413,0.0123191648023863,0.11864406779661,0.0569105691056911,0.0565266632930914,0.0569105691056911,"Optimal + RF (mtry = 1)"
0.25,14,81,0.00241610738255034,0.0740740740740741,0.00696864111498258,0.00789416612448493,0.00696864111498258,"Optimal + RF (mtry = 1)"
