"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","approach"
0.05,2498,15075,0.422766279656739,0.126235489220564,0.63560454241817,0.713634209339198,0.63560454241817,"Optimal (boosted only)"
0.1,497,5218,0.146334623366425,0.171904944423151,0.299599198396794,0.354473073621418,0.299599198396794,"Optimal (boosted only)"
0.15,92,1227,0.0344102305233047,0.206193969030155,0.084502338009352,0.109391922371935,0.084502338009352,"Optimal (boosted only)"
0.2,17,276,0.0077401985529194,0.213768115942029,0.0197060788243153,0.0211733669346012,0.0197060788243153,"Optimal (boosted only)"
0.25,2,39,0.0010937237085647,0.153846153846154,0.00200400801603206,0.00200046823519111,0.00200400801603206,"Optimal (boosted only)"
0.05,28447,18473,0.518060463290145,0.116277810859092,0.717434869739479,0.79072551710486,0.717434869739479,"Optimal + RF (mtry = 1)"
0.1,2156,7160,0.200796455213416,0.159776536312849,0.382097528390114,0.449494363095453,0.382097528390114,"Optimal + RF (mtry = 1)"
0.15,357,1910,0.0535644175220147,0.2,0.127588510354041,0.156883533158094,0.127588510354041,"Optimal + RF (mtry = 1)"
0.2,70,465,0.0130405519098099,0.217204301075269,0.0337341349365397,0.0391414165446908,0.0337341349365397,"Optimal + RF (mtry = 1)"
0.25,14,95,0.00266419877727298,0.210526315789474,0.00668002672010688,0.00731855410495701,0.00668002672010688,"Optimal + RF (mtry = 1)"
