"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","approach"
0.05,2743,15915,0.446323405687363,0.123028589381087,0.653974615898464,0.734259398489085,0.653974615898464,"Optimal (boosted only)"
0.1,1134,8157,0.228756520275955,0.153365207796984,0.417835671342685,0.488751886740379,0.417835671342685,"Optimal (boosted only)"
0.15,495,4772,0.13382691121207,0.173093042749371,0.275885103540414,0.329791749543661,0.275885103540414,"Optimal (boosted only)"
0.2,195,2105,0.0590330360648382,0.19144893111639,0.134602538410154,0.177331706565,0.134602538410154,"Optimal (boosted only)"
0.25,72,866,0.0242862751696674,0.197459584295612,0.0571142284569138,0.0731779274692269,0.0571142284569138,"Optimal (boosted only)"
0.3,27,314,0.00880587806382859,0.184713375796178,0.01937207748831,0.0212342755773473,0.01937207748831,"Optimal (boosted only)"
0.35,8,84,0.00235571260306243,0.178571428571429,0.00501002004008016,0.00451675653863797,0.00501002004008016,"Optimal (boosted only)"
0.4,1,30,0.000841325929665152,0.1,0.00100200400801603,0.00107732161857105,0.00100200400801603,"Optimal (boosted only)"
0.05,42548,22164,0.621571596836615,0.10607291102689,0.785237140948564,0.849346278957777,0.785237140948564,"Optimal + RF (mtry = 1)"
0.1,10640,12590,0.353076448482809,0.135980937251787,0.571810287241149,0.639062996667155,0.571810287241149,"Optimal + RF (mtry = 1)"
0.15,3455,7103,0.199197935947053,0.156835140081656,0.372077488309953,0.434986685751375,0.372077488309953,"Optimal + RF (mtry = 1)"
0.2,1522,3937,0.110410006169723,0.178054356108712,0.234134936539746,0.290353403365583,0.234134936539746,"Optimal + RF (mtry = 1)"
0.25,685,2171,0.0608839531101015,0.191616766467066,0.138944555778223,0.174015992325511,0.138944555778223,"Optimal + RF (mtry = 1)"
0.3,304,1205,0.0337932581748836,0.204149377593361,0.0821643286573146,0.0993324793434048,0.0821643286573146,"Optimal + RF (mtry = 1)"
0.35,129,535,0.0150036457456952,0.222429906542056,0.0397461589846359,0.0476457857881103,0.0397461589846359,"Optimal + RF (mtry = 1)"
0.4,67,250,0.00701104941387627,0.216,0.0180360721442886,0.0239846814763494,0.0180360721442886,"Optimal + RF (mtry = 1)"
0.45,23,101,0.00283246396320601,0.267326732673267,0.00901803607214429,0.0106266547641027,0.00901803607214429,"Optimal + RF (mtry = 1)"
0.5,10,46,0.00129003309215323,0.217391304347826,0.00334001336005344,0.00372494418293911,0.00334001336005344,"Optimal + RF (mtry = 1)"
