"f_min","budget","n_states","median_precision_diff","median_dollar_recall_unw_diff","median_dollar_recall_wtd_diff","median_fill_rate","median_walk_depth","median_errors_diff","n_used_completion","n_window_redone"
0.25,5,49,0,0,0,0.746432491767289,1711,0,0,0
0.25,10,49,0.00661465400271372,0,0,0.794912559618442,6146,0,0,1
0.4,5,49,0.00549450549450547,0,0,0.794551645856981,2171,0,0,0
0.4,10,49,0.00609756097560976,-0.00598958333333333,-0.0040136829281513,0.791284403669725,8302,-1,0,7
0.5,5,49,0.0117810117810118,0,0,0.769230769230769,2283,0,0,0
0.5,10,49,0.0045422781271838,-0.006806604602143,-0.00964341708492794,0.811965811965812,10839,-1,0,19
0.55,5,49,0.00548780487804879,-0.00281037373040134,-0.00125279666867031,0.746500777604977,2758,0,0,0
0.55,10,49,-0.00784259768849754,-0.0188618925831202,-0.00978287247597137,0.793157076205288,13268,-2,0,30
0.6,5,49,0.0153846153846154,-0.00281037373040134,-0.0037403162395063,0.711656441717791,2868,0,0,0
0.6,10,49,-0.0030855127828387,-0.0183889117606697,-0.0214518368172719,0.786637931034483,14771,-1,0,37
0.65,5,49,0.018939393939394,-0.00529605420105922,-0.00667032329133141,0.73482428115016,3136,-1,0,0
0.65,10,49,0.00747863247863248,-0.0116618075801749,-0.0103145422859658,0.788571428571429,18653,-1,0,43
0.7,5,49,0.0209523809523809,-0.00119280500023856,-0.00157246233507369,0.691244239631336,3661,0,0,0
0.7,10,49,-0.00394776799271179,-0.0162480238889865,-0.0162535097968155,0.780669144981413,21962,-1,0,48
0.75,5,49,0.00745341614906836,-0.00135972201238858,-0.00157246233507369,0.711009174311927,4332,0,0,0
0.75,10,49,0.00453138815207782,-0.0136601044596223,-0.0162535097968155,0.77007700770077,22788,0,0,48
