"Feature","Gain","Cover","Frequency","stratum","rank"
"rawben_rel_max",0.413765276180687,0.195327791311811,0.183104204024706,"1",1
"unc_fsben_rel_max",0.356116108221568,0.314154971371225,0.28332337118948,"1",2
"unc_rawben_rel_max",0.103158820014529,0.0998607805775609,0.067344092448695,"1",3
"total_deductions_by_hh_size",0.0229747840701715,0.0402063719046833,0.0482167762502491,"1",4
"earned_by_hh_size",0.0142445725467566,0.0214128574529675,0.0264993026499303,"1",5
"unearned_by_hh_size",0.0123208860946299,0.0188474504358204,0.0251046025104603,"1",6
"rawrent_p",0.0100392631400715,0.0479798027612504,0.0488145048814505,"1",7
"rawearn_p",0.00804035069728428,0.0103737178053897,0.024706116756326,"1",8
"children_i",0.00782729533257176,0.035491718285197,0.0292887029288703,"1",9
"utilities",0.00680468247984215,0.0272046708323989,0.0430364614465033,"1",10
"gross_by_hh_size",0.00652062964268724,0.0244123812012965,0.028890217174736,"1",11
"rawunearn_p",0.00631469948025811,0.0200305580788179,0.0264993026499303,"1",12
"rawgrinc_p",0.00626774349165166,0.0252942173297222,0.0314803745766089,"1",13
"shelter_expenses_by_hh_size",0.0060559818613587,0.0244275510365302,0.0350667463638175,"1",14
"months_since_cert_n",0.00478785874507814,0.0130392768972871,0.0372584180115561,"1",15
"medical_deductions",0.00406408805203587,0.0271297528989521,0.0163379159195059,"1",16
"at_max_ben",0.00315197933425427,0.0155488021040975,0.00617652918908149,"1",17
"expedited_i",0.00227555598616966,0.00814025080704458,0.00856744371388723,"1",18
"married",0.00158493247516195,0.01068746235599,0.00657501494321578,"1",19
"rawmedded_p",0.000828644350023456,0.00437573426260017,0.00677425782028292,"1",20
"percent_abawd",0.000780287920135909,0.00276636068126991,0.00438334329547719,"1",21
"rawcsded_p",0.000687575739413361,0.00512495300276639,0.00358637178720861,"1",22
"cat_elig",0.000656507477604856,0.00511820285185011,0.00418410041841004,"1",23
"elderly_disabled_i",0.000493786968057426,0.00122196132234308,0.00318788603307432,"1",24
"count_divisible_by_100",0.00019081002101743,0.00158462940686242,0.000996214385335724,"1",25
"homeless",4.68796769804578e-05,0.000237773024266189,0.000597728631201434,"1",26
"unc_fsben_rel_max",0.39339717345243,0.295861454918623,0.252963632710468,"2-3",1
"rawben_rel_max",0.315337800027342,0.185858477570561,0.169178219811131,"2-3",2
"unc_rawben_rel_max",0.08818473787629,0.079224895607485,0.0546513964235483,"2-3",3
"total_deductions_by_hh_size",0.0320716826778114,0.0375822683053706,0.0552541691782198,"2-3",4
"rawrent_p",0.0185692325958306,0.0371215187649608,0.0474181233674905,"2-3",5
"earned_by_hh_size",0.0160682576427363,0.0343612411634404,0.0313441832429174,"2-3",6
"rawgrinc_p",0.0155170337574076,0.0362636115047054,0.0438014868394615,"2-3",7
"months_since_cert_n",0.0149934740166662,0.0385719970103084,0.051838456901748,"2-3",8
"shelter_expenses_by_hh_size",0.0139298647592435,0.0274594516427047,0.0438014868394615,"2-3",9
"utilities",0.0138548139260401,0.029825763038226,0.0458107293550332,"2-3",10
"rawearn_p",0.0120564141082038,0.0247266950162978,0.0341571227647177,"2-3",11
"gross_by_hh_size",0.0114201752165714,0.0247461413058644,0.0305404862366888,"2-3",12
"rawunearn_p",0.00923620650663586,0.0199868943430036,0.02833031946956,"2-3",13
"HH_size_n",0.00772009637035901,0.0260758811437857,0.0144665461121157,"2-3",14
"at_max_ben",0.00689671536016635,0.0132319446982429,0.00442033353425758,"2-3",15
"unearned_by_hh_size",0.00635779529368221,0.0140693041041904,0.0190878038979305,"2-3",16
"percent_abawd",0.00468066169774409,0.0143735649254636,0.0128591520996584,"2-3",17
"cat_elig",0.00335815109243468,0.0137547974348645,0.0092425155716295,"2-3",18
"children_i",0.00332156877167119,0.00413524725573364,0.0104480610809725,"2-3",19
"expedited_i",0.00270656221440303,0.0111033397422557,0.0070323488045007,"2-3",20
"medical_deductions",0.00215900362636877,0.00718322851248602,0.00663050030138638,"2-3",21
"rawmedded_p",0.00155568101968087,0.00480975781011853,0.00462125778581475,"2-3",22
"rawdepded_p",0.0015286740388471,0.00494182246301636,0.00502310628892907,"2-3",23
"married",0.00147500779915071,0.00130372746652071,0.00602772754671489,"2-3",24
"count_divisible_by_100",0.00129567693156781,0.00376747366736593,0.00361663652802893,"2-3",25
"elderly_disabled_i",0.0010302213014717,0.00205506578981589,0.00301386377335744,"2-3",26
"rawcsded_p",0.000980719847833988,0.00651638182479744,0.00321478802491461,"2-3",27
"homeless",0.000296598071409919,0.00108805296979204,0.00120554550934298,"2-3",28
"unc_fsben_rel_max",0.310023603284904,0.257014910516184,0.220228040540541,"4+",1
"rawben_rel_max",0.304383501881355,0.149257909493554,0.149070945945946,"4+",2
"unc_rawben_rel_max",0.0734289945912558,0.0678830233944115,0.0451858108108108,"4+",3
"total_deductions_by_hh_size",0.0335508441153743,0.0539542686333899,0.0644003378378378,"4+",4
"utilities",0.033459290075787,0.0576547980302052,0.0684121621621622,"4+",5
"rawrent_p",0.0309818597509559,0.0460773329419899,0.058277027027027,"4+",6
"shelter_expenses_by_hh_size",0.0284101730232803,0.0429092505917229,0.0570101351351351,"4+",7
"months_since_cert_n",0.0259776405789652,0.0408673481723827,0.0515202702702703,"4+",8
"rawgrinc_p",0.022540755663315,0.0358520475222549,0.0441300675675676,"4+",9
"gross_by_hh_size",0.0220647706499657,0.0351835521670689,0.0377956081081081,"4+",10
"rawearn_p",0.0202725715748133,0.0352948306507931,0.0323057432432432,"4+",11
"earned_by_hh_size",0.0172136468510343,0.031106956760786,0.0308277027027027,"4+",12
"rawunearn_p",0.0169691051527497,0.0257257893076269,0.0325168918918919,"4+",13
"unearned_by_hh_size",0.0134079701365563,0.0249505091896959,0.027027027027027,"4+",14
"HH_size_n",0.0122844166753944,0.0273682171457655,0.0204814189189189,"4+",15
"percent_abawd",0.00606088201438215,0.0137942534339506,0.0128800675675676,"4+",16
"cat_elig",0.00543160085157112,0.011163139030975,0.0103462837837838,"4+",17
"rawdepded_p",0.00476914287326238,0.00956362237772127,0.00802364864864865,"4+",18
"at_max_ben",0.00436440536622097,0.00430067557300466,0.00126689189189189,"4+",19
"married",0.0034602961570095,0.00471341840899264,0.00760135135135135,"4+",20
"count_divisible_by_100",0.00307908552586295,0.00864219100638039,0.00633445945945946,"4+",21
"rawcsded_p",0.00296063715053946,0.00825109175620244,0.00443412162162162,"4+",22
"elderly_disabled_i",0.00238170175970521,0.00296435359807571,0.00443412162162162,"4+",23
"expedited_i",0.00183120335643424,0.00299856640911712,0.00380067567567568,"4+",24
"homeless",0.000431074262551005,0.00172986060892474,0.00105574324324324,"4+",25
"medical_deductions",0.00015945987611936,0.000180883912827875,0.000422297297297297,"4+",26
"rawmedded_p",0.000101366800635523,0.000597199365996516,0.000211148648648649,"4+",27
