"basis","budget","decile","n_rules","median_own_precision","median_marginal_precision","median_gap","share_k_new_zero"
"holdout",5,1,67,0.333333333333333,0.333333333333333,0,0.462686567164179
"holdout",5,2,89,0.333333333333333,0,0,0.50561797752809
"holdout",5,3,85,0.4,0.2,0,0.482352941176471
"holdout",5,4,91,0.166666666666667,0,0,0.593406593406593
"holdout",5,5,94,0.285714285714286,0,0,0.51063829787234
"holdout",5,6,83,0.333333333333333,0,0,0.55421686746988
"holdout",5,7,85,0.2,0,0,0.611764705882353
"holdout",5,8,91,0.25,0,0,0.582417582417582
"holdout",5,9,83,0.285714285714286,0,0,0.542168674698795
"holdout",5,10,111,0.333333333333333,0,0,0.585585585585586
"holdout",10,1,125,0.333333333333333,0.25,0,0.48
"holdout",10,2,154,0.25462962962963,0,0,0.545454545454545
"holdout",10,3,153,0.333333333333333,0,0,0.562091503267974
"holdout",10,4,150,0.25,0,0,0.546666666666667
"holdout",10,5,158,0.3,0.225,0,0.468354430379747
"holdout",10,6,148,0.297058823529412,0,0,0.574324324324324
"holdout",10,7,144,0.236694677871148,0,0,0.5625
"holdout",10,8,159,0.233333333333333,0,0,0.647798742138365
"holdout",10,9,148,0.222222222222222,0,0,0.689189189189189
"holdout",10,10,172,0.25,0,0,0.616279069767442
"train",5,1,621,0.5,0.333333333333333,0,0.418679549114332
"train",5,2,647,0.4,0,0,0.582689335394127
"train",5,3,642,0.4,0,0,0.585669781931464
"train",5,4,646,0.345238095238095,0,0.0134827538053345,0.648606811145511
"train",5,5,651,0.333333333333333,0,0.0857142857142857,0.637480798771121
"train",5,6,638,0.333333333333333,0,0.0690476190476191,0.672413793103448
"train",5,7,643,0.333333333333333,0,0.125,0.654743390357698
"train",5,8,645,0.333333333333333,0,0.15,0.675968992248062
"train",5,9,644,0.333333333333333,0,0.134848484848485,0.667701863354037
"train",5,10,668,0.318609022556391,0,0.147110215053763,0.702095808383233
"train",10,1,1260,0.5,0.166666666666667,0,0.492063492063492
"train",10,2,1291,0.4,0,0,0.604957397366383
"train",10,3,1283,0.333333333333333,0,0.125,0.664848012470772
"train",10,4,1296,0.333333333333333,0,0.123809523809524,0.645833333333333
"train",10,5,1292,0.333333333333333,0,0.142857142857143,0.68266253869969
"train",10,6,1278,0.3,0,0.166666666666667,0.698748043818466
"train",10,7,1290,0.272727272727273,0,0.190743713215623,0.755038759689923
"train",10,8,1289,0.25,0,0.181818181818182,0.743211792086889
"train",10,9,1285,0.25,0,0.181818181818182,0.768871595330739
"train",10,10,1307,0.25,0,0.175,0.791889824024484
