"state","budget","n_pool","n_core","n_buffer","fill_cases","fill_gap_core","fill_gap_total","cap_buf"
"Alabama",0.05,59035,58,99,455,0,0,455
"Alabama",0.1,59035,121,158,911,0,0,911
"Arizona",0.05,59035,56,78,378,0,0,378
"Arizona",0.1,59035,93,170,756,0,0,756
"Arkansas",0.05,59035,54,78,355,0,0,355
"Arkansas",0.1,59035,90,150,710,0,0,710
"California",0.05,59035,33,72,349,0,0,349
"Colorado",0.05,59035,50,95,390,0,0,390
"Colorado",0.1,59035,101,183,781,0,0,781
"Connecticut",0.05,59035,46,75,415,0,0,415
"Connecticut",0.1,59035,86,165,830,0,0,830
"Delaware",0.05,59035,26,68,183,0,0,183
"Florida",0.05,59035,22,91,398,0,0,398
"Florida",0.1,59035,75,150,797,0,0,797
"Georgia",0.05,59035,56,36,436,0,0,436
"Georgia",0.1,59035,65,157,873,0,0,873
"Idaho",0.05,59035,42,80,386,0,0,386
"Idaho",0.1,59035,80,165,772,0,0,772
"Illinois",0.05,59035,48,82,367,0,0,367
"Illinois",0.1,59035,86,175,734,0,0,734
"Indiana",0.05,59035,49,89,382,0,0,382
"Indiana",0.1,59035,95,175,765,0,0,765
"Iowa",0.05,59035,77,86,425,0,0,425
"Kansas",0.05,59035,53,80,390,0,0,390
"Kansas",0.1,59035,96,158,780,0,0,780
"Kentucky",0.05,59035,56,92,405,0,0,405
"Kentucky",0.1,59035,104,163,811,0,0,811
"Louisiana",0.05,59035,53,61,379,0,0,379
"Louisiana",0.1,59035,88,162,759,0,0,759
"Massachusetts",0.05,59035,24,75,351,0,0,351
"Massachusetts",0.1,59035,68,158,703,0,0,703
"Minnesota",0.05,59035,50,84,376,0,0,376
"Minnesota",0.1,59035,93,169,752,0,0,752
"Missouri",0.05,59035,55,77,321,0,0,321
"Missouri",0.1,59035,82,145,642,0,0,642
"Montana",0.05,59035,46,74,256,0,0,256
"Montana",0.1,59035,81,170,512,0,0,512
"Nebraska",0.05,59035,66,95,390,0,0,390
"Nebraska",0.1,59035,104,208,780,0,0,780
"Nevada",0.05,59035,43,96,424,0,0,424
"Nevada",0.1,59035,99,171,849,0,0,849
"New Hampshire",0.05,59035,39,71,259,0,0,259
"New Hampshire",0.1,59035,70,152,518,0,0,518
"New Jersey",0.05,59035,42,76,266,0,0,266
"New Jersey",0.1,59035,81,153,533,0,0,533
"New Mexico",0.05,59035,46,54,426,0,0,426
"New York",0.05,59035,24,62,300,0,0,300
"New York",0.1,59035,59,139,600,0,0,600
"North Carolina",0.05,59035,56,98,413,0,0,413
"North Carolina",0.1,59035,109,181,827,0,0,827
"North Dakota",0.05,59035,35,60,186,0,0,186
"North Dakota",0.1,59035,68,112,373,0,0,373
"Ohio",0.05,59035,54,78,400,0,0,400
"Ohio",0.1,59035,88,212,800,0,0,800
"Oklahoma",0.05,59035,51,72,414,0,0,414
"Oklahoma",0.1,59035,95,153,828,0,0,828
"Oregon",0.05,59035,30,83,343,0,0,343
"Oregon",0.1,59035,66,186,686,0,0,686
"Pennsylvania",0.05,59035,48,76,344,0,0,344
"Pennsylvania",0.1,59035,83,155,688,0,0,688
"Rhode Island",0.05,59035,32,66,377,0,0,377
"South Carolina",0.05,59035,35,68,349,0,0,349
"South Dakota",0.05,59035,48,64,249,0,0,249
"South Dakota",0.1,59035,75,149,498,0,0,498
"Tennessee",0.05,59035,62,91,415,0,0,415
"Tennessee",0.1,59035,95,202,831,0,0,831
"Utah",0.05,59035,60,99,432,0,0,432
"Utah",0.1,59035,99,216,864,0,0,864
"Vermont",0.05,59035,37,68,299,0,0,299
"Vermont",0.1,59035,66,111,598,0,0,598
"Virginia",0.05,59035,46,67,323,0,0,323
"Washington",0.05,59035,52,99,293,0,0,293
"Washington",0.1,59035,101,124,587,0,0,587
"West Virginia",0.05,59035,62,92,316,0,0,316
"West Virginia",0.1,59035,112,180,632,0,0,632
"Wisconsin",0.05,59035,67,108,444,0,0,444
"Wisconsin",0.1,59035,131,214,888,0,0,888
"Wyoming",0.05,59035,33,41,120,0,0,120
"Wyoming",0.1,59035,47,105,241,0,0,241
