"target","rep","arm","variant","budget","n_admitted","n_scanned","base_rate","n_deployed","workload","precision","dollar_recall","n_core","n_buffer","slack"
"Alabama",1,"outoffold","common",0.05,36875,20000,0.1347,18,0.0491,0.2549,0.0941,40,71,0
"Alabama",1,"outoffold","common",0.1,36875,20000,0.1347,38,0.0991,0.2913,0.2185,68,161,0
"Alabama",1,"selfscored","common",0.05,36875,20000,0.1347,18,0.0491,0.4314,0.1551,39,55,0
"Alabama",1,"selfscored","common",0.1,36875,20000,0.1347,37,0.0991,0.3398,0.2836,73,136,0
"Alabama",1,"outoffold","own",0.05,36875,20000,0.1347,18,0.0491,0.2549,0.0941,40,71,0
"Alabama",1,"outoffold","own",0.1,36875,20000,0.1347,38,0.0991,0.2913,0.2185,68,161,0
"Alabama",1,"selfscored","own",0.05,41541,20000,0.1347,20,0.0491,0.4314,0.1641,48,78,0
"Alabama",1,"selfscored","own",0.1,41541,20000,0.1347,42,0.0991,0.3301,0.2583,82,156,0
"Alabama",2,"outoffold","common",0.05,36511,20000,0.1347,24,0.0491,0.3137,0.1191,40,60,0
"Alabama",2,"outoffold","common",0.1,36511,20000,0.1347,36,0.0991,0.301,0.2708,61,170,0
"Alabama",2,"selfscored","common",0.05,36511,20000,0.1347,20,0.0491,0.3333,0.1321,50,74,0
"Alabama",2,"selfscored","common",0.1,36511,20000,0.1347,41,0.0991,0.3204,0.2381,86,145,0
"Alabama",2,"outoffold","own",0.05,36511,20000,0.1347,24,0.0491,0.3137,0.1191,40,60,0
"Alabama",2,"outoffold","own",0.1,36511,20000,0.1347,36,0.0991,0.301,0.2708,61,170,0
"Alabama",2,"selfscored","own",0.05,41821,20000,0.1347,23,0.0491,0.3137,0.1055,53,82,0
"Alabama",2,"selfscored","own",0.1,41821,20000,0.1347,43,0.0991,0.301,0.2327,89,172,0
"Alabama",3,"outoffold","common",0.05,38402,20000,0.1347,24,0.0491,0.3333,0.1411,44,64,0
"Alabama",3,"outoffold","common",0.1,38402,20000,0.1347,40,0.0991,0.3398,0.2906,80,135,0
"Alabama",3,"selfscored","common",0.05,38402,20000,0.1347,20,0.0491,0.3922,0.1387,32,83,0
"Alabama",3,"selfscored","common",0.1,38402,20000,0.1347,37,0.0991,0.3398,0.2562,67,144,0
"Alabama",3,"outoffold","own",0.05,38402,20000,0.1347,24,0.0491,0.3333,0.1411,44,64,0
"Alabama",3,"outoffold","own",0.1,38402,20000,0.1347,40,0.0991,0.3398,0.2906,80,135,0
"Alabama",3,"selfscored","own",0.05,40777,20000,0.1347,19,0.0491,0.3137,0.1119,38,98,0
"Alabama",3,"selfscored","own",0.1,40777,20000,0.1347,44,0.0991,0.3107,0.2357,85,158,0
"Alabama",4,"outoffold","common",0.05,37609,20000,0.1347,17,0.0491,0.3333,0.1076,27,82,0
"Alabama",4,"outoffold","common",0.1,37609,20000,0.1347,41,0.0991,0.3204,0.2387,70,140,0
"Alabama",4,"selfscored","common",0.05,37609,20000,0.1347,20,0.0491,0.3922,0.1613,42,64,0
"Alabama",4,"selfscored","common",0.1,37609,20000,0.1347,37,0.0991,0.3495,0.288,73,156,0
"Alabama",4,"outoffold","own",0.05,37609,20000,0.1347,17,0.0491,0.3333,0.1076,27,82,0
"Alabama",4,"outoffold","own",0.1,37609,20000,0.1347,41,0.0991,0.3204,0.2387,70,140,0
"Alabama",4,"selfscored","own",0.05,41674,20000,0.1347,21,0.0491,0.4118,0.1655,47,73,0
"Alabama",4,"selfscored","own",0.1,41674,20000,0.1347,39,0.0991,0.3301,0.2604,77,180,0
"Alabama",5,"outoffold","common",0.05,37278,20000,0.1347,20,0.0491,0.3922,0.1411,34,62,0
"Alabama",5,"outoffold","common",0.1,37278,20000,0.1347,43,0.0991,0.3592,0.2739,66,154,0
"Alabama",5,"selfscored","common",0.05,37278,20000,0.1347,18,0.0491,0.2745,0.0944,45,74,0
"Alabama",5,"selfscored","common",0.1,37278,20000,0.1347,36,0.0991,0.3107,0.2372,77,147,0
"Alabama",5,"outoffold","own",0.05,37278,20000,0.1347,20,0.0491,0.3922,0.1411,34,62,0
"Alabama",5,"outoffold","own",0.1,37278,20000,0.1347,43,0.0991,0.3592,0.2739,66,154,0
"Alabama",5,"selfscored","own",0.05,41403,20000,0.1347,18,0.0491,0.3725,0.1363,46,88,0
"Alabama",5,"selfscored","own",0.1,41403,20000,0.1347,46,0.0991,0.3398,0.2603,93,167,0
"Arizona",1,"outoffold","common",0.05,36875,20000,0.112,20,0.0497,0.3023,0.1869,22,48,0
"Arizona",1,"outoffold","common",0.1,36875,20000,0.112,34,0.0993,0.2674,0.2516,43,107,0
"Arizona",1,"selfscored","common",0.05,36875,20000,0.112,20,0.0497,0.2326,0.1645,28,43,0
"Arizona",1,"selfscored","common",0.1,36875,20000,0.112,31,0.0993,0.1977,0.2461,50,96,0
"Arizona",1,"outoffold","own",0.05,36875,20000,0.112,20,0.0497,0.3023,0.1869,22,48,0
"Arizona",1,"outoffold","own",0.1,36875,20000,0.112,34,0.0993,0.2674,0.2516,43,107,0
"Arizona",1,"selfscored","own",0.05,41541,20000,0.112,23,0.0497,0.2326,0.2004,29,48,0
"Arizona",1,"selfscored","own",0.1,41541,20000,0.112,36,0.0993,0.2093,0.2783,59,110,0
"Arizona",2,"outoffold","common",0.05,36511,20000,0.112,18,0.0497,0.2558,0.1591,24,22,0
"Arizona",2,"outoffold","common",0.1,36511,20000,0.112,24,0.0993,0.2558,0.2576,33,88,0
"Arizona",2,"selfscored","common",0.05,36511,20000,0.112,16,0.0497,0.2558,0.1695,28,34,0
"Arizona",2,"selfscored","common",0.1,36511,20000,0.112,31,0.0993,0.2558,0.2857,52,88,0
"Arizona",2,"outoffold","own",0.05,36511,20000,0.112,18,0.0497,0.2558,0.1591,24,22,0
