"sweep","label","method","n_rules","max_recall","precision_at_max"
"learnrate","0.001","rpart",99,0.955,0.038
"learnrate","0.005","rpart",84,0.938,0.039
"learnrate","0.01","rpart",75,0.938,0.039
"learnrate","0.02","rpart",19,0.938,0.039
"maxdepth","4","rpart",98,0.938,0.039
"ntrees","1000","rpart",54,0.959,0.038
"ntrees","2500","rpart",105,0.938,0.039
"ntrees","500","rpart",34,0.938,0.039
"ntrees","5000","rpart",98,0.958,0.038
"sampfrac","0.1","rpart",116,1,0.026
"sampfrac","0.15","rpart",178,0.959,0.038
"sampfrac","0.2","rpart",71,0.958,0.038
"sampfrac","0.3","rpart",12,0.746,0.045
"sampfrac","0.5","rpart",5,0.746,0.045
