"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","n_pool","subsample","setting"
0.05,9984,35658,1,0.0839643277805822,1,1,1,10083,0.15,"subsample=0.15"
0.1,7626,28956,0.812047787312805,0.0991504351429755,0.958917835671343,0.958797206577372,0.958797206577372,10083,0.15,"subsample=0.15"
0.15,4265,19054,0.534354142127994,0.1275847591057,0.811957247828991,0.833692757772038,0.833692757772038,10083,0.15,"subsample=0.15"
0.2,1247,9484,0.26597117056481,0.165541965415437,0.52438209752839,0.558073535765745,0.558073535765745,10083,0.15,"subsample=0.15"
0.25,340,3851,0.10799820517135,0.200467411062062,0.257849031396126,0.287854245617909,0.287854245617909,10083,0.15,"subsample=0.15"
0.3,82,1058,0.0296707611195244,0.235349716446125,0.0831663326653307,0.089558545577747,0.089558545577747,10083,0.15,"subsample=0.15"
0.35,25,462,0.0129564193168433,0.311688311688312,0.0480961923847695,0.0496100895166709,0.0496100895166709,10083,0.15,"subsample=0.15"
0.4,10,217,0.0060855908912446,0.327188940092166,0.0237140948563794,0.0248773737715964,0.0248773737715964,10083,0.15,"subsample=0.15"
0.45,4,88,0.00246788939368445,0.318181818181818,0.00935203740814963,0.00997188685458252,0.00997188685458252,10083,0.15,"subsample=0.15"
0.5,1,15,0.000420662964832576,0.466666666666667,0.00233800935203741,0.00296358614861328,0.00296358614861328,10083,0.15,"subsample=0.15"
0.05,10212,35658,1,0.0839643277805822,1,1,1,10323,0.2,"subsample=0.20"
0.1,7875,29602,0.830164338998261,0.0974934126072563,0.963927855711423,0.963302542745495,0.963302542745495,10323,0.2,"subsample=0.20"
0.15,4497,19127,0.536401368556846,0.128038897893031,0.817969271877087,0.83560186304311,0.83560186304311,10323,0.2,"subsample=0.20"
0.2,1427,9570,0.268382971563184,0.16551724137931,0.529058116232465,0.564990473507595,0.564990473507595,10323,0.2,"subsample=0.20"
0.25,469,4130,0.115822536317236,0.204358353510896,0.28189712758851,0.313426358595827,0.313426358595827,10323,0.2,"subsample=0.20"
0.3,139,1447,0.0405799540075158,0.241188666205943,0.116566466265865,0.128551497305744,0.128551497305744,10323,0.2,"subsample=0.20"
0.35,35,543,0.0152279993269393,0.283609576427256,0.051436205744823,0.0551946506984508,0.0551946506984508,10323,0.2,"subsample=0.20"
0.4,10,157,0.0044029390319143,0.21656050955414,0.0113560454241817,0.0124558174415705,0.0124558174415705,10323,0.2,"subsample=0.20"
0.45,4,68,0.00190700544057435,0.147058823529412,0.00334001336005344,0.00493740685260299,0.00493740685260299,10323,0.2,"subsample=0.20"
0.5,2,46,0.00129003309215323,0.173913043478261,0.00267201068804275,0.00379727319620006,0.00379727319620006,10323,0.2,"subsample=0.20"
0.05,10205,35658,1,0.0839643277805822,1,1,1,10332,0.25,"subsample=0.25"
0.1,7936,29369,0.823630040944529,0.0978582859477681,0.959919839679359,0.960062964309439,0.960062964309439,10332,0.25,"subsample=0.25"
0.15,4653,19327,0.542010208087947,0.125989548300305,0.813293253173013,0.836880944540777,0.836880944540777,10332,0.25,"subsample=0.25"
0.2,1587,10409,0.291912053396152,0.160149870304544,0.556780227120908,0.5859620805631,0.5859620805631,10332,0.25,"subsample=0.25"
