"engine","param","setting","mean_precision","n_rules","n_shortlist","mining_secs","total_secs"
"ranger","max_depth","max_depth=3",0.2029,5625,693,15,173
"ranger","max_depth","max_depth=5",0.213,19948,2834,40,805
"ranger","min_node_size","min_node_size=10",0.2138,11917,1626,25,421
"ranger","min_node_size","min_node_size=20 (base)",0.2137,11789,1580,26,423
"ranger","min_node_size","min_node_size=50",0.2102,11290,1438,24,395
"ranger","mtry","mtry=2",0.2231,15024,2959,30,542
"ranger","mtry","mtry=4",0.2186,14173,4163,41,565
"ranger","num_trees","num_trees=1000",0.2127,21267,3009,49,808
"ranger","num_trees","num_trees=250",0.206,6263,827,14,216
"ranger","num_trees","num_trees=2500",0.2104,45447,6842,116,1874
"xgboost","eta","eta=0.02",0.2168,10165,2202,21,327
"xgboost","eta","eta=0.1",0.2119,10622,1589,23,336
"xgboost","max_depth","max_depth=3",0.2096,4732,817,11,157
"xgboost","max_depth","max_depth=5",0.211,20120,3555,45,726
"xgboost","nrounds","nrounds=100",0.2174,3793,789,8,120
"xgboost","nrounds","nrounds=1000",0.1982,31086,4779,65,1024
"xgboost","subsample","subsample=0.25",0.2168,10758,1335,22,340
"xgboost","subsample","subsample=0.5 (base)",0.2097,10678,1829,23,330
"xgboost","subsample","subsample=0.75",0.2082,9888,2199,22,327
