"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","engine","param","setting"
0.05,3731,35658,1,0.0839643277805822,1,1,1,"xgboost","nrounds","nrounds=100"
0.1,2996,28311,0.793959279825004,0.100738228956943,0.952571810287241,0.95149007284293,0.95149007284293,"xgboost","nrounds","nrounds=100"
0.15,1855,17230,0.483201525604352,0.134881021474173,0.77621910487642,0.804865839197376,0.804865839197376,"xgboost","nrounds","nrounds=100"
0.2,789,9241,0.259156430534522,0.168812899036901,0.521042084168337,0.553844191885065,0.553844191885065,"xgboost","nrounds","nrounds=100"
0.25,356,3886,0.108979752089293,0.204837879567679,0.265865063460254,0.291065273127678,0.291065273127678,"xgboost","nrounds","nrounds=100"
0.3,153,1581,0.0443378764933535,0.234661606578115,0.123914495657983,0.130152252572914,0.130152252572914,"xgboost","nrounds","nrounds=100"
0.35,80,865,0.0242582309720119,0.263583815028902,0.0761523046092184,0.0799692411354132,0.0799692411354132,"xgboost","nrounds","nrounds=100"
0.4,33,362,0.0101519995512928,0.287292817679558,0.0347361389445558,0.0407250412560885,0.0407250412560885,"xgboost","nrounds","nrounds=100"
0.45,12,147,0.00412249705535925,0.26530612244898,0.0130260521042084,0.0159599677945551,0.0159599677945551,"xgboost","nrounds","nrounds=100"
0.5,9,72,0.00201918223119637,0.291666666666667,0.00701402805611222,0.00767829577617597,0.00767829577617597,"xgboost","nrounds","nrounds=100"
0.55,5,44,0.00123394469684222,0.25,0.00367401469605878,0.00556362383583598,0.00556362383583598,"xgboost","nrounds","nrounds=100"
0.6,3,37,0.00103763531325369,0.27027027027027,0.00334001336005344,0.00523243309090425,0.00523243309090425,"xgboost","nrounds","nrounds=100"
0.65,1,21,0.000588928150765607,0.142857142857143,0.00100200400801603,0.00197382070398971,0.00197382070398971,"xgboost","nrounds","nrounds=100"
0.05,10475,35658,1,0.0839643277805822,1,1,1,"xgboost","subsample","subsample=0.5 (base)"
0.1,7940,29630,0.830949576532615,0.0972325345933176,0.962257849031396,0.962044398593772,0.962044398593772,"xgboost","subsample","subsample=0.5 (base)"
