"hh","rule_id","rule","spectral_dim","family","isolated"
"1",1,"cat_elig <=   1.5 & shelter_expenses_by_hh_size <= 832.0 & total_deductions_by_hh_size > 540.0",3,1,FALSE
"1",2,"cat_elig <=   1.50 & total_deductions_by_hh_size <= 754.00 & unc_rawben_rel_max >   1.93 & utilities <= 451.00",3,2,FALSE
"1",3,"cat_elig >   0.500 & expedited_i >   0.500 & total_deductions_by_hh_size > 991.000 & unc_rawben_rel_max <=   0.991",3,1,FALSE
"1",4,"cat_elig >   0.500 & medical_deductions > 226.000 & unc_rawben_rel_max >   0.316 & unc_rawben_rel_max <=   0.991",3,1,FALSE
"1",5,"cat_elig >   0.500 & medical_deductions > 498.000 & months_since_cert_n <=  10.500 & unc_rawben_rel_max <=   0.998",3,1,FALSE
"1",6,"cat_elig >   0.500 & medical_deductions > 602.000 & rawben_rel_max <=   0.991",3,1,FALSE
"1",7,"cat_elig >=    1 & rawben_rel_max <    1 & total_deductions_by_hh_size >= 1340",3,1,FALSE
"1",8,"cat_elig >=    1.00 & shelter_expenses_by_hh_size < 1720.00 & unc_rawben_rel_max >=    2.49 & utilities <  875.00",3,2,FALSE
"1",9,"cat_elig >=   1 & medical_deductions >= 227 & shelter_expenses_by_hh_size >= 387 & utilities < 456",3,1,FALSE
"1",10,"cat_elig >=   1 & rawben_rel_max <   1 & total_deductions_by_hh_size >= 450 & utilities < 277",3,1,FALSE
"1",11,"cat_elig >=   1.000 & rawben_rel_max <   0.992 & unc_rawben_rel_max >=   0.986 & utilities < 626.000",3,1,FALSE
"1",12,"count_divisible_by_100 <   1.00 & months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.63 & utilities < 353.00",3,2,FALSE
"1",13,"count_divisible_by_100 <=    0.500 & shelter_expenses_by_hh_size > 1300.000 & total_deductions_by_hh_size > 1370.000 & unc_rawben_rel_max <=    0.998",3,1,FALSE
"1",14,"count_divisible_by_100 <=   0.5 & shelter_expenses_by_hh_size > 544.0 & shelter_expenses_by_hh_size <= 862.0 & total_deductions_by_hh_size > 539.0",3,1,FALSE
"1",15,"count_divisible_by_100 <=   0.50 & medical_deductions >  93.00 & total_deductions_by_hh_size > 554.00 & unc_rawben_rel_max <=   0.99",3,1,FALSE
"1",16,"count_divisible_by_100 <=   0.50 & months_since_cert_n >   3.50 & total_deductions_by_hh_size <= 810.00 & unc_rawben_rel_max >   1.93",3,2,FALSE
"1",17,"elderly_disabled_i <  1.00000 & medical_deductions <  3.00000 & unc_rawben_rel_max >= -0.00400 & unc_rawben_rel_max <  0.00356",3,1,FALSE
"1",18,"elderly_disabled_i >    0.500 & medical_deductions >   58.500 & shelter_expenses_by_hh_size <= 1050.000 & unc_rawben_rel_max >    0.488",3,1,FALSE
"1",19,"elderly_disabled_i >    0.500 & shelter_expenses_by_hh_size > 2070.000 & unc_rawben_rel_max <=    0.991",3,1,FALSE
"1",20,"elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size <= 850.0 & unc_rawben_rel_max >   1.7",3,2,FALSE
"1",21,"elderly_disabled_i >   0.50 & shelter_expenses_by_hh_size <= 852.00 & unc_rawben_rel_max >   1.46 & utilities <=  29.50",3,2,FALSE
"1",22,"elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 365.00",3,2,FALSE
"1",23,"elderly_disabled_i >   0.500 & rawben_rel_max >   0.315 & shelter_expenses_by_hh_size <= 810.000 & unc_rawben_rel_max >   1.790",3,2,FALSE
"1",24,"elderly_disabled_i >   0.500 & rawben_rel_max >   0.881 & shelter_expenses_by_hh_size > 474.000 & utilities <=  28.500",3,1,FALSE
"1",25,"elderly_disabled_i >   0.500 & rawben_rel_max >   0.994 & shelter_expenses_by_hh_size <= 814.000 & unc_rawben_rel_max >   1.470",3,2,FALSE
"1",26,"elderly_disabled_i >   0.500 & rawben_rel_max >   0.998 & shelter_expenses_by_hh_size <= 676.000 & unc_rawben_rel_max >   1.790",3,2,FALSE
"1",27,"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 438.000 & unc_rawben_rel_max >   0.316 & utilities <= 276.000",3,1,FALSE
